,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Derrick Henry,1,32,219.0,6.8,91.0,2.8,128,4.0,4,3,-3.0,29,7,2,1,1,0,41,1,1,0,5
2,Alvin Kamara,1,18,62.0,3.4,28.0,1.6,34,1.9,1,1,-1.0,3,0,0,0,0,0,9,9,10,1,21
3,Tony Pollard,1,14,131.0,9.4,56.0,4.0,75,5.4,0,1,-5.0,54,4,1,1,1,1,54,1,1,0,0
4,Christian McCaffrey,1,18,94.0,5.2,61.0,3.4,33,1.8,3,1,-1.0,1,3,2,0,0,0,25,8,9,2,18
5,D'Onta Foreman,1,26,118.0,4.5,81.0,3.1,37,1.4,0,1,-1.0,12,3,0,0,0,0,16,0,1,0,0
6,Nick Chubb,1,23,101.0,4.4,59.0,2.6,42,1.8,4,1,-1.0,11,3,1,0,0,0,21,1,1,0,3
7,Travis Etienne Jr.,1,24,156.0,6.5,63.0,2.6,93,3.9,7,1,-2.0,1,4,1,1,1,0,49,3,3,0,4
8,Dalvin Cook,1,20,111.0,5.6,58.0,2.9,53,2.7,1,2,-5.0,4,4,1,1,0,0,30,5,6,2,3
9,Jamaal Williams,1,10,53.0,5.3,43.0,4.3,10,1.0,0,0,0.0,7,1,0,0,0,0,15,3,3,0,9
10,Khalil Herbert,1,16,99.0,6.2,77.0,4.8,22,1.4,0,1,-1.0,12,3,1,1,0,0,36,0,0,0,0
11,Aaron Jones,1,20,143.0,7.2,95.0,4.8,48,2.4,2,1,-1.0,0,4,1,1,0,0,32,4,5,0,3
12,Tyler Allgeier,1,14,39.0,2.8,29.0,2.1,10,0.7,0,1,-1.0,0,1,0,0,0,0,13,3,3,0,0
13,Rhamondre Stevenson,1,16,71.0,4.4,2.0,0.1,69,4.3,4,4,-6.0,0,2,1,1,0,0,35,7,7,0,17
14,Miles Sanders,1,9,78.0,8.7,71.0,7.9,7,0.8,0,0,0.0,11,4,1,0,0,0,21,0,0,0,0
15,Antonio Gibson,1,7,19.0,2.7,10.0,1.4,9,1.3,0,0,0.0,0,0,0,0,0,0,5,7,7,1,7
16,Kenyan Drake,1,7,62.0,8.9,46.0,6.6,16,2.3,0,0,0.0,0,1,1,1,1,0,40,4,4,1,0
17,Saquon Barkley,1,20,53.0,2.7,29.0,1.5,24,1.2,2,4,-11.0,1,2,0,0,0,0,15,3,5,0,0
18,Latavius Murray,1,14,46.0,3.3,18.0,1.3,28,2.0,4,0,0.0,2,0,0,0,0,0,9,1,2,0,2
19,Leonard Fournette,1,9,24.0,2.7,15.0,1.7,9,1.0,0,1,-2.0,1,0,0,0,0,0,9,3,3,0,9
20,Melvin Gordon III,1,9,29.0,3.2,14.0,1.6,15,1.7,0,0,0.0,1,0,0,0,0,0,9,3,4,0,4
21,Kenneth Walker III,1,18,51.0,2.8,29.0,1.6,22,1.2,1,2,-5.0,16,2,0,0,0,0,16,1,2,0,0
22,Dameon Pierce,1,15,35.0,2.3,22.0,1.5,13,0.9,1,4,-14.0,0,2,0,0,0,0,16,3,5,1,6
23,Nyheim Hines,1,5,20.0,4.0,18.0,3.6,2,0.4,0,0,0.0,6,0,0,0,0,0,9,2,2,0,1
24,Alexander Mattison,1,5,40.0,8.0,28.0,5.6,12,2.4,1,0,0.0,7,2,0,0,0,0,15,0,0,0,0
25,Dontrell Hilliard,1,8,83.0,10.4,61.0,7.6,22,2.8,0,0,0.0,0,3,2,1,0,0,30,1,1,0,8
26,D'Andre Swift,1,5,6.0,1.2,5.0,1.0,1,0.2,0,2,-4.0,0,0,0,0,0,0,7,5,5,2,5
27,Caleb Huntley,1,16,91.0,5.7,38.0,2.4,53,3.3,0,0,0.0,0,1,1,1,0,0,30,0,0,0,0
28,Devin Singletary,1,14,67.0,4.8,49.0,3.5,18,1.3,0,2,-8.0,0,1,1,1,0,0,30,1,2,0,0
29,James Cook,1,5,35.0,7.0,27.0,5.4,8,1.6,0,0,0.0,0,1,0,0,0,0,17,1,1,0,2
30,Jaylen Warren,1,6,50.0,8.3,40.0,6.7,10,1.7,0,0,0.0,0,3,0,0,0,0,19,3,3,0,0
31,Kareem Hunt,1,11,42.0,3.8,15.0,1.4,27,2.5,1,2,-2.0,0,2,0,0,0,0,15,4,4,1,10
32,Raheem Mostert,1,14,64.0,4.6,52.0,3.7,12,0.9,0,2,-2.0,0,3,0,0,0,0,13,1,1,1,0
33,Alec Ingold,1,1,1.0,1.0,0.0,0.0,1,1.0,0,0,0.0,1,0,0,0,0,0,1,1,1,0,4
34,Derek Watt,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,1,0
35,Gus Edwards,1,11,65.0,5.9,18.0,1.6,47,4.3,1,1,-1.0,0,3,1,0,0,0,22,0,0,0,0
36,AJ Dillon,1,10,54.0,5.4,36.0,3.6,18,1.8,0,1,-2.0,0,1,1,0,0,0,27,1,1,0,2
37,Michael Carter,1,7,26.0,3.7,13.0,1.9,13,1.9,0,1,-1.0,0,1,0,0,0,0,11,4,7,2,5
38,Najee Harris,1,8,32.0,4.0,21.0,2.6,11,1.4,0,1,-1.0,0,1,0,0,0,0,18,6,6,0,0
39,Joe Mixon,1,8,27.0,3.4,11.0,1.4,16,2.0,0,0,0.0,0,0,0,0,0,0,6,7,9,0,10
40,Jonathan Taylor,1,16,76.0,4.8,51.0,3.2,25,1.6,0,1,-1.0,0,1,1,0,0,0,27,0,1,0,0
41,David Montgomery,1,15,53.0,3.5,24.0,1.6,29,1.9,0,1,-4.0,0,2,0,0,0,0,10,3,3,1,15
42,Josh Jacobs,1,10,43.0,4.3,10.0,1.0,33,3.3,0,1,-3.0,0,1,0,0,0,0,16,2,4,0,2
43,Damien Harris,1,11,37.0,3.4,19.0,1.7,18,1.6,0,2,-3.0,0,1,0,0,0,0,11,2,2,0,3
44,Eno Benjamin,1,9,22.0,2.4,8.0,0.9,14,1.6,0,2,-3.0,0,0,0,0,0,0,7,4,7,0,2
45,Rachaad White,1,4,19.0,4.8,12.0,3.0,7,1.8,0,0,0.0,0,0,0,0,0,0,8,3,3,1,15
46,Malik Davis,1,8,23.0,2.9,17.0,2.1,6,0.8,0,1,-2.0,0,0,0,0,0,0,8,2,2,1,0
47,Ronnie Rivers,1,8,21.0,2.6,16.0,2.0,5,0.6,0,0,0.0,0,0,0,0,0,0,5,4,4,0,5
48,Jeff Wilson Jr.,1,4,14.0,3.5,11.0,2.8,3,0.8,0,1,-1.0,0,1,0,0,0,0,12,2,2,0,4
49,Travis Homer,1,2,10.0,5.0,7.0,3.5,3,1.5,0,0,0.0,0,0,0,0,0,0,7,1,1,0,0
50,Darrell Henderson Jr.,1,4,16.0,4.0,13.0,3.3,3,0.8,0,0,0.0,0,0,0,0,0,0,6,2,2,0,1
51,Ameer Abdullah,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,4,5,1,4
52,Justice Hill,1,4,28.0,7.0,20.0,5.0,8,2.0,1,0,0.0,0,1,0,0,0,0,12,0,0,0,0
53,Spencer Brown,1,6,27.0,4.5,21.0,3.5,6,1.0,0,0,0.0,0,0,0,0,0,0,7,0,1,0,0
54,Chris Evans,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,1
55,Boston Scott,1,7,21.0,3.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,8,0,0,0,0
56,Brian Robinson Jr.,1,8,20.0,2.5,9.0,1.1,11,1.4,0,1,-1.0,0,0,0,0,0,0,7,0,0,0,0
57,J.D. McKissic,1,2,6.0,3.0,2.0,1.0,4,2.0,0,0,0.0,0,0,0,0,0,0,4,3,5,1,2
58,James Robinson,1,5,17.0,3.4,10.0,2.0,7,1.4,0,0,0.0,0,0,0,0,0,0,7,0,1,0,0
59,D'Ernest Johnson,1,4,17.0,4.3,5.0,1.3,12,3.0,0,0,0.0,0,0,0,0,0,0,7,0,0,0,0
60,Samaje Perine,1,1,7.0,7.0,2.0,2.0,5,5.0,0,0,0.0,0,0,0,0,0,0,7,3,3,0,4
61,Matt Breida,1,2,5.0,2.5,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,3,1,2,0,0
62,Chase Edmonds,1,4,14.0,3.5,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,8,0,0,0,0
63,Darrel Williams,1,5,8.0,1.6,1.0,0.2,7,1.4,0,1,-1.0,0,0,0,0,0,0,5,2,3,0,2
64,Dwayne Washington,1,4,13.0,3.3,4.0,1.0,9,2.3,0,0,0.0,0,0,0,0,0,0,4,0,0,0,0
65,Kenneth Gainwell,1,1,3.0,3.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,3,1,1,0,7
66,Malcolm Brown,1,5,10.0,2.0,8.0,1.6,2,0.4,0,0,0.0,0,0,0,0,0,0,4,0,0,0,0
67,JaMycal Hasty,1,4,13.0,3.3,7.0,1.8,6,1.5,0,1,-1.0,0,1,0,0,0,0,12,3,4,0,0
68,Avery Williams,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,0,0
69,Craig Reynolds,1,2,7.0,3.5,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,5,0,1,0,0
70,Ty Johnson,1,2,6.0,3.0,1.0,0.5,5,2.5,0,0,0.0,0,0,0,0,0,0,4,0,2,0,0
71,Rex Burkhead,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,0
72,Salvon Ahmed,1,1,2.0,2.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0
73,Mark Ingram II,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,0
74,Raheem Blackshear,1,2,1.0,0.5,0.0,0.0,0,0.0,0,1,-2.0,0,0,0,0,0,0,3,0,0,0,0
75,Cullen Gillaspia,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
76,Keaontay Ingram,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
77,Kevin Harris,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
78,Jaret Patterson,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
79,Myles Gaskin,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
80,Ty Chandler,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
81,Tyler Badie,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
82,Cordarrelle Patterson,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
83,Jake Funk,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
84,Ke'Shawn Vaughn,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
85,Patrick Taylor Jr.,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
86,Trey Sermon,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
87,Keith Smith,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
88,Julius Chestnut,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
89,Brittain Brown,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
90,Darrynton Evans,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
91,Kyren Williams,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
92,J.J. Taylor,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
93,La'Mical Perine,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
94,Trayveon Williams,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
95,Zack Moss,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
96,Dare Ogunbowale,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,0
97,Khari Blasingame,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
98,Kene Nwangwu,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
99,Isiah Pacheco,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
100,Clyde Edwards-Helaire,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
101,Jonathan Ward,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
102,James Conner,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
103,Gary Brightwell,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
104,Deon Jackson,1,1,-4.0,-4.0,0.0,0.0,0,0.0,0,1,-4.0,0,0,0,0,0,0,0,0,0,0,0
105,Trestan Ebner,1,2,-5.0,-2.5,-8.0,-4.0,3,1.5,0,1,-8.0,0,0,0,0,0,0,3,0,0,0,0
106,Elijah Mitchell,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
107,Kyle Juszczyk,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
108,C.J. Ham,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
109,Michael Burton,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
110,Jordan Mason,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
111,Jakob Johnson,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
112,Chuba Hubbard,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
113,Austin Ekeler,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
114,Demetric Felton Jr.,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
115,Jermar Jefferson,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
116,Ezekiel Elliott,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
117,J.K. Dobbins,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
118,Hassan Haskins,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
119,Reggie Gilliam,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
120,Zamir White,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
121,Jerome Ford,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
122,Breece Hall,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
123,Tyrion Davis-Price,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
124,Justin Jackson,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
125,Adam Prentice,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
126,Rico Dowdle,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
127,Pierre Strong Jr.,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
128,Patrick Ricard,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
129,Mike Boone,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
130,Javonte Williams,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
131,DeeJay Dallas,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
132,Cam Akers,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
133,Troy Hairston II,0,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
