,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Jonathan Taylor,1,22,147.0,6.7,110.0,5.0,37,1.7,0,1,-1.0,66,2,1,1,1,1,66,2,2,1,9
2,Saquon Barkley,1,35,152.0,4.3,111.0,3.2,41,1.2,0,3,-9.0,2,4,1,0,0,0,27,1,1,0,0
3,Aaron Jones,1,24,138.0,5.8,110.0,4.6,28,1.2,0,2,-5.0,12,3,1,1,0,0,30,2,2,0,9
4,James Conner,1,21,69.0,3.3,30.0,1.4,39,1.9,0,1,-1.0,9,0,0,0,0,0,9,3,3,1,6
5,Dalvin Cook,1,14,119.0,8.5,13.0,0.9,99,6.6,0,5,-19.0,81,4,1,1,1,1,81,3,5,0,13
6,Jeff Wilson Jr.,1,17,119.0,7.0,74.0,4.4,45,2.6,2,1,-1.0,20,4,1,0,0,0,20,2,5,0,1
7,D'Onta Foreman,1,31,130.0,4.2,63.0,2.0,67,2.2,3,5,-8.0,12,4,1,0,0,0,23,0,1,0,0
8,Tony Pollard,1,22,115.0,5.2,70.0,3.2,45,2.0,0,0,0.0,13,4,0,0,0,0,14,3,6,1,3
9,Josh Jacobs,1,21,78.0,3.7,44.0,2.1,34,1.6,0,1,-3.0,1,1,1,0,0,0,22,6,8,1,4
10,Devin Singletary,1,13,47.0,3.6,26.0,2.0,21,1.6,1,3,-3.0,5,1,1,0,0,0,21,1,2,1,0
