,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Jerick McKinnon,1,10,52,5.2,45.0,4.5,7,0.7,1,1,-3.0,26,1,1,0,0,0,26,8,8,0,4
2,Dalvin Cook,1,17,95,5.6,63.0,3.7,32,1.9,1,2,-3.0,0,2,1,1,1,0,40,4,4,0,24
3,Rhamondre Stevenson,1,19,172,9.1,159.0,8.4,13,0.7,1,0,0.0,34,5,3,1,0,0,34,2,3,0,0
4,Derrick Henry,1,21,104,5.0,57.0,2.7,47,2.2,0,2,-2.0,4,4,0,0,0,0,13,4,4,1,0
5,Tyler Allgeier,1,17,139,8.2,38.0,2.2,101,5.9,2,0,0.0,5,3,1,1,1,0,43,1,1,0,0
6,David Montgomery,1,12,53,4.4,50.0,4.2,3,0.3,0,0,0.0,9,0,0,0,0,0,9,3,3,1,0
7,Latavius Murray,1,24,130,5.4,68.0,2.8,62,2.6,0,2,-5.0,10,3,2,1,0,0,35,1,1,0,2
8,Christian McCaffrey,1,26,108,4.2,62.0,2.4,46,1.8,2,1,-2.0,1,2,1,0,0,0,23,6,8,0,10
9,AJ Dillon,1,11,36,3.3,15.0,1.4,21,1.9,1,2,-5.0,8,0,0,0,0,0,8,3,3,0,12
10,Saquon Barkley,1,18,87,4.8,43.0,2.4,44,2.4,3,1,-5.0,3,3,0,0,0,0,15,5,8,0,9
11,Aaron Jones,1,17,90,5.3,47.0,2.8,43,2.5,0,1,-1.0,0,3,0,0,0,0,14,4,5,3,5
12,Raheem Mostert,1,17,136,8.0,28.0,1.6,108,6.4,5,0,0.0,0,3,1,1,1,1,67,1,2,0,4
13,James Conner,1,16,63,3.9,23.0,1.4,40,2.5,1,0,0.0,1,1,0,0,0,0,14,3,5,0,2
14,Najee Harris,1,24,86,3.6,59.0,2.5,27,1.1,3,1,-2.0,7,1,0,0,0,0,10,0,0,0,0
15,Ezekiel Elliott,1,16,58,3.6,42.0,2.6,16,1.0,0,3,-7.0,10,1,0,0,0,0,10,2,2,0,0
16,Austin Ekeler,1,12,58,4.8,25.0,2.1,33,2.8,0,0,0.0,3,2,0,0,0,0,12,2,3,0,2
17,J.K. Dobbins,1,13,125,9.6,64.0,4.9,61,4.7,0,1,-1.0,0,4,2,1,0,0,37,1,1,0,1
18,Marlon Mack,1,5,37,7.4,25.0,5.0,12,2.4,0,0,0.0,3,1,0,0,0,0,17,4,4,0,8
19,Cordarrelle Patterson,1,14,52,3.7,13.0,0.9,39,2.8,0,3,-6.0,3,1,0,0,0,0,11,1,3,0,0
20,Josh Jacobs,1,22,93,4.2,80.0,3.6,13,0.6,1,0,0.0,0,1,0,0,0,0,18,2,3,0,0
21,Jaylen Warren,1,11,38,3.5,27.0,2.5,11,1.0,2,1,-1.0,2,0,0,0,0,0,9,1,1,1,3
22,Brian Robinson Jr.,1,12,89,7.4,53.0,4.4,36,3.0,1,1,-2.0,0,4,0,0,0,0,19,1,1,0,0
23,Travis Etienne Jr.,1,19,103,5.4,90.0,4.7,13,0.7,0,2,-3.0,0,4,0,0,0,0,16,2,3,0,0
24,Tony Pollard,1,19,75,3.9,53.0,2.8,22,1.2,2,2,-9.0,0,2,1,0,0,0,21,4,5,0,6
25,Alvin Kamara,1,21,91,4.3,43.0,2.0,48,2.3,0,2,-5.0,0,2,0,0,0,0,13,2,2,1,2
26,Salvon Ahmed,1,6,43,7.2,26.0,4.3,17,2.8,1,0,0.0,11,2,0,0,0,0,11,0,0,0,0
27,Cam Akers,1,12,65,5.4,23.0,1.9,42,3.5,0,2,-4.0,0,2,0,0,0,0,19,3,3,0,2
28,Nick Chubb,1,21,99,4.7,49.0,2.3,50,2.4,0,2,-2.0,0,3,0,0,0,0,18,0,2,0,0
29,James Cook,1,5,34,6.8,26.0,5.2,8,1.6,0,0,0.0,0,1,0,0,0,0,16,2,3,2,0
30,Deon Jackson,1,13,55,4.2,23.0,1.8,32,2.5,0,0,0.0,0,1,0,0,0,0,16,1,1,1,0
31,Joshua Kelley,1,10,24,2.4,18.0,1.8,6,0.6,0,0,0.0,1,0,0,0,0,0,4,1,2,0,0
32,Zack Moss,1,24,81,3.4,34.0,1.4,47,2.0,1,3,-10.0,0,2,0,0,0,0,11,0,1,0,0
33,Kenneth Walker III,1,12,47,3.9,31.0,2.6,16,1.3,1,1,-2.0,0,1,0,0,0,0,15,4,5,0,3
34,Isiah Pacheco,1,15,86,5.7,77.0,5.1,9,0.6,0,1,-2.0,0,3,0,0,0,0,18,1,1,0,0
35,D'Andre Swift,1,8,52,6.5,38.0,4.8,14,1.8,0,1,-2.0,0,1,0,0,0,0,16,5,9,3,0
