,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Josh Jacobs,1,20,143.0,7.2,98.0,4.9,45,2.3,0,2,-3.0,15,7,0,0,0,0,15,3,4,0,7
2,Kenneth Walker III,1,23,167.0,7.3,67.0,2.9,100,4.3,0,4,-9.0,74,5,1,1,1,1,74,0,0,0,0
3,Austin Ekeler,1,9,31.0,3.4,26.0,2.9,5,0.6,0,0,0.0,7,1,0,0,0,0,13,12,12,2,8
4,Aaron Jones,1,8,23.0,2.9,7.0,0.9,16,2.0,0,2,-7.0,0,0,0,0,0,0,8,9,10,1,13
5,Eno Benjamin,1,12,92.0,7.7,22.0,1.8,70,5.8,1,1,-3.0,5,2,1,1,1,0,45,4,5,1,8
6,Gus Edwards,1,16,66.0,4.1,38.0,2.4,28,1.8,4,0,0.0,7,1,0,0,0,0,12,0,1,0,0
7,Travis Etienne Jr.,1,14,114.0,8.1,90.0,6.4,24,1.7,1,0,0.0,7,3,1,1,1,0,49,1,5,1,0
8,Ezekiel Elliott,1,15,57.0,3.8,48.0,3.2,9,0.6,1,1,-2.0,1,2,0,0,0,0,18,0,0,0,0
9,Raheem Mostert,1,16,79.0,4.9,67.0,4.2,12,0.8,1,2,-2.0,0,3,0,0,0,0,12,4,5,2,13
10,Nick Chubb,1,16,91.0,5.7,40.0,2.5,51,3.2,3,0,0.0,2,3,1,0,0,0,22,2,3,0,9
11,Rhamondre Stevenson,1,11,39.0,3.5,17.0,1.5,22,2.0,0,0,0.0,4,0,0,0,0,0,7,8,8,0,14
