,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Jamaal Williams,1,16,72.0,4.5,35.0,2.2,37,2.3,0,0,0.0,1,2,0,0,0,0,13,0,0,0,0
2,Nick Chubb,1,12,77.0,6.4,66.0,5.5,11,0.9,2,0,0.0,0,4,0,0,0,0,15,5,6,1,0
3,Zack Moss,1,18,114.0,6.3,70.0,3.9,44,2.4,4,0,0.0,15,4,1,1,0,0,34,3,3,0,1
4,Alexander Mattison,1,10,54.0,5.4,30.0,3.0,24,2.4,0,1,-1.0,1,3,0,0,0,0,11,1,1,0,3
5,Latavius Murray,1,15,103.0,6.9,81.0,5.4,22,1.5,0,0,0.0,2,3,2,0,0,0,25,1,1,0,2
6,Elijah Mitchell,1,5,55.0,11.0,44.0,8.8,11,2.2,0,0,0.0,6,1,1,1,0,0,37,0,0,0,0
7,Kenyan Drake,1,16,60.0,3.8,49.0,3.1,11,0.7,0,1,-1.0,4,1,0,0,0,0,18,2,5,1,0
8,Christian McCaffrey,1,10,45.0,4.5,24.0,2.4,21,2.1,0,2,-3.0,0,2,0,0,0,0,19,3,3,1,7
9,Tyler Allgeier,1,24,135.0,5.6,103.0,4.3,32,1.3,0,4,-5.0,0,5,1,0,0,0,28,0,0,0,0
10,Najee Harris,1,23,80.0,3.5,70.0,3.0,10,0.4,1,2,-7.0,4,1,0,0,0,0,11,1,1,0,3
11,Derrick Henry,1,30,109.0,3.6,50.0,1.7,59,2.0,1,5,-8.0,0,2,0,0,0,0,14,1,1,0,15
12,Cam Akers,1,21,104.0,5.0,60.0,2.9,44,2.1,0,1,-5.0,0,2,1,1,0,0,32,3,3,1,7
13,Joe Mixon,1,11,27.0,2.5,0.0,0.0,0,0.0,0,1,-2.0,1,0,0,0,0,0,8,5,5,1,18
14,Isiah Pacheco,1,8,64.0,8.0,42.0,5.3,22,2.8,0,0,0.0,1,1,1,1,0,0,31,0,0,0,0
15,Kenneth Walker III,1,29,114.0,3.9,40.0,1.4,74,2.6,3,4,-7.0,0,2,1,0,0,0,20,1,1,0,7
16,Nyheim Hines,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
17,Boston Scott,1,9,54.0,6.0,42.0,4.7,12,1.3,1,2,-2.0,8,2,1,0,0,0,21,0,0,0,0
18,Alvin Kamara,1,23,107.0,4.7,18.0,0.8,89,3.9,0,1,-3.0,0,2,1,0,0,0,22,1,2,0,3
19,Deon Jackson,1,8,35.0,4.4,21.0,2.6,14,1.8,0,1,-1.0,0,1,0,0,0,0,13,6,8,0,4
20,Corey Clement,1,8,23.0,2.9,13.0,1.6,10,1.3,0,0,0.0,1,0,0,0,0,0,5,3,4,0,1
21,Ronald Jones II,1,10,45.0,4.5,30.0,3.0,15,1.5,1,1,-1.0,2,1,0,0,0,0,13,0,0,0,0
22,D'Andre Swift,1,6,25.0,4.2,31.0,4.4,8,1.1,0,1,-4.0,0,3,0,0,0,0,11,7,7,1,31
23,Tyler Badie,1,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,9
24,Rhamondre Stevenson,1,6,54.0,9.0,49.0,8.2,5,0.8,0,0,0.0,0,3,0,0,0,0,18,5,6,1,2
25,Cordarrelle Patterson,1,5,18.0,3.6,0.0,0.0,0,0.0,0,0,0.0,2,0,0,0,0,0,8,2,3,0,0
26,Jaret Patterson,1,17,78.0,4.6,40.0,2.4,38,2.2,0,0,0.0,0,2,0,0,0,0,14,0,1,0,0
27,Jeff Wilson Jr.,1,16,72.0,4.5,35.0,2.2,37,2.3,1,2,-2.0,0,3,0,0,0,0,16,2,2,1,1
28,Chuba Hubbard,1,21,69.0,3.3,24.0,1.1,45,2.1,0,2,-3.0,0,0,0,0,0,0,8,0,1,0,0
29,D'Onta Foreman,1,12,68.0,5.7,36.0,3.0,32,2.7,0,0,0.0,0,2,1,0,0,0,21,0,0,0,0
30,Jerick McKinnon,1,2,6.0,3.0,-1.0,-0.5,7,3.5,1,1,-1.0,0,0,0,0,0,0,7,2,3,1,0
31,Gary Brightwell,1,11,60.0,5.5,23.0,2.1,37,3.4,1,2,-3.0,0,2,1,0,0,0,25,1,3,1,0
32,Raheem Mostert,1,11,71.0,6.5,34.0,3.1,37,3.4,5,1,-2.0,0,3,1,0,0,0,21,2,2,1,1
33,Derek Watt,1,1,1.0,1.0,0.0,0.0,0,0.0,0,0,0.0,1,0,0,0,0,0,1,0,0,0,0
34,Damien Harris,1,13,48.0,3.7,41.0,3.2,7,0.5,0,2,-10.0,0,2,0,0,0,0,19,1,4,1,0
