,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Deebo Samuel Sr.,1,7,149.0,21.3,58.0,8.3,65.0,9.3,91.0,13.0,34,4.9,3,9,33.3%,8,1,1,5,3,2,1,1
2,DJ Moore,1,6,68.0,11.3,62.0,10.3,99.0,16.5,6.0,1.0,0,0.0,0,10,33.3%,6,0,3,2,1,1,0,0
3,Drake London,1,10,172.0,17.2,150.0,15.0,179.0,17.9,22.0,2.2,0,0.0,0,11,28.2%,10,0,1,6,4,1,1,1
4,DeAndre Hopkins,1,7,124.0,17.7,109.0,15.6,171.0,24.4,15.0,2.1,0,0.0,0,12,33.3%,7,0,3,3,3,2,1,1
5,Cooper Kupp,1,8,115.0,14.4,60.0,7.5,75.0,9.4,55.0,6.9,23,2.9,3,10,25.6%,8,0,4,4,3,2,0,0
6,Odell Beckham Jr.,1,4,97.0,24.3,95.0,23.8,218.0,54.5,2.0,0.5,0,0.0,0,10,25.0%,4,0,0,4,2,1,1,1
7,Zay Flowers,1,6,60.0,10.0,47.0,7.8,122.0,20.3,13.0,2.2,5,0.8,1,10,25.0%,8,2,0,3,1,0,0,0
8,CeeDee Lamb,1,6,71.0,11.8,36.0,6.0,95.0,15.8,35.0,5.8,4,0.7,0,10,25.6%,7,1,1,4,1,0,0,0
9,Jayden Reed,1,8,27.0,3.4,-8.0,-1.0,8.0,1.0,35.0,4.4,2,0.3,0,10,26.3%,8,0,2,0,0,0,0,0
10,Courtland Sutton,1,3,62.0,20.7,40.0,13.3,39.0,13.0,22.0,7.3,0,0.0,0,4,13.3%,3,0,0,2,1,1,1,1
11,Diontae Johnson,1,3,57.0,19.0,45.0,15.0,136.0,45.3,12.0,4.0,2,0.7,0,7,20.0%,4,1,0,2,2,0,0,0
12,Michael Pittman Jr.,1,8,95.0,11.9,63.0,7.9,83.0,10.4,32.0,4.0,0,0.0,0,11,28.9%,8,0,0,5,1,1,0,0
13,Wan'Dale Robinson,1,6,79.0,13.2,52.0,8.7,70.0,11.7,27.0,4.5,1,0.2,0,7,35.0%,6,0,0,3,2,1,0,0
14,DK Metcalf,1,2,52.0,26.0,36.0,18.0,111.0,55.5,16.0,8.0,14,7.0,1,5,16.1%,3,1,0,2,2,1,0,0
15,Rashee Rice,1,7,72.0,10.3,27.0,3.9,47.0,6.7,45.0,6.4,2,0.3,0,10,25.6%,7,0,3,3,0,0,0,0
16,Garrett Wilson,1,9,108.0,12.0,92.0,10.2,162.0,18.0,16.0,1.8,5,0.6,0,14,40.0%,10,1,1,5,1,0,0,0
17,Michael Gallup,1,3,48.0,16.0,46.0,15.3,65.0,21.7,2.0,0.7,0,0.0,0,5,12.8%,4,1,1,1,1,1,0,0
18,Brandon Aiyuk,1,6,126.0,21.0,72.0,12.0,114.0,19.0,54.0,9.0,8,1.3,1,9,33.3%,6,0,0,5,3,2,1,1
19,Demarcus Robinson,1,3,46.0,15.3,42.0,14.0,163.0,54.3,4.0,1.3,0,0.0,0,10,25.6%,3,0,4,2,1,0,0,0
20,Josh Reynolds,1,3,44.0,14.7,39.0,13.0,46.0,15.3,5.0,1.7,2,0.7,0,4,11.8%,3,0,1,1,1,0,0,0
21,David Bell,1,1,41.0,41.0,4.0,4.0,20.0,20.0,37.0,37.0,0,0.0,0,3,7.0%,1,0,0,1,1,1,1,1
22,Quentin Johnston,1,3,91.0,30.3,60.0,20.0,66.0,22.0,31.0,10.3,0,0.0,0,4,9.8%,3,0,1,3,2,1,1,1
23,Puka Nacua,1,5,84.0,16.8,53.0,10.6,104.0,20.8,31.0,6.2,0,0.0,0,9,23.1%,6,1,1,3,2,1,0,0
24,JuJu Smith-Schuster,1,4,90.0,22.5,62.0,15.5,84.0,21.0,28.0,7.0,12,3.0,0,6,23.1%,5,0,0,3,2,1,0,0
25,Tyler Lockett,1,6,89.0,14.8,65.0,10.8,65.0,10.8,24.0,4.0,8,1.3,1,6,19.4%,6,0,0,4,2,0,0,0
26,Chris Olave,1,4,28.0,7.0,14.0,3.5,63.0,15.8,14.0,3.5,3,0.8,0,5,22.7%,4,0,1,0,0,0,0,0
27,Isaiah Hodgins,1,2,22.0,11.0,22.0,11.0,22.0,11.0,0.0,0.0,0,0.0,0,2,10.0%,2,0,1,1,0,0,0,0
28,Jaylen Waddle,1,6,79.0,13.2,50.0,8.3,62.0,10.3,29.0,4.8,7,1.2,1,8,24.2%,6,0,0,5,0,0,0,0
29,Randall Cobb,1,1,15.0,15.0,6.0,6.0,6.0,6.0,9.0,9.0,0,0.0,0,1,2.9%,1,0,1,1,0,0,0,0
30,A.J. Brown,1,9,94.0,10.4,63.0,7.0,143.0,15.9,31.0,3.4,15,1.7,0,13,46.4%,10,2,0,4,1,0,0,0
31,Adam Thielen,1,5,74.0,14.8,65.0,13.0,92.0,18.4,9.0,1.8,1,0.2,0,7,21.9%,5,0,0,3,1,1,0,0
32,Xavier Gipson,1,1,3.0,3.0,-2.0,-2.0,-2.0,-2.0,5.0,5.0,0,0.0,0,1,2.9%,1,0,0,0,0,0,0,0
33,Tee Higgins,1,2,72.0,36.0,51.0,25.5,65.0,32.5,21.0,10.5,4,2.0,0,4,16.0%,4,2,0,2,2,1,1,1
34,Keenan Allen,1,6,68.0,11.3,53.0,8.8,137.0,22.8,15.0,2.5,0,0.0,0,12,29.3%,6,0,0,4,1,0,0,0
35,Parker Washington,1,2,27.0,13.5,26.0,13.0,29.0,14.5,1.0,0.5,0,0.0,0,3,6.1%,2,0,1,1,0,0,0,0
36,Malik Heath,1,1,6.0,6.0,6.0,6.0,12.0,12.0,0.0,0.0,0,0.0,0,2,5.3%,1,0,2,0,0,0,0,0
37,Tyreek Hill,1,4,61.0,15.3,64.0,16.0,67.0,16.8,-3.0,-0.8,0,0.0,0,5,15.2%,4,0,1,3,2,0,0,0
38,Tylan Wallace,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0%,0,0,0,0,0,0,0,0
39,Amari Cooper,1,7,77.0,11.0,57.0,8.1,172.0,24.6,20.0,2.9,9,1.3,0,14,32.6%,7,0,0,4,0,0,0,0
40,DeVonta Smith,1,5,73.0,14.6,48.0,9.6,132.0,26.4,25.0,5.0,15,3.0,1,10,35.7%,7,2,0,3,2,1,0,0
41,Chris Godwin,1,5,53.0,10.6,21.0,4.2,142.0,28.4,32.0,6.4,4,0.8,0,11,37.9%,6,1,0,1,1,1,0,0
42,Calvin Ridley,1,4,53.0,13.3,33.0,8.3,166.0,41.5,20.0,5.0,5,1.3,0,13,26.5%,4,0,3,3,0,0,0,0
43,Davante Adams,1,7,53.0,7.6,27.0,3.9,69.0,9.9,26.0,3.7,0,0.0,0,10,34.5%,7,0,1,2,1,0,0,0
44,Nick Westbrook-Ikhine,1,2,28.0,14.0,23.0,11.5,41.0,20.5,5.0,2.5,0,0.0,0,4,11.1%,3,1,1,1,1,0,0,0
45,A.T. Perry,1,1,44.0,44.0,44.0,44.0,44.0,44.0,0.0,0.0,0,0.0,0,1,4.5%,1,0,0,1,1,1,1,1
46,Darnell Mooney,1,2,44.0,22.0,19.0,9.5,65.0,32.5,25.0,12.5,5,2.5,0,7,23.3%,4,2,1,2,1,0,0,0
47,Elijah Moore,1,3,42.0,14.0,34.0,11.3,79.0,26.3,8.0,2.7,1,0.3,0,6,14.0%,3,0,0,2,1,0,0,0
48,Kadarius Toney,1,3,25.0,8.3,7.0,2.3,12.0,4.0,18.0,6.0,0,0.0,0,4,10.3%,4,1,0,0,0,0,0,0
49,Brandin Cooks,1,2,37.0,18.5,27.0,13.5,73.0,36.5,10.0,5.0,5,2.5,0,5,12.8%,3,1,1,1,1,1,0,0
50,Romeo Doubs,1,4,32.0,8.0,31.0,7.8,54.0,13.5,1.0,0.3,0,0.0,0,7,18.4%,5,2,2,1,0,0,0,0
51,Nelson Agholor,1,5,32.0,6.4,9.0,1.8,9.0,1.8,23.0,4.6,0,0.0,0,5,12.5%,5,0,2,1,0,0,0,0
52,Josh Downs,1,3,32.0,10.7,20.0,6.7,20.0,6.7,12.0,4.0,7,2.3,0,3,7.9%,3,0,0,2,0,0,0,0
53,Cedrick Wilson Jr.,1,2,30.0,15.0,27.0,13.5,39.0,19.5,3.0,1.5,3,1.5,0,4,12.1%,2,0,1,1,1,0,0,0
54,Zay Jones,1,5,29.0,5.8,23.0,4.6,225.0,45.0,6.0,1.2,1,0.2,0,14,28.6%,5,0,1,1,0,0,0,0
55,Ja'Marr Chase,1,3,29.0,9.7,23.0,7.7,39.0,13.0,6.0,2.0,0,0.0,0,4,16.0%,3,0,1,2,0,0,0,0
56,Olamide Zaccheaus,1,1,28.0,28.0,11.0,11.0,11.0,11.0,17.0,17.0,5,5.0,0,1,3.6%,1,0,0,1,1,0,0,0
57,Jordan Addison,1,2,27.0,13.5,18.0,9.0,22.0,11.0,9.0,4.5,9,4.5,1,3,9.1%,2,0,0,1,1,0,0,0
58,Justin Jefferson,1,2,27.0,13.5,27.0,13.5,32.0,16.0,0.0,0.0,0,0.0,0,3,9.1%,2,0,0,2,0,0,0,0
59,DJ Chark Jr.,1,2,26.0,13.0,18.0,9.0,62.0,31.0,8.0,4.0,3,1.5,0,4,12.5%,2,0,0,1,0,0,0,0
60,Hunter Renfrow,1,3,46.0,15.3,3.0,1.0,12.0,4.0,43.0,14.3,0,0.0,0,5,17.2%,3,0,0,1,1,1,0,0
61,Jaxon Smith-Njigba,1,4,25.0,6.3,-13.0,-3.3,49.0,12.3,38.0,9.5,10,2.5,0,7,22.6%,5,1,0,1,0,0,0,0
62,Jakobi Meyers,1,5,25.0,5.0,9.0,1.8,4.0,0.8,16.0,3.2,0,0.0,0,6,20.7%,6,1,0,1,0,0,0,0
63,Deonte Harty,1,1,25.0,25.0,21.0,21.0,21.0,21.0,4.0,4.0,0,0.0,0,1,2.8%,1,0,0,1,1,0,0,0
64,Lynn Bowden Jr.,1,4,24.0,6.0,0.0,0.0,0.0,0.0,24.0,6.0,9,2.3,0,4,18.2%,4,0,0,1,0,0,0,0
65,Rashod Bateman,1,2,24.0,12.0,24.0,12.0,125.0,62.5,0.0,0.0,0,0.0,0,4,10.0%,2,0,0,2,0,0,0,0
66,Stefon Diggs,1,4,24.0,6.0,8.0,2.0,86.0,21.5,16.0,4.0,2,0.5,0,11,30.6%,6,2,0,0,0,0,0,0
67,Tyler Boyd,1,2,23.0,11.5,16.0,8.0,23.0,11.5,7.0,3.5,0,0.0,0,3,12.0%,2,0,2,1,0,0,0,0
68,Cedric Tillman,1,2,23.0,11.5,15.0,7.5,24.0,12.0,8.0,4.0,5,2.5,1,4,9.3%,2,0,0,1,0,0,0,0
69,Chris Moore,1,1,22.0,22.0,17.0,17.0,17.0,17.0,5.0,5.0,1,1.0,0,1,2.8%,1,0,0,1,1,0,0,0
70,Marquez Valdes-Scantling,1,2,22.0,11.0,9.0,4.5,49.0,24.5,13.0,6.5,0,0.0,0,4,10.3%,2,0,0,1,0,0,0,0
71,Jonathan Mingo,1,2,22.0,11.0,5.0,2.5,159.0,79.5,17.0,8.5,8,4.0,0,9,28.1%,2,0,0,1,0,0,0,0
72,KaVontae Turpin,1,0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0,1,2.6%,0,0,0,0,0,0,0,0
73,Samori Toure,1,2,22.0,11.0,9.0,4.5,56.0,28.0,13.0,6.5,0,0.0,0,4,10.5%,2,0,1,1,0,0,0,0
74,Alec Pierce,1,2,22.0,11.0,18.0,9.0,52.0,26.0,4.0,2.0,0,0.0,0,3,7.9%,2,0,0,2,0,0,0,0
75,Allen Robinson II,1,1,21.0,21.0,18.0,18.0,57.0,57.0,3.0,3.0,2,2.0,0,3,8.6%,2,0,0,1,1,0,0,0
76,Amon-Ra St. Brown,1,3,21.0,7.0,-2.0,-0.7,80.0,26.7,23.0,7.7,2,0.7,0,8,23.5%,5,2,1,1,0,0,0,0
77,Dontayvion Wicks,1,2,20.0,10.0,19.0,9.5,61.0,30.5,1.0,0.5,1,0.5,0,6,15.8%,2,0,1,1,0,0,0,0
78,George Pickens,1,5,19.0,3.8,11.0,2.2,32.0,6.4,8.0,1.6,1,0.2,0,6,17.1%,5,0,0,0,0,0,0,0
79,Justin Watson,1,1,18.0,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0,0.0,0,1,2.6%,1,0,0,1,0,0,0,0
80,KhaDarel Hodge,1,1,18.0,18.0,6.0,6.0,20.0,20.0,12.0,12.0,0,0.0,0,2,5.1%,1,0,0,1,0,0,0,0
81,Tyquan Thornton,1,3,17.0,5.7,7.0,2.3,49.0,16.3,10.0,3.3,4,1.3,0,5,19.2%,3,0,0,1,0,0,0,0
82,Donovan Peoples-Jones,1,1,17.0,17.0,14.0,14.0,14.0,14.0,3.0,3.0,3,3.0,0,1,2.9%,1,0,0,1,0,0,0,0
83,Jerry Jeudy,1,2,16.0,8.0,3.0,1.5,121.0,60.5,13.0,6.5,0,0.0,0,6,20.0%,2,0,1,0,0,0,0,0
84,Kalif Raymond,1,3,15.0,5.0,7.0,2.3,18.0,6.0,8.0,2.7,0,0.0,0,4,11.8%,3,0,1,0,0,0,0,0
85,Xavier Hutchinson,1,2,15.0,7.5,11.0,5.5,20.0,10.0,4.0,2.0,0,0.0,0,3,11.1%,2,0,0,0,0,0,0,0
86,K.J. Osborn,1,4,15.0,3.8,18.0,4.5,49.0,12.3,-3.0,-0.8,0,0.0,0,7,21.2%,5,1,0,1,0,0,0,0
87,Darius Slayton,1,2,14.0,7.0,9.0,4.5,9.0,4.5,5.0,2.5,0,0.0,0,2,10.0%,2,0,0,0,0,0,0,0
88,Nico Collins,1,1,13.0,13.0,11.0,11.0,11.0,11.0,2.0,2.0,1,1.0,0,1,3.7%,1,0,0,1,0,0,0,0
89,Jalin Hyatt,1,2,13.0,6.5,8.0,4.0,13.0,6.5,5.0,2.5,2,1.0,1,3,15.0%,3,1,0,0,0,0,0,0
90,Braxton Berrios,1,2,13.0,6.5,4.0,2.0,4.0,2.0,9.0,4.5,2,1.0,1,2,6.1%,2,0,0,0,0,0,0,0
91,Jalen Nailor,1,2,13.0,6.5,5.0,2.5,51.0,25.5,8.0,4.0,0,0.0,0,5,15.2%,3,1,0,0,0,0,0,0
92,Khalil Shakir,1,1,12.0,12.0,-1.0,-1.0,-1.0,-1.0,13.0,13.0,0,0.0,0,1,2.8%,1,0,0,1,0,0,0,0
93,Calvin Austin III,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0%,0,0,0,0,0,0,0,0
94,Lil'Jordan Humphrey,1,1,12.0,12.0,-3.0,-3.0,-3.0,-3.0,15.0,15.0,0,0.0,0,1,3.3%,1,0,0,1,0,0,0,0
95,Tyler Scott,1,1,11.0,11.0,3.0,3.0,3.0,3.0,8.0,8.0,2,2.0,0,1,3.3%,1,0,1,1,0,0,0,0
96,Velus Jones Jr.,1,1,11.0,11.0,3.0,3.0,3.0,3.0,8.0,8.0,6,6.0,0,1,3.3%,1,0,0,1,0,0,0,0
97,David Moore,1,1,11.0,11.0,3.0,3.0,3.0,3.0,8.0,8.0,2,2.0,0,1,3.4%,1,0,0,1,0,0,0,0
98,Marvin Mims Jr.,1,2,11.0,5.5,-9.0,-4.5,-5.0,-2.5,20.0,10.0,0,0.0,0,3,10.0%,2,0,0,0,0,0,0,0
99,Ihmir Smith-Marsette,1,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0,0.0,0,1,3.1%,0,0,0,0,0,0,0,0
100,Alex Erickson,1,1,9.0,9.0,5.0,5.0,73.0,73.0,4.0,4.0,0,0.0,0,7,17.1%,1,0,1,0,0,0,0,0
101,Trent Sherfield Sr.,1,1,9.0,9.0,-3.0,-3.0,10.0,10.0,12.0,12.0,0,0.0,0,2,5.6%,1,0,0,0,0,0,0,0
