,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Stefon Diggs,1,6,120.0,20.0,74.0,12.3,80.0,13.3,46,7.7,42,7.0,1,7,28.0%,6,0,3,5,1,1,1,1
2,A.J. Brown,1,9,175.0,19.4,123.0,13.7,212.0,23.6,52,5.8,34,3.8,0,13,38.2%,9,0,0,7,3,1,1,1
3,Nico Collins,1,7,168.0,24.0,77.0,11.0,94.0,13.4,91,13.0,56,8.0,3,9,33.3%,7,0,1,6,3,2,2,2
4,Puka Nacua,1,9,163.0,18.1,115.0,12.8,128.0,14.2,48,5.3,16,1.8,0,10,25.6%,9,0,1,6,5,1,0,0
5,Justin Jefferson,1,6,85.0,14.2,81.0,13.5,109.0,18.2,4,0.7,3,0.5,0,9,50.0%,6,0,1,3,2,1,0,0
6,Michael Wilson,1,7,76.0,10.9,61.0,8.7,61.0,8.7,15,2.1,0,0.0,0,7,17.1%,7,0,2,2,1,1,0,0
7,DJ Moore,1,8,131.0,16.4,109.0,13.6,121.0,15.1,22,2.8,13,1.6,0,9,28.1%,8,0,0,6,3,0,0,0
8,Brandon Aiyuk,1,6,148.0,24.7,129.0,21.5,129.0,21.5,19,3.2,2,0.3,0,6,28.6%,6,0,0,6,4,2,1,1
9,Allen Lazard,1,3,61.0,20.3,59.0,19.7,59.0,19.7,2,0.7,0,0.0,0,3,7.7%,3,0,1,3,1,1,0,0
10,Gabe Davis,1,3,61.0,20.3,52.0,17.3,52.0,17.3,9,3.0,4,1.3,0,3,12.0%,3,0,1,2,1,1,0,0
11,Amon-Ra St. Brown,1,5,56.0,11.2,42.0,8.4,62.0,12.4,14,2.8,7,1.4,3,7,25.9%,5,0,0,3,1,0,0,0
12,Deven Thompkins,1,4,45.0,11.3,12.0,3.0,12.0,3.0,33,8.3,8,2.0,1,4,13.3%,4,0,1,1,1,0,0,0
13,Braxton Berrios,1,6,43.0,7.2,31.0,5.2,31.0,5.2,12,2.0,2,0.3,0,6,17.6%,6,0,1,2,0,0,0,0
14,Chris Godwin,1,8,114.0,14.3,48.0,6.0,92.0,11.5,66,8.3,0,0.0,0,11,36.7%,8,0,2,3,2,2,1,1
15,Curtis Samuel,1,7,51.0,7.3,14.0,2.0,22.0,3.1,37,5.3,9,1.3,1,8,20.5%,8,1,1,2,0,0,0,0
16,Nick Westbrook-Ikhine,1,5,51.0,10.2,32.0,6.4,61.0,12.2,19,3.8,1,0.2,0,6,23.1%,5,0,1,2,1,0,0,0
17,CeeDee Lamb,1,4,36.0,9.0,28.0,7.0,54.0,13.5,8,2.0,4,1.0,1,6,16.7%,4,0,2,2,1,0,0,0
18,Calvin Ridley,1,2,38.0,19.0,37.0,18.5,37.0,18.5,1,0.5,0,0.0,0,2,6.7%,2,0,0,1,1,1,0,0
19,Marquise Brown,1,7,96.0,13.7,64.0,9.1,144.0,20.6,32,4.6,0,0.0,0,10,24.4%,7,0,0,4,1,1,1,1
20,Romeo Doubs,1,9,95.0,10.6,81.0,9.0,136.0,15.1,14,1.6,0,0.0,0,13,38.2%,9,0,2,5,0,0,0,0
21,DK Metcalf,1,3,34.0,11.3,27.0,9.0,39.0,13.0,7,2.3,3,1.0,0,4,15.4%,4,0,1,2,0,0,0,0
22,Keenan Allen,1,3,32.0,10.7,18.0,6.0,65.0,21.7,14,4.7,3,1.0,0,5,20.8%,3,0,1,1,1,0,0,0
23,Drake London,1,3,28.0,9.3,25.0,8.3,91.0,30.3,3,1.0,0,0.0,0,7,23.3%,3,0,2,1,0,0,0,0
24,Courtland Sutton,1,3,27.0,9.0,24.0,8.0,44.0,14.7,3,1.0,0,0.0,0,5,19.2%,3,0,2,1,0,0,0,0
25,Jahan Dotson,1,4,27.0,6.8,21.0,5.3,71.0,17.8,6,1.5,0,0.0,0,9,23.1%,5,1,4,1,0,0,0,0
26,Terry McLaurin,1,8,86.0,10.8,53.0,6.6,121.0,15.1,33,4.1,9,1.1,0,10,25.6%,8,0,0,4,1,0,0,0
27,Christian Watson,1,2,25.0,12.5,20.0,10.0,41.0,20.5,5,2.5,0,0.0,0,4,11.8%,2,0,1,1,1,0,0,0
28,Christian Kirk,1,8,84.0,10.5,55.0,6.9,83.0,10.4,29,3.6,5,0.6,0,12,40.0%,9,1,1,4,1,1,0,0
29,Adam Thielen,1,7,76.0,10.9,38.0,5.4,49.0,7.0,38,5.4,6,0.9,0,8,25.8%,8,1,0,4,1,0,0,0
30,DeVonta Smith,1,7,78.0,11.1,60.0,8.6,105.0,15.0,18,2.6,5,0.7,0,9,26.5%,7,0,0,2,1,1,0,0
31,Joshua Palmer,1,3,77.0,25.7,55.0,18.3,149.0,49.7,22,7.3,7,2.3,1,8,33.3%,4,1,0,2,1,1,1,1
32,Jayden Reed,1,3,55.0,18.3,51.0,17.0,90.0,30.0,4,1.3,0,0.0,0,5,14.7%,3,0,2,1,1,1,1,1
33,Davante Adams,1,8,75.0,9.4,61.0,7.6,148.0,18.5,14,1.8,2,0.3,0,13,34.2%,9,1,5,4,0,0,0,0
34,Ja'Marr Chase,1,7,73.0,10.4,29.0,4.1,31.0,4.4,44,6.3,7,1.0,1,9,33.3%,7,0,0,3,0,0,0,0
35,Tyreek Hill,1,3,58.0,19.3,46.0,15.3,55.0,18.3,12,4.0,7,2.3,0,5,14.7%,3,0,0,3,1,0,0,0
36,Josh Reynolds,1,3,69.0,23.0,51.0,17.0,82.0,27.3,18,6.0,0,0.0,0,6,22.2%,3,0,1,3,3,0,0,0
37,Derius Davis,1,2,16.0,8.0,-12.0,-6.0,-12.0,-6.0,28,14.0,2,1.0,0,2,8.3%,2,0,0,1,0,0,0,0
38,Trey Palmer,1,2,6.0,3.0,6.0,3.0,24.0,12.0,0,0.0,0,0.0,0,3,10.0%,2,0,1,0,0,0,0,0
39,Brandon Johnson,1,1,4.0,4.0,4.0,4.0,4.0,4.0,0,0.0,0,0.0,0,1,3.8%,1,0,1,0,0,0,0,0
40,DeAndre Hopkins,1,4,63.0,15.8,54.0,13.5,108.0,27.0,9,2.3,1,0.3,0,6,23.1%,4,0,2,2,1,1,0,0
41,Garrett Wilson,1,9,60.0,6.7,50.0,5.6,123.0,13.7,10,1.1,0,0.0,0,14,35.9%,9,0,2,2,0,0,0,0
42,Michael Gallup,1,5,60.0,12.0,19.0,3.8,27.0,5.4,41,8.2,3,0.6,1,6,16.7%,6,1,0,2,1,0,0,0
43,Terrace Marshall Jr.,1,9,56.0,6.2,23.0,2.6,19.0,2.1,33,3.7,5,0.6,0,10,32.3%,9,0,1,2,0,0,0,0
44,Tyler Lockett,1,4,54.0,13.5,43.0,10.8,49.0,12.3,11,2.8,2,0.5,0,6,23.1%,4,0,0,2,1,0,0,0
45,Jalen Tolbert,1,4,53.0,13.3,41.0,10.3,41.0,10.3,12,3.0,8,2.0,0,4,11.1%,4,0,0,3,0,0,0,0
46,Michael Thomas,1,4,53.0,13.3,37.0,9.3,80.0,20.0,16,4.0,0,0.0,0,6,15.8%,4,0,0,3,1,0,0,0
47,Jerry Jeudy,1,3,52.0,17.3,36.0,12.0,88.0,29.3,16,5.3,6,2.0,0,5,19.2%,4,1,0,2,1,0,0,0
48,KaVontae Turpin,1,1,5.0,5.0,3.0,3.0,3.0,3.0,2,2.0,0,0.0,0,1,2.8%,1,0,1,0,0,0,0,0
49,Dyami Brown,1,2,51.0,25.5,20.0,10.0,65.0,32.5,31,15.5,3,1.5,1,3,7.7%,2,0,0,2,1,1,0,0
50,Darnell Mooney,1,4,51.0,12.8,32.0,8.0,32.0,8.0,19,4.8,3,0.8,0,4,12.5%,4,0,0,3,0,0,0,0
51,Zay Flowers,1,3,56.0,18.7,43.0,14.3,55.0,18.3,13,4.3,0,0.0,0,4,22.2%,3,0,0,1,1,1,1,1
52,Wan'Dale Robinson,1,5,40.0,8.0,12.0,2.4,16.0,3.2,28,5.6,4,0.8,1,6,18.8%,5,0,0,2,0,0,0,0
53,Marvin Mims Jr.,1,2,47.0,23.5,29.0,14.5,29.0,14.5,18,9.0,11,5.5,0,2,7.7%,2,0,0,1,1,1,1,1
54,Jaylen Waddle,1,4,46.0,11.5,24.0,6.0,30.0,7.5,22,5.5,1,0.3,0,5,14.7%,4,0,1,3,0,0,0,0
55,DeMario Douglas,1,2,45.0,22.5,16.0,8.0,25.0,12.5,29,14.5,1,0.5,0,3,10.3%,2,0,0,1,1,1,1,1
