,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Calvin Ridley,1,7,103.0,14.7,88.0,12.6,110.0,15.7,15.0,2.1,0,0.0,0,9,29.0%,7,0,2,4,3,1,0,0
2,Brandon Aiyuk,1,5,156.0,31.2,78.0,15.6,91.0,18.2,78.0,15.6,22,4.4,0,6,24.0%,5,0,0,5,2,2,1,1
3,Tank Dell,1,8,149.0,18.6,132.0,16.5,159.0,19.9,17.0,2.1,6,0.8,0,10,26.3%,8,0,0,7,3,1,1,1
4,Tyreek Hill,1,10,146.0,14.6,103.0,10.3,121.0,12.1,43.0,4.3,4,0.4,3,11,30.6%,10,0,2,6,4,2,0,0
5,Keenan Allen,1,10,116.0,11.6,79.0,7.9,155.0,15.5,37.0,3.7,9,0.9,1,16,44.4%,11,1,4,4,1,1,0,0
6,Khalil Shakir,1,3,115.0,38.3,45.0,15.0,58.0,19.3,70.0,23.3,22,7.3,0,4,13.8%,3,0,0,2,2,1,1,1
7,DJ Moore,1,7,96.0,13.7,75.0,10.7,137.0,19.6,21.0,3.0,10,1.4,1,9,40.9%,7,0,0,4,1,1,0,0
8,DK Metcalf,1,5,94.0,18.8,70.0,14.0,130.0,26.0,24.0,4.8,9,1.8,0,9,23.7%,5,0,1,2,2,1,1,1
9,Jayden Reed,1,4,46.0,11.5,21.0,5.3,30.0,7.5,25.0,6.3,7,1.8,0,6,15.8%,4,0,0,2,0,0,0,0
10,Davante Adams,1,7,82.0,11.7,72.0,10.3,195.0,27.9,10.0,1.4,1,0.1,0,13,34.2%,8,1,1,2,2,1,1,1
11,Darius Slayton,1,4,82.0,20.5,43.0,10.8,60.0,15.0,39.0,9.8,6,1.5,0,5,19.2%,4,0,0,3,2,1,1,1
12,Puka Nacua,1,5,70.0,14.0,57.0,11.4,68.0,13.6,13.0,2.6,4,0.8,0,7,24.1%,5,0,3,4,1,1,0,0
13,Amon-Ra St. Brown,1,8,77.0,9.6,47.0,5.9,58.0,7.3,30.0,3.8,14,1.8,1,11,34.4%,8,0,4,3,0,0,0,0
14,Courtland Sutton,1,4,66.0,16.5,64.0,16.0,73.0,18.3,2.0,0.5,0,0.0,0,5,15.6%,4,0,1,3,1,1,0,0
15,DeAndre Hopkins,1,4,59.0,14.8,49.0,12.3,63.0,15.8,10.0,2.5,2,0.5,0,5,29.4%,4,0,0,2,1,1,1,1
16,Odell Beckham Jr.,1,4,116.0,29.0,67.0,16.8,159.0,39.8,49.0,12.3,11,2.8,0,7,30.4%,4,0,1,4,3,1,1,1
17,Rondale Moore,1,1,48.0,48.0,47.0,47.0,47.0,47.0,1.0,1.0,0,0.0,0,1,3.4%,1,0,0,1,1,1,1,1
18,Romeo Doubs,1,5,53.0,10.6,40.0,8.0,89.0,17.8,13.0,2.6,3,0.6,0,6,15.8%,5,0,1,2,1,0,0,0
19,Justin Watson,1,5,53.0,10.6,52.0,10.4,142.0,28.4,1.0,0.2,1,0.2,0,11,28.2%,6,1,2,3,0,0,0,0
20,CeeDee Lamb,1,6,38.0,6.3,20.0,3.3,76.0,12.7,18.0,3.0,4,0.7,1,9,22.5%,6,0,2,1,0,0,0,0
21,Jameson Williams,1,2,44.0,22.0,44.0,22.0,83.0,41.5,0.0,0.0,0,0.0,0,3,9.4%,2,0,0,2,1,1,0,0
22,Mike Evans,1,5,43.0,8.6,33.0,6.6,174.0,34.8,10.0,2.0,0,0.0,0,12,27.9%,5,0,3,3,0,0,0,0
23,DeVonta Smith,1,6,99.0,16.5,93.0,15.5,96.0,16.0,6.0,1.0,0,0.0,0,8,38.1%,6,0,1,4,2,1,1,1
24,Nelson Agholor,1,1,37.0,37.0,7.0,7.0,7.0,7.0,30.0,30.0,13,13.0,0,1,4.3%,1,0,0,1,1,1,0,0
25,Dontayvion Wicks,1,3,91.0,30.3,42.0,14.0,64.0,21.3,49.0,16.3,31,10.3,1,5,13.2%,4,1,0,3,3,1,0,0
26,Chris Moore,1,1,49.0,49.0,49.0,49.0,49.0,49.0,0.0,0.0,0,0.0,0,1,5.9%,1,0,0,1,1,1,1,1
