,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Tyreek Hill,1,11,186.0,16.9,143.0,13.0,0,0.0,43.0,3.9,23,2.1,2,12,40.0%,11,0,2,7,3,3,1,1
2,Deebo Samuel Sr.,1,8,156.0,19.5,70.0,8.8,0,0.0,86.0,10.8,10,1.3,2,13,33.3%,9,0,1,5,2,1,1,1
3,Terry McLaurin,1,6,123.0,20.5,115.0,19.2,0,0.0,8.0,1.3,4,0.7,1,13,39.4%,7,0,2,5,4,1,0,0
4,DJ Moore,1,8,113.0,14.1,39.0,4.9,0,0.0,74.0,9.3,22,2.8,1,12,30.8%,8,0,3,2,2,1,0,0
5,Randall Cobb,1,5,69.0,13.8,52.0,10.4,0,0.0,17.0,3.4,10,2.0,0,6,17.1%,5,0,1,3,2,0,0,0
6,Corey Davis,1,4,111.0,27.8,92.0,23.0,0,0.0,19.0,4.8,16,4.0,0,7,20.6%,5,1,0,4,2,2,1,1
7,Kalif Raymond,1,3,46.0,15.3,24.0,8.0,0,0.0,22.0,7.3,1,0.3,0,6,16.2%,4,1,2,2,1,0,0,0
8,Diontae Johnson,1,9,92.0,10.2,68.0,7.6,0,0.0,24.0,2.7,7,0.8,1,13,33.3%,9,0,1,3,1,1,1,1
9,Marquise Brown,1,4,91.0,22.8,64.0,16.0,0,0.0,27.0,6.8,0,0.0,0,5,14.3%,4,0,0,2,2,2,1,1
10,Van Jefferson,1,6,90.0,15.0,69.0,11.5,0,0.0,21.0,3.5,5,0.8,0,6,14.6%,6,0,1,5,2,0,0,0
11,Justin Jefferson,1,6,84.0,14.0,63.0,10.5,0,0.0,21.0,3.5,4,0.7,0,7,19.4%,6,0,1,4,2,1,0,0
12,DeVante Parker,1,4,77.0,19.3,70.0,17.5,0,0.0,7.0,1.8,2,0.5,0,9,30.0%,6,2,2,2,2,1,1,1
13,John Ross,1,3,77.0,8.7,18.0,6.0,0,0.0,8.0,2.7,0,0.0,0,4,11.1%,3,0,0,1,0,0,0,0
14,Darnell Mooney,1,5,125.0,25.0,100.0,20.0,0,0.0,25.0,5.0,17,3.4,1,7,41.2%,5,0,0,3,3,2,1,1
15,Amari Cooper,1,3,69.0,23.0,53.0,17.7,0,0.0,16.0,5.3,3,1.0,0,3,13.6%,3,0,0,3,2,1,0,0
16,A.J. Green,1,5,67.0,13.4,46.0,9.2,0,0.0,21.0,4.2,4,0.8,0,6,20.7%,5,0,1,2,1,1,1,1
17,DK Metcalf,1,4,65.0,16.3,36.0,9.0,0,0.0,29.0,7.3,16,4.0,1,8,36.4%,7,1,1,3,1,0,0,0
18,DeVonta Smith,1,7,122.0,17.4,84.0,12.0,0,0.0,38.0,5.4,11,1.6,0,10,22.7%,8,0,0,5,3,1,0,0
19,Jamison Crowder,1,7,61.0,8.7,42.0,6.0,0,0.0,19.0,2.7,10,1.4,0,9,26.5%,8,1,4,2,1,0,0,0
20,Tyler Boyd,1,9,118.0,13.1,40.0,4.4,0,0.0,78.0,8.7,7,0.8,1,11,34.4%,9,0,1,6,2,1,0,0
21,Kenny Golladay,1,6,116.0,19.3,67.0,11.2,0,0.0,49.0,8.2,20,3.3,2,7,19.4%,6,0,0,5,3,0,0,0
22,Stefon Diggs,1,7,114.0,16.3,100.0,14.3,0,0.0,14.0,2.0,9,1.3,1,11,35.5%,7,0,3,4,2,2,0,0
23,Laviska Shenault Jr.,1,6,99.0,16.5,71.0,11.8,0,0.0,28.0,4.7,16,2.7,1,7,31.8%,6,0,1,3,2,1,1,1
24,Robert Woods,1,4,48.0,12.0,38.0,9.5,0,0.0,10.0,2.5,2,0.5,0,6,14.6%,4,0,2,2,0,0,0,0
25,Hunter Renfrow,1,6,45.0,7.5,27.0,4.5,0,0.0,18.0,3.0,6,1.0,0,8,25.0%,7,1,1,2,0,0,0,0
26,Keelan Cole Sr.,1,3,92.0,30.7,83.0,27.7,0,0.0,9.0,3.0,2,0.7,0,4,11.8%,3,0,0,2,2,1,1,1
27,Cedrick Wilson Jr.,1,2,30.0,15.0,13.0,6.5,0,0.0,17.0,8.5,6,3.0,0,2,9.1%,2,0,0,1,1,0,0,0
28,Jakobi Meyers,1,8,70.0,8.8,47.0,5.9,0,0.0,23.0,2.9,6,0.8,0,12,28.6%,10,1,1,3,1,0,0,0
29,DeAndre Carter,1,1,24.0,24.0,18.0,18.0,0,0.0,6.0,6.0,0,0.0,0,1,3.0%,1,0,0,1,1,0,0,0
30,Quintez Cephus,1,4,83.0,20.8,42.0,10.5,0,0.0,41.0,10.3,11,2.8,1,5,13.5%,4,0,1,3,3,1,0,0
31,Emmanuel Sanders,1,5,74.0,14.8,69.0,13.8,0,0.0,5.0,1.0,3,0.6,0,6,19.4%,5,0,1,3,2,0,0,0
32,Calvin Ridley,1,7,80.0,11.4,63.0,9.0,0,0.0,17.0,2.4,4,0.6,0,13,32.5%,9,0,1,3,1,0,0,0
33,Freddie Swain,1,3,20.0,6.7,10.0,3.3,0,0.0,10.0,3.3,5,1.7,0,4,18.2%,3,0,1,1,0,0,0,0
34,Kadarius Toney,1,6,78.0,13.0,28.0,4.7,0,0.0,50.0,8.3,13,2.2,1,9,25.0%,7,1,0,4,1,0,0,0
35,Ja'Marr Chase,1,6,77.0,12.8,55.0,9.2,0,0.0,22.0,3.7,0,0.0,0,9,28.1%,6,0,0,3,1,1,1,1
36,Greg Ward,1,1,15.0,15.0,15.0,15.0,0,0.0,0.0,0.0,0,0.0,0,2,4.5%,2,1,2,1,0,0,0,0
37,Mike Evans,1,7,75.0,10.7,56.0,8.0,0,0.0,19.0,2.7,2,0.3,0,12,27.9%,8,1,1,3,1,0,0,0
38,James Proche II,1,5,74.0,14.8,35.0,7.0,0,0.0,39.0,7.8,4,0.8,0,6,17.1%,5,0,0,3,1,1,0,0
39,Marquez Callaway,1,2,74.0,37.0,64.0,32.0,0,0.0,10.0,5.0,0,0.0,0,2,7.7%,2,0,0,2,1,1,1,1
40,Amon-Ra St. Brown,1,6,70.0,11.7,53.0,8.8,0,0.0,17.0,2.8,4,0.7,0,8,21.6%,6,0,2,2,1,0,0,0
41,James Washington,1,4,69.0,17.3,40.0,10.0,0,0.0,29.0,7.3,20,5.0,0,5,12.8%,4,0,0,4,1,1,0,0
42,DeAndre Hopkins,1,4,67.0,16.8,50.0,12.5,0,0.0,17.0,4.3,11,2.8,0,7,24.1%,4,0,2,4,1,0,0,0
43,Davante Adams,1,6,64.0,10.7,32.0,5.3,0,0.0,32.0,5.3,8,1.3,0,11,31.4%,7,1,1,4,1,0,0,0
44,Cooper Kupp,1,5,64.0,12.8,47.0,9.4,0,0.0,17.0,3.4,5,1.0,0,13,31.7%,6,1,2,1,1,1,0,0
45,Brandon Zylstra,1,2,63.0,31.5,18.0,9.0,0,0.0,45.0,22.5,2,1.0,0,2,5.1%,2,0,1,1,1,1,1,1
