,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Deebo Samuel Sr.,1,1,12.0,12.0,7.0,7.0,0,0.0,5,5.0,3,3.0,0,4,15.4%,1,0,0,1,0,0,0,0
2,Jaylen Waddle,1,9,137.0,15.2,70.0,7.8,0,0.0,67,7.4,3,0.3,0,10,32.3%,9,0,2,5,2,1,1,1
3,Adam Thielen,1,5,62.0,12.4,52.0,10.4,0,0.0,10,2.0,3,0.6,0,7,21.9%,5,0,1,2,2,0,0,0
4,Kendrick Bourne,1,5,61.0,12.2,24.0,4.8,0,0.0,37,7.4,18,3.6,1,6,18.8%,5,0,2,1,1,1,1,1
5,Tee Higgins,1,6,114.0,19.0,94.0,15.7,0,0.0,20,3.3,2,0.3,0,8,33.3%,6,0,0,6,1,1,0,0
6,DeSean Jackson,1,3,102.0,34.0,56.0,18.7,0,0.0,46,15.3,2,0.7,0,4,10.5%,3,0,0,3,2,2,1,1
7,Van Jefferson,1,3,93.0,31.0,54.0,18.0,0,0.0,39,13.0,39,13.0,1,9,23.1%,5,2,0,1,1,1,1,1
8,Odell Beckham Jr.,1,5,81.0,16.2,55.0,11.0,0,0.0,26,5.2,4,0.8,0,10,25.6%,5,0,1,1,1,1,1,1
9,Hunter Renfrow,1,8,134.0,16.8,79.0,9.9,0,0.0,55,6.9,23,2.9,0,9,23.7%,8,0,0,4,2,2,1,1
10,Randall Cobb,1,4,95.0,23.8,26.0,6.5,0,0.0,69,17.3,46,11.5,1,5,11.4%,4,0,2,2,2,1,1,1
11,Stefon Diggs,1,7,74.0,10.6,53.0,7.6,0,0.0,21,3.0,17,2.4,1,9,34.6%,8,0,1,2,1,0,0,0
12,Josh Reynolds,1,3,70.0,23.3,56.0,18.7,0,0.0,14,4.7,8,2.7,1,5,20.0%,3,0,0,3,1,1,0,0
13,Darnell Mooney,1,5,123.0,24.6,91.0,18.2,0,0.0,32,6.4,2,0.4,0,8,21.6%,6,1,0,5,2,2,1,1
14,Russell Gage,1,6,62.0,10.3,28.0,4.7,0,0.0,34,5.7,15,2.5,1,7,25.0%,7,0,1,3,0,0,0,0
15,Ashton Dulin,1,1,62.0,62.0,52.0,52.0,0,0.0,10,10.0,0,0.0,0,1,2.3%,1,0,0,1,1,1,1,1
16,Cooper Kupp,1,7,96.0,13.7,55.0,7.9,0,0.0,41,5.9,25,3.6,1,10,25.6%,7,0,0,6,1,0,0,0
17,Michael Gallup,1,5,106.0,21.2,86.0,17.2,0,0.0,20,4.0,5,1.0,0,8,17.0%,5,0,1,3,2,2,1,1
18,Brandin Cooks,1,3,45.0,15.0,40.0,13.3,0,0.0,5,1.7,0,0.0,0,5,19.2%,3,0,0,1,1,1,1,1
19,Davante Adams,1,8,104.0,13.0,68.0,8.5,0,0.0,36,4.5,14,1.8,1,9,20.5%,8,0,1,3,1,1,1,1
20,Cedrick Wilson Jr.,1,7,104.0,14.9,61.0,8.7,0,0.0,43,6.1,37,5.3,0,10,21.3%,8,1,1,4,1,1,1,1
21,DJ Moore,1,4,103.0,25.8,75.0,18.8,0,0.0,28,7.0,4,1.0,0,10,32.3%,6,2,1,3,1,1,1,1
22,Jakobi Meyers,1,5,98.0,19.6,71.0,14.2,0,0.0,27,5.4,3,0.6,0,8,25.0%,7,0,0,4,3,1,0,0
23,Tyler Lockett,1,3,96.0,32.0,64.0,21.3,0,0.0,32,10.7,1,0.3,0,5,16.1%,3,0,1,2,2,2,1,1
24,Brandon Aiyuk,1,3,91.0,30.3,51.0,17.0,0,0.0,40,13.3,10,3.3,0,6,23.1%,3,0,0,3,3,2,0,0
25,Diontae Johnson,1,9,95.0,10.6,60.0,6.7,0,0.0,35,3.9,4,0.4,1,14,35.9%,9,0,0,6,0,0,0,0
26,Justin Jefferson,1,4,83.0,20.8,62.0,15.5,0,0.0,21,5.3,13,3.3,1,9,28.1%,4,0,2,4,2,1,0,0
27,Freddie Swain,1,1,32.0,32.0,31.0,31.0,0,0.0,1,1.0,0,0.0,0,2,6.5%,2,0,0,1,1,1,0,0
28,Jarvis Landry,1,6,111.0,18.5,62.0,10.3,0,0.0,49,8.2,19,3.2,0,10,29.4%,6,0,0,5,2,2,0,0
29,T.Y. Hilton,1,4,28.0,7.0,25.0,6.3,0,0.0,3,0.8,0,0.0,0,5,11.6%,4,0,2,1,0,0,0,0
30,Keenan Allen,1,7,85.0,12.1,60.0,8.6,0,0.0,25,3.6,6,0.9,0,10,22.7%,7,0,0,4,1,0,0,0
31,Nick Westbrook-Ikhine,1,2,25.0,12.5,22.0,11.0,0,0.0,3,1.5,0,0.0,0,6,28.6%,2,0,1,1,1,0,0,0
32,Jauan Jennings,1,2,24.0,12.0,18.0,9.0,0,0.0,6,3.0,4,2.0,0,3,11.5%,2,0,2,1,1,0,0,0
33,Chase Claypool,1,3,82.0,27.3,73.0,24.3,0,0.0,9,3.0,0,0.0,0,8,20.5%,4,1,0,3,2,2,1,1
34,Tavon Austin,1,2,21.0,10.5,21.0,10.5,0,0.0,0,0.0,9,4.5,0,2,4.9%,2,0,1,1,0,0,0,0
35,Zay Jones,1,5,59.0,11.8,2.0,0.4,0,0.0,57,11.4,12,2.4,1,7,18.4%,5,0,0,2,1,1,0,0
36,Noah Brown,1,6,53.0,8.8,35.0,5.8,0,0.0,18,3.0,10,1.7,0,9,19.1%,6,0,1,2,0,0,0,0
37,Michael Pittman Jr.,1,4,53.0,13.3,50.0,12.5,0,0.0,3,0.8,1,0.3,0,10,23.3%,6,2,0,3,1,0,0,0
38,Elijah Moore,1,4,46.0,11.5,28.0,7.0,0,0.0,18,4.5,2,0.5,0,8,34.8%,4,0,1,3,1,0,0,0
39,Laquon Treadwell,1,4,53.0,13.3,25.0,6.3,0,0.0,28,7.0,11,2.8,1,8,19.5%,4,0,2,3,1,0,0,0
40,Marquise Brown,1,8,51.0,6.4,28.0,3.5,0,0.0,23,2.9,8,1.0,0,10,31.3%,8,0,0,2,0,0,0,0
41,Terry McLaurin,1,4,51.0,12.8,25.0,6.3,0,0.0,26,6.5,6,1.5,0,7,20.6%,5,1,0,3,1,0,0,0
42,Marquez Valdes-Scantling,1,4,50.0,12.5,39.0,9.8,0,0.0,11,2.8,3,0.8,0,9,20.5%,4,0,0,1,1,0,0,0
43,Kenny Golladay,1,3,50.0,16.7,41.0,13.7,0,0.0,9,3.0,7,2.3,0,7,24.1%,6,0,3,3,0,0,0,0
44,Gabe Davis,1,2,47.0,23.5,29.0,14.5,0,0.0,18,9.0,6,3.0,1,3,11.5%,2,0,1,2,2,0,0,0
45,Braxton Berrios,1,2,47.0,23.5,1.0,0.5,0,0.0,46,23.0,3,1.5,0,3,13.0%,2,0,0,1,1,1,1,1
