,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Jayden Reed,1,4,138,34.5,83.0,20.8,104.0,26.0,55.0,13.8,34.0,8.5,1,6,18.8%,4,0,0,3,3,2,1,1
2,Allen Lazard,1,6,89,14.8,60.0,10.0,91.0,15.2,29.0,4.8,7.0,1.2,0,9,31.0%,6,0,3,3,2,1,0,0
3,Jameson Williams,1,5,121,24.2,58.0,11.6,127.0,25.4,63.0,12.6,5.0,1.0,1,9,32.1%,5,0,1,3,3,2,1,1
4,Tyreek Hill,1,7,130,18.6,46.0,6.6,143.0,20.4,84.0,12.0,13.0,1.9,1,12,33.3%,7,0,2,5,2,1,1,1
5,Xavier Worthy,1,2,47,23.5,24.0,12.0,37.0,18.5,23.0,11.5,1.0,0.5,0,3,11.1%,2,0,1,2,1,1,0,0
6,Alec Pierce,1,3,125,41.7,119.0,39.7,119.0,39.7,6.0,2.0,0.0,0.0,0,3,15.8%,3,0,0,2,2,2,2,2
7,Mike Evans,1,5,61,12.2,53.0,10.6,64.0,12.8,8.0,1.6,1.0,0.2,0,6,20.0%,5,0,3,3,1,0,0,0
8,Cooper Kupp,1,14,110,7.9,69.0,4.9,153.0,10.9,41.0,2.9,21.0,1.5,1,21,43.8%,15,1,3,4,2,0,0,0
9,A.J. Brown,1,5,119,23.8,54.0,10.8,108.0,21.6,65.0,13.0,7.0,1.4,0,10,34.5%,5,0,1,4,2,1,1,1
10,Stefon Diggs,1,6,33,5.5,9.0,1.5,9.0,1.5,24.0,4.0,4.0,0.7,0,6,19.4%,6,0,3,2,0,0,0,0
11,Chris Godwin,1,8,83,10.4,35.0,4.4,35.0,4.4,48.0,6.0,14.0,1.8,0,8,26.7%,8,0,1,4,1,0,0,0
12,Deebo Samuel Sr.,1,5,54,10.8,19.0,3.8,85.0,17.0,35.0,7.0,21.0,4.2,1,9,31.0%,5,0,1,3,1,0,0,0
13,Rashid Shaheed,1,3,73,24.3,43.0,14.3,97.0,32.3,30.0,10.0,1.0,0.3,0,5,20.8%,3,0,0,2,1,1,1,1
14,Justin Jefferson,1,4,59,14.8,40.0,10.0,63.0,15.8,19.0,4.8,4.0,1.0,0,6,26.1%,4,0,1,1,1,1,1,1
15,Nico Collins,1,6,117,19.5,101.0,16.8,124.0,20.7,16.0,2.7,13.0,2.2,0,8,25.8%,7,1,0,4,1,1,1,1
16,Ashton Dulin,1,1,54,54.0,19.0,19.0,19.0,19.0,35.0,35.0,6.0,6.0,1,1,5.3%,1,0,0,1,1,1,1,1
17,Jaylen Waddle,1,5,109,21.8,72.0,14.4,72.0,14.4,37.0,7.4,1.0,0.2,0,5,13.9%,5,0,0,4,2,1,1,1
18,Brian Thomas Jr.,1,4,47,11.8,39.0,9.8,39.0,9.8,8.0,2.0,4.0,1.0,0,4,21.1%,4,0,1,2,0,0,0,0
19,Brandin Cooks,1,4,40,10.0,35.0,8.8,79.0,19.8,5.0,1.3,0.0,0.0,0,7,22.6%,4,0,0,2,1,0,0,0
20,Rashee Rice,1,7,103,14.7,30.0,4.3,48.0,6.9,73.0,10.4,31.0,4.4,1,9,33.3%,7,0,0,5,1,1,0,0
21,Khalil Shakir,1,3,42,14.0,12.0,4.0,12.0,4.0,30.0,10.0,16.0,5.3,1,3,13.0%,3,0,1,3,0,0,0,0
22,Ladd McConkey,1,5,39,7.8,26.0,5.2,37.0,7.4,13.0,2.6,7.0,1.4,2,7,28.0%,5,0,2,2,0,0,0,0
23,Jalen McMillan,1,1,32,32.0,29.0,29.0,54.0,54.0,3.0,3.0,0.0,0.0,0,3,10.0%,2,1,0,1,1,1,0,0
24,CeeDee Lamb,1,5,61,12.2,29.0,5.8,107.0,21.4,32.0,6.4,21.0,4.2,2,10,32.3%,6,1,0,2,1,1,0,0
25,Jerry Jeudy,1,3,25,8.3,21.0,7.0,116.0,38.7,4.0,1.3,0.0,0.0,0,8,18.6%,3,0,2,1,0,0,0,0
26,Mack Hollins,1,2,25,12.5,24.0,12.0,24.0,12.0,1.0,0.5,0.0,0.0,0,2,8.7%,2,0,1,2,0,0,0,0
27,DeVonta Smith,1,7,84,12.0,33.0,4.7,64.0,9.1,51.0,7.3,19.0,2.7,0,8,27.6%,7,0,1,3,1,0,0,0
28,Jalen Nailor,1,1,21,21.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0,1,4.3%,1,0,0,1,1,0,0,0
29,Tyler Johnson,1,5,79,15.8,14.0,2.8,31.0,6.2,65.0,13.0,62.0,12.4,0,7,14.6%,6,1,1,2,1,1,1,1
30,Tyler Lockett,1,6,77,12.8,69.0,11.5,87.0,14.5,8.0,1.3,3.0,0.5,1,7,28.0%,6,0,0,4,0,0,0,0
31,George Pickens,1,6,85,14.2,79.0,13.2,99.0,16.5,6.0,1.0,-1.0,-0.2,0,7,31.8%,6,0,0,3,2,2,1,1
32,Christian Watson,1,3,13,4.3,10.0,3.3,53.0,17.7,3.0,1.0,1.0,0.3,0,5,15.6%,3,0,2,0,0,0,0,0
