,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Jauan Jennings,1,11,175.0,15.9,149.0,13.5,149.0,13.5,26.0,2.4,3,0.3,0,12,40.0%,11,0,2,7,3,3,0,0
2,Ja'Marr Chase,1,6,118.0,19.7,86.0,14.3,92.0,15.3,32.0,5.3,8,1.3,1,7,18.4%,7,1,2,4,3,2,1,1
3,Amari Cooper,1,7,86.0,12.3,76.0,10.9,129.0,18.4,10.0,1.4,0,0.0,0,12,34.3%,9,2,1,3,2,0,0,0
4,Malik Nabers,1,8,78.0,9.8,59.0,7.4,127.0,15.9,19.0,2.4,7,0.9,0,12,36.4%,9,1,2,3,1,0,0,0
5,Diontae Johnson,1,8,122.0,15.3,72.0,9.0,124.0,15.5,50.0,6.3,12,1.5,0,14,37.8%,9,1,4,6,2,1,0,0
6,Rome Odunze,1,6,112.0,18.7,90.0,15.0,245.0,40.8,22.0,3.7,5,0.8,1,11,22.9%,6,0,1,4,2,1,1,1
7,Rashee Rice,1,12,110.0,9.2,44.0,3.7,60.0,5.0,66.0,5.5,31,2.6,3,14,38.9%,13,1,2,5,1,0,0,0
8,DK Metcalf,1,4,104.0,26.0,65.0,16.3,97.0,24.3,39.0,9.8,3,0.8,0,6,18.2%,4,0,0,2,2,1,1,1
9,Terry McLaurin,1,4,100.0,25.0,89.0,22.3,148.0,37.0,11.0,2.8,4,1.0,0,6,26.1%,4,0,0,3,2,1,1,1
10,Tre Tucker,1,7,96.0,13.7,55.0,7.9,107.0,15.3,41.0,5.9,10,1.4,0,9,23.1%,7,0,1,2,1,1,1,1
11,Calvin Austin III,1,4,95.0,23.8,35.0,8.8,55.0,13.8,60.0,15.0,13,3.3,0,5,16.1%,4,0,0,2,2,1,1,1
12,Chris Olave,1,6,86.0,14.3,75.0,12.5,75.0,12.5,11.0,1.8,0,0.0,0,6,26.1%,6,0,1,4,1,0,0,0
13,Jakobi Meyers,1,7,62.0,8.9,51.0,7.3,90.0,12.9,11.0,1.6,2,0.3,2,9,23.1%,7,0,2,3,0,0,0,0
14,Justin Jefferson,1,6,81.0,13.5,68.0,11.3,78.0,13.0,13.0,2.2,2,0.3,0,8,32.0%,8,2,3,3,2,0,0,0
15,Amon-Ra St. Brown,1,7,75.0,10.7,59.0,8.4,62.0,8.9,16.0,2.3,9,1.3,0,8,36.4%,7,0,1,4,1,0,0,0
16,DeAndre Hopkins,1,6,73.0,12.2,68.0,11.3,72.0,12.0,5.0,0.8,5,0.8,1,7,20.6%,6,0,1,4,1,0,0,0
17,Khalil Shakir,1,6,72.0,12.0,-4.0,-0.7,-4.0,-0.7,76.0,12.7,28,4.7,0,6,20.0%,6,0,0,3,1,0,0,0
18,Drake London,1,6,67.0,11.2,37.0,6.2,81.0,13.5,30.0,5.0,21,3.5,1,9,33.3%,6,0,3,5,0,0,0,0
19,Marvin Harrison Jr.,1,5,64.0,12.8,62.0,12.4,184.0,36.8,2.0,0.4,1,0.2,0,11,32.4%,5,0,1,4,0,0,0,0
20,Chris Godwin,1,6,53.0,8.8,24.0,4.0,57.0,9.5,29.0,4.8,10,1.7,0,9,28.1%,7,1,1,2,0,0,0,0
21,Andrei Iosivas,1,5,52.0,10.4,44.0,8.8,64.0,12.8,8.0,1.6,1,0.2,0,7,18.4%,5,0,2,3,0,0,0,0
22,KaVontae Turpin,1,3,51.0,17.0,46.0,15.3,46.0,15.3,5.0,1.7,2,0.7,0,3,6.0%,3,0,1,3,1,0,0,0
23,Allen Lazard,1,3,48.0,16.0,9.0,3.0,9.0,3.0,39.0,13.0,33,11.0,0,3,8.8%,3,0,1,3,1,0,0,0
24,Quentin Johnston,1,2,44.0,22.0,23.0,11.5,23.0,11.5,21.0,10.5,4,2.0,0,2,10.5%,2,0,0,2,1,0,0,0
25,Jalen Tolbert,1,3,42.0,14.0,39.0,13.0,100.0,33.3,3.0,1.0,0,0.0,0,5,10.0%,3,0,1,2,0,0,0,0
26,Adam Thielen,1,3,40.0,13.3,35.0,11.7,44.0,14.7,5.0,1.7,0,0.0,0,5,13.5%,4,1,0,1,1,1,0,0
27,Stefon Diggs,1,10,94.0,9.4,63.0,6.3,97.0,9.7,31.0,3.1,15,1.5,0,12,27.9%,11,1,0,4,0,0,0,0
28,Jalen Nailor,1,3,31.0,10.3,27.0,9.0,34.0,11.3,4.0,1.3,0,0.0,0,4,16.0%,3,0,1,1,0,0,0,0
29,Tutu Atwell,1,4,93.0,23.3,71.0,17.8,79.0,19.8,22.0,5.5,2,0.5,0,5,21.7%,4,0,0,3,2,1,1,1
30,Garrett Wilson,1,5,33.0,6.6,18.0,3.6,78.0,15.6,15.0,3.0,9,1.8,0,9,26.5%,6,1,2,0,0,0,0,0
31,Rashod Bateman,1,3,28.0,9.3,22.0,7.3,30.0,10.0,6.0,2.0,3,1.0,0,4,26.7%,3,0,2,2,0,0,0,0
32,Nico Collins,1,4,86.0,21.5,38.0,9.5,100.0,25.0,48.0,12.0,17,4.3,1,10,23.3%,4,0,4,3,2,1,0,0
33,Keon Coleman,1,1,24.0,24.0,19.0,19.0,19.0,19.0,5.0,5.0,1,1.0,0,1,3.3%,1,0,0,1,1,0,0,0
34,Christian Kirk,1,8,79.0,9.9,58.0,7.3,76.0,9.5,21.0,2.6,8,1.0,0,10,22.7%,8,0,1,3,1,0,0,0
35,DeVonta Smith,1,7,79.0,11.3,56.0,8.0,131.0,18.7,23.0,3.3,5,0.7,0,10,27.8%,7,0,1,3,1,0,0,0
36,DeMario Douglas,1,7,69.0,9.9,45.0,6.4,54.0,7.7,24.0,3.4,6,0.9,0,9,37.5%,8,1,0,3,1,0,0,0
37,JuJu Smith-Schuster,1,2,17.0,8.5,8.0,4.0,13.0,6.5,9.0,4.5,3,1.5,0,3,8.3%,3,1,1,1,0,0,0,0
38,DJ Moore,1,8,78.0,9.8,61.0,7.6,80.0,10.0,17.0,2.1,6,0.8,0,10,20.8%,8,0,3,2,1,1,1,1
39,Jayden Reed,1,4,50.0,12.5,1.0,0.3,-6.0,-1.5,49.0,12.3,6,1.5,1,6,31.6%,5,1,1,1,1,1,0,0
40,Courtland Sutton,1,7,68.0,9.7,65.0,9.3,113.0,16.1,3.0,0.4,0,0.0,0,11,32.4%,7,0,1,3,1,0,0,0
41,Christian Watson,1,2,67.0,33.5,47.0,23.5,47.0,23.5,20.0,10.0,3,1.5,0,2,10.5%,2,0,0,2,2,2,0,0
42,Darnell Mooney,1,8,66.0,8.3,24.0,3.0,24.0,3.0,42.0,5.3,14,1.8,0,8,29.6%,8,0,0,3,1,0,0,0
43,Michael Wilson,1,8,64.0,8.0,54.0,6.8,71.0,8.9,10.0,1.3,7,0.9,0,9,26.5%,8,0,0,1,1,0,0,0
44,Tank Dell,1,5,62.0,12.4,43.0,8.6,49.0,9.8,19.0,3.8,8,1.6,1,6,14.0%,5,0,1,3,0,0,0,0
