,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Trey Burton,1,4,58,14.5,37.0,9.3,0,0.0,21,5.3,1,0.3,0,5,11.9%,4,0,1,4,1,0,0,0
2,Anthony Firkser,1,8,113,14.1,63.0,7.9,0,0.0,50,6.3,19,2.4,2,9,22.0%,8,0,2,3,2,1,1,1
3,George Kittle,1,7,109,15.6,38.0,5.4,0,0.0,71,10.1,11,1.6,0,10,31.3%,9,2,0,4,1,1,1,1
4,Travis Kelce,1,5,65,13.0,49.0,9.8,0,0.0,16,3.2,3,0.6,0,7,26.9%,6,1,2,4,1,0,0,0
5,Darren Fells,1,6,85,14.2,39.0,6.5,0,0.0,46,7.7,19,3.2,1,7,18.9%,6,0,1,4,1,1,0,0
6,Rob Gronkowski,1,5,78,15.6,53.0,10.6,0,0.0,25,5.0,7,1.4,0,8,29.6%,6,1,2,4,1,1,0,0
7,Hayden Hurst,1,4,57,14.3,21.0,5.3,0,0.0,36,9.0,0,0.0,0,4,10.8%,4,0,0,1,1,1,0,0
8,Adam Shaheen,1,3,51,17.0,16.0,5.3,0,0.0,35,11.7,6,2.0,0,3,10.3%,3,0,1,1,1,1,1,1
9,Logan Thomas,1,3,42,14.0,29.0,9.7,0,0.0,13,4.3,5,1.7,1,4,10.0%,3,0,1,1,1,0,0,0
10,Nick Boyle,1,3,33,11.0,26.0,8.7,0,0.0,7,2.3,5,1.7,0,3,12.0%,3,0,1,1,0,0,0,0
11,Cole Kmet,1,2,20,10.0,15.0,7.5,0,0.0,5,2.5,4,2.0,0,2,5.6%,2,0,1,1,0,0,0,0
12,T.J. Hockenson,1,2,17,8.5,12.0,6.0,0,0.0,5,2.5,0,0.0,0,5,16.1%,3,1,3,1,0,0,0,0
13,Irv Smith Jr.,1,4,55,13.8,30.0,7.5,0,0.0,25,6.3,4,1.0,0,5,14.3%,4,0,2,2,1,1,0,0
14,Jack Doyle,1,3,29,9.7,24.0,8.0,0,0.0,5,1.7,2,0.7,0,3,7.1%,3,0,1,2,0,0,0,0
15,Durham Smythe,1,1,4,4.0,4.0,4.0,0,0.0,0,0.0,0,0.0,0,2,6.9%,1,0,2,0,0,0,0,0
16,Jason Croom,1,1,3,3.0,3.0,3.0,0,0.0,0,0.0,0,0.0,0,1,2.6%,1,0,1,0,0,0,0,0
17,Tyler Higbee,1,3,56,18.7,37.0,12.3,0,0.0,19,6.3,3,1.0,0,4,10.8%,3,0,0,2,1,1,0,0
18,Austin Hooper,1,5,52,10.4,13.0,2.6,0,0.0,39,7.8,7,1.4,0,6,23.1%,5,0,0,1,1,1,0,0
19,Kyle Rudolph,1,3,47,15.7,24.0,8.0,0,0.0,23,7.7,4,1.3,0,4,11.4%,3,0,1,2,0,0,0,0
20,Albert Okwuegbunam Jr.,1,2,45,22.5,18.0,9.0,0,0.0,27,13.5,8,4.0,0,6,25.0%,2,0,2,2,1,0,0,0
21,Dalton Schultz,1,4,35,8.8,13.0,3.3,0,0.0,22,5.5,0,0.0,0,5,9.6%,4,0,0,2,0,0,0,0
22,Jimmy Graham,1,5,34,6.8,22.0,4.4,0,0.0,12,2.4,5,1.0,0,8,22.2%,5,0,1,1,0,0,0,0
23,Zach Ertz,1,4,33,8.3,31.0,7.8,0,0.0,2,0.5,2,0.5,0,10,25.6%,6,1,2,1,0,0,0,0
24,Richard Rodgers,1,3,31,10.3,27.0,9.0,0,0.0,4,1.3,3,1.0,0,3,7.7%,3,0,0,1,0,0,0,0
25,Evan Engram,1,2,30,15.0,23.0,11.5,0,0.0,7,3.5,3,1.5,0,3,16.7%,2,0,0,1,1,0,0,0
