,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Travis Kelce,1,7,109,15.6,22.0,3.1,0,0.0,87,12.4,48,6.9,1,8,26.7%,7,0,0,5,1,1,1,1
2,Rob Gronkowski,1,4,39,9.8,27.0,6.8,0,0.0,12,3.0,8,2.0,1,5,13.9%,4,0,1,1,1,0,0,0
3,T.J. Hockenson,1,8,66,8.3,39.0,4.9,0,0.0,27,3.4,2,0.3,0,9,25.0%,8,0,1,2,1,0,0,0
4,Robert Tonyan,1,3,52,17.3,15.0,5.0,0,0.0,37,12.3,5,1.7,0,3,11.1%,3,0,0,3,1,0,0,0
5,Foster Moreau,1,2,34,17.0,30.0,15.0,0,0.0,4,2.0,0,0.0,0,3,8.1%,2,0,1,1,1,0,0,0
6,Maxx Williams,1,7,94,13.4,37.0,5.3,0,0.0,57,8.1,30,4.3,0,7,20.6%,7,0,0,3,2,1,0,0
7,Noah Fant,1,4,33,8.3,18.0,4.5,0,0.0,15,3.8,8,2.0,0,6,17.6%,4,0,1,1,0,0,0,0
8,Jack Doyle,1,5,64,12.8,18.0,3.6,0,0.0,46,9.2,0,0.0,0,8,22.9%,5,0,3,3,1,1,0,0
9,Ricky Seals-Jones,1,1,19,19.0,19.0,19.0,0,0.0,0,0.0,0,0.0,0,1,2.3%,1,0,1,1,0,0,0,0
10,Dawson Knox,1,2,17,8.5,8.0,4.0,0,0.0,9,4.5,0,0.0,0,3,10.3%,2,0,1,0,0,0,0,0
11,Kyle Pitts,1,5,73,14.6,39.0,7.8,0,0.0,34,6.8,12,2.4,0,6,12.5%,5,0,1,3,2,0,0,0
12,Darren Waller,1,5,65,13.0,50.0,10.0,0,0.0,15,3.0,6,1.2,0,7,18.9%,5,0,3,3,1,0,0,0
13,Mark Andrews,1,5,57,11.4,30.0,6.0,0,0.0,27,5.4,5,1.0,0,5,20.0%,5,0,0,3,1,0,0,0
14,Dan Arnold,1,3,55,18.3,37.0,12.3,0,0.0,18,6.0,4,1.3,0,4,10.8%,3,0,0,3,0,0,0,0
15,Harrison Bryant,1,4,49,12.3,38.0,9.5,0,0.0,11,2.8,9,2.3,0,4,19.0%,4,0,0,1,1,0,0,0
16,Logan Thomas,1,5,45,9.0,29.0,5.8,0,0.0,16,3.2,3,0.6,0,7,15.9%,5,0,0,1,1,0,0,0
17,MyCole Pruitt,1,3,43,14.3,27.0,9.0,0,0.0,16,5.3,1,0.3,0,3,7.7%,3,0,0,2,1,0,0,0
18,Hunter Henry,1,2,42,21.0,20.0,10.0,0,0.0,22,11.0,2,1.0,0,4,14.3%,2,0,1,2,1,1,0,0
19,Mike Gesicki,1,3,41,13.7,34.0,11.3,0,0.0,7,2.3,2,0.7,0,6,14.3%,3,0,0,3,0,0,0,0
20,Austin Hooper,1,5,40,8.0,17.0,3.4,0,0.0,23,4.6,8,1.6,0,5,23.8%,5,0,1,2,0,0,0,0
21,Blake Jarwin,1,3,37,12.3,24.0,8.0,0,0.0,13,4.3,6,2.0,0,4,14.8%,3,0,1,2,1,0,0,0
22,Pat Freiermuth,1,4,36,9.0,22.0,5.5,0,0.0,14,3.5,5,1.3,0,4,10.0%,4,0,0,1,0,0,0,0
23,Jonnu Smith,1,4,28,7.0,4.0,1.0,0,0.0,24,6.0,0,0.0,0,5,17.9%,5,1,0,1,0,0,0,0
24,Jared Cook,1,3,28,9.3,11.0,3.7,0,0.0,17,5.7,5,1.7,0,5,12.5%,4,1,1,2,0,0,0,0
25,Kyle Rudolph,1,2,25,12.5,23.0,11.5,0,0.0,2,1.0,0,0.0,0,2,6.3%,2,0,0,2,0,0,0,0
26,Dallas Goedert,1,2,24,12.0,6.0,3.0,0,0.0,18,9.0,2,1.0,1,2,8.3%,2,0,1,2,0,0,0,0
27,Kaden Smith,1,2,24,12.0,17.0,8.5,0,0.0,7,3.5,0,0.0,0,2,6.3%,2,0,0,1,1,0,0,0
28,James O'Shaughnessy,1,1,24,24.0,20.0,20.0,0,0.0,4,4.0,1,1.0,0,1,3.0%,1,0,0,1,1,0,0,0
29,Albert Okwuegbunam Jr.,1,4,24,6.0,9.0,2.3,0,0.0,15,3.8,8,2.0,0,4,11.8%,4,0,0,1,0,0,0,0
30,Juwan Johnson,1,1,23,23.0,20.0,20.0,0,0.0,3,3.0,0,0.0,0,3,14.3%,1,0,0,1,1,0,0,0
31,O.J. Howard,1,1,21,21.0,19.0,19.0,0,0.0,2,2.0,1,1.0,0,1,2.8%,1,0,0,1,1,0,0,0
32,Blake Bell,1,1,20,20.0,-3.0,-3.0,0,0.0,23,23.0,2,2.0,0,1,3.3%,1,0,0,1,1,0,0,0
33,Mo Alie-Cox,1,1,18,18.0,5.0,5.0,0,0.0,13,13.0,9,9.0,1,2,5.7%,1,0,0,1,0,0,0,0
34,Dalton Schultz,1,2,18,9.0,9.0,4.5,0,0.0,9,4.5,7,3.5,0,2,7.4%,2,0,0,1,0,0,0,0
35,David Njoku,1,2,18,9.0,4.0,2.0,0,0.0,14,7.0,2,1.0,0,3,14.3%,2,0,1,1,0,0,0,0
36,Jordan Akins,1,1,17,17.0,10.0,10.0,0,0.0,7,7.0,7,7.0,0,2,7.1%,2,1,0,1,0,0,0,0
37,George Kittle,1,4,17,4.3,-6.0,-1.5,0,0.0,23,5.8,5,1.3,1,4,13.3%,4,0,0,0,0,0,0,0
38,Tyler Conklin,1,2,15,7.5,-3.0,-1.5,0,0.0,18,9.0,3,1.5,0,4,12.5%,2,0,0,0,0,0,0,0
39,Tommy Hudson,1,1,14,14.0,0.0,0.0,0,0.0,14,14.0,0,0.0,0,2,5.1%,1,0,0,1,0,0,0,0
40,Derek Carrier,1,2,13,6.5,7.0,3.5,0,0.0,6,3.0,0,0.0,0,2,5.4%,2,0,0,0,0,0,0,0
41,Geoff Swaim,1,2,10,5.0,10.0,5.0,0,0.0,0,0.0,0,0.0,0,2,5.1%,2,0,0,0,0,0,0,0
42,Ryan Griffin,1,2,10,5.0,6.0,3.0,0,0.0,4,2.0,0,0.0,0,2,6.1%,2,0,0,0,0,0,0,0
43,Josh Oliver,1,1,9,9.0,5.0,5.0,0,0.0,4,4.0,4,4.0,0,1,4.0%,1,0,1,0,0,0,0,0
44,Stephen Anderson,1,2,9,4.5,3.0,1.5,0,0.0,6,3.0,2,1.0,0,2,5.0%,2,0,0,0,0,0,0,0
45,Lee Smith,1,1,9,9.0,6.0,6.0,0,0.0,3,3.0,0,0.0,0,1,2.1%,1,0,0,0,0,0,0,0
46,Cameron Brate,1,1,8,8.0,7.0,7.0,0,0.0,1,1.0,0,0.0,0,1,2.8%,1,0,1,0,0,0,0,0
47,Tyler Higbee,1,1,8,8.0,5.0,5.0,0,0.0,3,3.0,1,1.0,0,1,3.4%,1,0,0,0,0,0,0,0
48,Tyler Kroft,1,1,8,8.0,3.0,3.0,0,0.0,5,5.0,0,0.0,0,2,6.1%,1,0,0,0,0,0,0,0
49,Cethan Carter,1,1,8,8.0,7.0,7.0,0,0.0,1,1.0,0,0.0,0,1,2.4%,1,0,0,0,0,0,0,0
50,Ian Thomas,1,1,7,7.0,-1.0,-1.0,0,0.0,8,8.0,3,3.0,1,2,5.4%,2,1,0,0,0,0,0,0
51,Eric Saubert,1,1,7,7.0,0.0,0.0,0,0.0,7,7.0,0,0.0,0,1,2.9%,1,0,0,0,0,0,0,0
52,Hayden Hurst,1,1,6,6.0,6.0,6.0,0,0.0,0,0.0,0,0.0,0,1,2.1%,1,0,0,0,0,0,0,0
53,Luke Farrell,1,1,6,6.0,6.0,6.0,0,0.0,0,0.0,0,0.0,0,2,6.1%,1,0,0,0,0,0,0,0
54,Zach Ertz,1,1,6,6.0,6.0,6.0,0,0.0,0,0.0,0,0.0,0,2,8.3%,1,0,1,0,0,0,0,0
55,C.J. Uzomah,1,2,4,2.0,-1.0,-0.5,0,0.0,5,2.5,3,1.5,1,2,6.9%,2,0,0,0,0,0,0,0
56,Gerald Everett,1,1,3,3.0,3.0,3.0,0,0.0,0,0.0,0,0.0,0,2,6.5%,1,0,0,0,0,0,0,0
57,Andrew Beck,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
58,Sean McKeon,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
59,Eric Tomlinson,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
60,Brevin Jordan,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
61,Brock Wright,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
62,Jacob Harris,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
63,Chris Myarick,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
64,Hunter Long,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
65,Charlie Woerner,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
66,Kenny Yeboah,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
67,Nick Vannett,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
68,Mitchell Wilcox,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
69,Shane Zylstra,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
70,Sammis Reyes,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
71,Miller Forristall,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
72,Tyler Davis,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
73,Parker Hesse,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,1,2.1%,0,0,0,0,0,0,0,0
74,Tommy Tremble,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
75,John Bates,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0%,0,0,0,0,0,0,0,0
76,Chris Manhertz,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,1,3.0%,0,0,0,0,0,0,0,0
