,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,C.J. Uzomah,1,5,95,19.0,29.0,5.8,0,0.0,66.0,13.2,9,1.8,1,6,18.8%,5,0,0,3,3,1,0,0
2,Mo Alie-Cox,1,3,42,14.0,32.0,10.7,0,0.0,10.0,3.3,0,0.0,0,5,15.6%,3,0,3,2,1,0,0,0
3,Dawson Knox,1,5,37,7.4,9.0,1.8,0,0.0,28.0,5.6,8,1.6,0,8,25.8%,5,0,4,1,1,0,0,0
4,Jared Cook,1,6,70,11.7,49.0,8.2,0,0.0,21.0,3.5,7,1.2,0,7,18.4%,7,0,1,4,1,0,0,0
5,Maxx Williams,1,5,66,13.2,19.0,3.8,0,0.0,47.0,9.4,7,1.4,0,5,17.2%,5,0,1,3,1,0,0,0
6,Dalton Schultz,1,6,58,9.7,13.0,2.2,0,0.0,45.0,7.5,7,1.2,0,8,36.4%,6,0,2,3,0,0,0,0
7,Mike Gesicki,1,5,57,11.4,47.0,9.4,0,0.0,10.0,2.0,0,0.0,0,6,20.0%,5,0,1,2,2,0,0,0
8,Dallas Goedert,1,5,56,11.2,30.0,6.0,0,0.0,26.0,5.2,6,1.2,0,5,11.4%,5,0,1,3,1,0,0,0
9,Darren Waller,1,4,50,12.5,40.0,10.0,0,0.0,10.0,2.5,1,0.3,0,7,21.9%,5,1,1,2,1,0,0,0
10,Noah Fant,1,6,46,7.7,23.0,3.8,0,0.0,23.0,3.8,3,0.5,0,10,27.0%,6,0,1,2,0,0,0,0
11,Hunter Henry,1,4,32,8.0,25.0,6.3,0,0.0,7.0,1.8,4,1.0,1,5,11.9%,4,0,1,1,0,0,0,0
12,Ross Dwelley,1,1,21,21.0,21.0,21.0,0,0.0,0.0,0.0,0,0.0,0,1,2.6%,1,0,0,1,1,0,0,0
13,Juwan Johnson,1,2,20,10.0,20.0,10.0,0,0.0,0.0,0.0,0,0.0,0,3,11.5%,2,0,1,1,0,0,0,0
14,Blake Jarwin,1,1,18,18.0,7.0,7.0,0,0.0,11.0,11.0,2,2.0,0,3,13.6%,1,0,1,1,0,0,0,0
15,Donald Parham Jr.,1,2,17,8.5,4.0,2.0,0,0.0,13.0,6.5,3,1.5,0,3,7.9%,2,0,1,1,0,0,0,0
16,Jonnu Smith,1,3,14,4.7,-6.0,-2.0,0,0.0,20.0,6.7,0,0.0,0,5,11.9%,3,0,3,1,0,0,0,0
17,Mark Andrews,1,5,67,13.4,60.0,12.0,0,0.0,7.0,1.4,0,0.0,0,8,22.9%,5,0,2,4,1,0,0,0
18,Zach Ertz,1,6,60,10.0,31.0,5.2,0,0.0,29.0,4.8,13,2.2,1,8,18.2%,7,1,3,2,0,0,0,0
19,Kyle Pitts,1,4,50,12.5,41.0,10.3,0,0.0,9.0,2.3,4,1.0,0,9,22.5%,5,0,3,3,0,0,0,0
20,T.J. Hockenson,1,4,42,10.5,14.0,3.5,0,0.0,28.0,7.0,12,3.0,1,8,21.6%,4,0,1,2,1,0,0,0
21,George Kittle,1,4,40,10.0,18.0,4.5,0,0.0,22.0,5.5,8,2.0,1,10,25.6%,6,0,0,1,0,0,0,0
22,Tyler Higbee,1,4,36,9.0,22.0,5.5,0,0.0,14.0,3.5,4,1.0,0,6,14.6%,4,0,2,1,0,0,0,0
23,MyCole Pruitt,1,1,14,14.0,-6.0,-6.0,0,0.0,20.0,20.0,3,3.0,0,1,2.0%,1,0,0,1,0,0,0,0
