,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,George Kittle,1,13,151,11.6,94.0,7.2,0,0.0,57,4.4,26,2.0,1,15,40.5%,14,1,2,7,2,0,0,0
2,Mark Andrews,1,11,115,10.5,58.0,5.3,0,0.0,57,5.2,19,1.7,0,11,27.5%,11,0,1,5,2,1,0,0
3,Dawson Knox,1,7,60,8.6,22.0,3.1,0,0.0,38,5.4,4,0.6,0,9,17.6%,7,0,2,2,1,0,0,0
4,Albert Okwuegbunam Jr.,1,5,41,8.2,12.0,2.4,0,0.0,29,5.8,11,2.2,2,5,20.0%,5,0,1,1,0,0,0,0
5,Pat Freiermuth,1,2,32,16.0,15.0,7.5,0,0.0,17,8.5,1,0.5,0,3,7.7%,2,0,2,2,0,0,0,0
6,Austin Hooper,1,5,30,6.0,16.0,3.2,0,0.0,14,2.8,2,0.4,0,6,19.4%,6,1,2,0,0,0,0,0
7,Gerald Everett,1,2,15,7.5,10.0,5.0,0,0.0,5,2.5,0,0.0,0,2,7.1%,2,0,1,1,0,0,0,0
8,Brevin Jordan,1,4,26,6.5,15.0,3.8,0,0.0,11,2.8,0,0.0,0,7,14.6%,4,0,1,2,0,0,0,0
9,Jared Cook,1,2,8,4.0,8.0,4.0,0,0.0,0,0.0,0,0.0,0,5,16.7%,2,0,4,0,0,0,0,0
10,Kyle Rudolph,1,2,66,33.0,23.0,11.5,0,0.0,43,21.5,17,8.5,0,2,5.9%,2,0,0,1,1,1,1,1
11,Hayden Hurst,1,1,3,3.0,3.0,3.0,0,0.0,0,0.0,0,0.0,0,1,3.7%,1,0,1,0,0,0,0,0
12,Rob Gronkowski,1,5,62,12.4,14.0,2.8,0,0.0,48,9.6,21,4.2,1,9,19.6%,6,0,0,3,0,0,0,0
13,Kyle Pitts,1,5,61,12.2,36.0,7.2,0,0.0,25,5.0,4,0.8,0,6,22.2%,6,1,0,3,1,0,0,0
14,C.J. Uzomah,1,4,56,14.0,14.0,3.5,0,0.0,42,10.5,21,5.3,1,6,17.6%,5,1,0,3,1,0,0,0
15,Marcedes Lewis,1,4,51,12.8,26.0,6.5,0,0.0,25,6.3,10,2.5,0,4,11.4%,4,0,2,3,1,0,0,0
16,Noah Fant,1,4,51,12.8,42.0,10.5,0,0.0,9,2.3,0,0.0,0,4,16.0%,4,0,0,1,1,1,0,0
17,Geoff Swaim,1,3,45,15.0,2.0,0.7,0,0.0,43,14.3,22,7.3,0,4,13.3%,3,0,1,2,1,0,0,0
18,Nick Vannett,1,3,44,14.7,18.0,6.0,0,0.0,26,8.7,2,0.7,0,6,28.6%,4,1,1,2,0,0,0,0
19,Josiah Deguara,1,3,44,14.7,9.0,3.0,0,0.0,35,11.7,9,3.0,0,3,8.6%,3,0,0,2,1,0,0,0
20,Zach Ertz,1,5,42,8.4,33.0,6.6,0,0.0,9,1.8,5,1.0,0,7,14.3%,5,0,2,2,0,0,0,0
21,Will Dissly,1,2,38,19.0,22.0,11.0,0,0.0,16,8.0,7,3.5,0,3,10.7%,2,0,0,2,1,0,0,0
22,Anthony Firkser,1,4,34,8.5,18.0,4.5,0,0.0,16,4.0,3,0.8,0,5,16.7%,5,1,0,2,0,0,0,0
23,Kendall Blanton,1,2,29,14.5,27.0,13.5,0,0.0,2,1.0,1,0.5,0,3,10.0%,3,1,0,1,1,0,0,0
24,Ryan Griffin,1,2,28,14.0,5.0,2.5,0,0.0,23,11.5,3,1.5,0,3,7.5%,2,0,0,1,1,0,0,0
25,Travis Kelce,1,3,27,9.0,12.0,4.0,0,0.0,15,5.0,1,0.3,0,4,18.2%,3,0,0,1,0,0,0,0
26,Tommy Tremble,1,2,23,11.5,11.0,5.5,0,0.0,12,6.0,7,3.5,0,2,5.7%,2,0,0,1,0,0,0,0
27,James O'Shaughnessy,1,4,21,5.3,-8.0,-2.0,0,0.0,29,7.3,5,1.3,0,6,16.2%,5,0,0,0,0,0,0,0
28,Tyler Conklin,1,2,20,10.0,7.0,3.5,0,0.0,13,6.5,2,1.0,0,2,6.5%,2,0,0,1,0,0,0,0
29,Brock Wright,1,3,20,6.7,0.0,0.0,0,0.0,20,6.7,2,0.7,0,5,13.2%,3,0,1,1,0,0,0,0
30,John Bates,1,1,19,19.0,-5.0,-5.0,0,0.0,24,24.0,2,2.0,0,2,6.1%,1,0,0,1,0,0,0,0
31,Shane Zylstra,1,2,18,9.0,17.0,8.5,0,0.0,1,0.5,0,0.0,0,6,15.8%,3,0,2,1,0,0,0,0
32,Cole Kmet,1,3,17,5.7,6.0,2.0,0,0.0,11,3.7,6,2.0,0,5,15.6%,3,0,1,0,0,0,0,0
33,Chris Herndon IV,1,1,17,17.0,10.0,10.0,0,0.0,7,7.0,4,4.0,0,1,3.2%,1,0,0,1,0,0,0,0
34,Juwan Johnson,1,1,15,15.0,6.0,6.0,0,0.0,9,9.0,4,4.0,0,1,4.8%,1,0,0,1,0,0,0,0
35,Drew Sample,1,1,14,14.0,1.0,1.0,0,0.0,13,13.0,0,0.0,0,1,2.9%,1,0,0,1,0,0,0,0
36,Foster Moreau,1,3,13,4.3,2.0,0.7,0,0.0,11,3.7,4,1.3,1,6,14.0%,5,2,1,0,0,0,0,0
37,Donald Parham Jr.,1,2,13,6.5,9.0,4.5,0,0.0,4,2.0,0,0.0,0,2,6.7%,2,0,0,1,0,0,0,0
38,Lee Smith,1,1,12,12.0,2.0,2.0,0,0.0,10,10.0,3,3.0,0,1,3.7%,1,0,0,1,0,0,0,0
39,Cameron Brate,1,2,11,5.5,11.0,5.5,0,0.0,0,0.0,0,0.0,0,4,8.7%,2,0,1,0,0,0,0,0
40,Stephen Anderson,1,1,11,11.0,1.0,1.0,0,0.0,10,10.0,0,0.0,0,1,3.3%,1,0,0,1,0,0,0,0
41,Jimmy Graham,1,2,9,4.5,-1.0,-0.5,0,0.0,10,5.0,3,1.5,0,3,9.4%,2,0,0,0,0,0,0,0
42,Evan Engram,1,1,8,8.0,6.0,6.0,0,0.0,2,2.0,0,0.0,0,4,11.8%,3,1,0,0,0,0,0,0
43,Ricky Seals-Jones,1,1,8,8.0,2.0,2.0,0,0.0,6,6.0,0,0.0,0,4,12.1%,2,1,0,0,0,0,0,0
44,Josh Oliver,1,1,6,6.0,6.0,6.0,0,0.0,0,0.0,0,0.0,0,1,2.5%,1,0,0,0,0,0,0,0
45,Antony Auclair,1,1,6,6.0,0.0,0.0,0,0.0,6,6.0,0,0.0,0,1,2.1%,1,0,1,0,0,0,0,0
