,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Joe Burrow,1,34,42,81%,481,11.5,321,7.6,19,9,3,2,1,2.2,3,3,1,1,4,2,5,138
2,Andy Dalton,1,30,47,64%,361,7.7,179,3.8,13,3,2,2,2,2.3,0,2,3,9,5,2,7,89
3,Daniel Jones,1,19,30,63%,202,6.7,112,3.7,11,1,1,0,0,2.3,1,2,2,8,0,2,3,94
4,Patrick Mahomes II,1,25,34,74%,423,12.4,230,6.8,15,7,4,3,1,2.4,1,1,3,9,5,1,6,132
5,Justin Fields,1,13,21,62%,179,8.5,116,5.5,9,3,0,0,0,2.2,4,2,8,10,5,0,0,85
6,Davis Mills,1,28,41,68%,302,7.4,148,3.6,11,5,1,0,0,2.4,1,7,0,9,8,2,8,96
7,Trevor Lawrence,1,22,43,51%,310,7.2,205,4.8,16,5,1,0,0,2.3,0,2,1,9,14,1,7,75
8,Justin Herbert,1,33,51,65%,293,5.7,134,2.6,16,4,0,0,0,2.6,3,6,0,7,5,2,7,85
9,Jimmy Garoppolo,1,25,37,68%,303,8.2,154,4.2,14,3,1,0,0,2.3,5,2,1,12,6,0,9,99
10,Kyler Murray,1,20,29,69%,204,7.0,129,4.4,8,2,1,0,0,2.3,2,0,1,3,2,3,6,100
11,Tua Tagovailoa,1,21,35,60%,261,7.5,175,5.0,10,5,1,0,0,2.2,0,1,0,7,8,2,4,93
12,Aaron Rodgers,1,23,35,66%,194,5.0,126,3.6,7,2,0,0,0,1.9,0,1,1,0,2,5,2,99
13,Taylor Heinicke,1,20,33,61%,201,6.1,98,3.0,8,2,1,0,0,2.4,1,8,5,12,6,1,8,86
14,P.J. Walker,1,16,22,73%,177,8.0,113,5.1,7,5,0,0,0,2.2,1,2,4,11,3,1,0,127
15,Geno Smith,1,20,27,74%,210,7.8,140,5.2,10,4,0,0,0,2.5,2,2,0,10,2,1,3,106
16,Derek Carr,1,21,27,78%,241,8.9,154,5.7,12,3,0,0,0,3.1,1,2,2,2,2,0,0,116
17,Kenny Pickett,1,32,44,73%,257,5.8,164,3.7,10,2,1,0,0,2.5,2,3,1,8,6,1,1,66
18,Dak Prescott,1,19,25,76%,207,8.3,130,5.2,10,2,0,0,0,2.7,2,3,1,6,3,2,2,113
19,Marcus Mariota,1,8,13,62%,124,9.5,81,6.2,3,1,1,1,1,2.9,3,2,0,3,2,0,1,119
20,Matt Ryan,1,33,44,75%,243,5.5,144,3.3,8,1,0,0,0,2.3,3,7,4,11,4,1,3,76
21,Tom Brady,1,32,49,65%,290,5.9,181,3.7,11,3,1,0,0,2.2,1,2,9,12,10,3,5,81
22,Lamar Jackson,1,9,16,56%,120,7.5,71,4.4,5,2,1,0,0,1.9,3,1,3,9,3,1,4,80
23,Jacoby Brissett,1,22,27,81%,258,9.6,165,6.1,9,3,2,1,1,2.0,5,1,2,6,2,0,2,107
24,Brett Rypien,1,24,46,52%,225,4.9,133,2.9,9,1,1,1,0,2.4,1,4,0,7,11,2,0,57
25,Bailey Zappe,1,14,22,64%,185,8.4,121,5.5,8,3,2,1,0,2.4,1,1,1,5,4,0,0,67
26,Zach Wilson,1,16,26,62%,121,4.7,37,1.4,2,1,1,0,0,2.8,3,1,5,13,5,2,0,73
27,Ryan Tannehill,1,13,20,65%,132,6.6,94,4.7,5,2,0,0,0,2.6,2,5,2,3,3,1,4,84
28,Jared Goff,1,21,26,81%,228,8.8,105,4.0,11,2,0,0,0,2.6,5,1,4,12,2,0,1,71
29,Mac Jones,1,3,6,50%,13,2.2,14,2.3,1,0,0,0,0,2.7,0,1,1,1,1,1,0,17
30,Brock Purdy,1,4,9,44%,66,7.3,56,6.2,3,2,0,0,0,2.8,0,0,0,2,3,1,1,30
31,Chad Henne,1,0,2,0%,0,0.0,0,0.0,0,0,0,0,0,1.8,0,0,0,0,0,1,0,40
32,Sam Darnold,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
33,Kyle Allen,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
34,Nick Mullens,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
35,Mike White,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
36,Joshua Dobbs,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
37,Kyle Trask,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
38,Nathan Peterman,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
39,Desmond Ridder,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
40,Tyler Huntley,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
41,Tim Boyle,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
42,Sam Ehlinger,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
43,Josh Johnson,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
44,Deshaun Watson,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
45,Brandon Allen,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
46,Matthew Stafford,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
47,Logan Woodside,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
48,Cooper Rush,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
49,Jameis Winston,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
50,Joe Flacco,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
51,Mitchell Trubisky,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
52,Carson Wentz,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
53,Trey Lance,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
54,Baker Mayfield,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
55,Jeff Driskel,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
56,Jalen Hurts,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
57,Kirk Cousins,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
58,Jordan Love,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
59,Russell Wilson,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
60,Gardner Minshew II,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
61,Tyrod Taylor,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
62,Case Keenum,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
63,Malik Willis,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
64,Josh Allen,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
65,Feleipe Franks,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
66,Skylar Thompson,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
