,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Joe Burrow,1,28,37,76%,300,8.1,141,3.8,8,3,1,1,1,2.1,3,3,2,7,4,2,7,126
2,Matt Ryan,1,42,58,72%,389,6.7,209,3.6,19,4,1,0,0,2.1,0,6,4,18,6,1,8,108
3,Josh Allen,1,27,40,68%,329,8.2,223,5.6,15,5,3,0,0,2.3,1,3,1,15,10,0,6,118
4,Trevor Lawrence,1,20,22,91%,165,7.3,77,3.3,8,2,0,0,0,1.8,4,0,2,1,2,0,1,113
5,Marcus Mariota,1,13,14,93%,129,9.2,78,5.6,4,2,1,0,0,2.2,2,0,0,2,1,0,2,145
6,Patrick Mahomes II,1,25,40,63%,338,8.5,161,4.0,13,6,2,2,0,2.7,3,6,0,10,8,1,3,85
7,Teddy Bridgewater,1,23,34,68%,329,9.7,178,5.2,17,4,1,1,0,2.6,5,5,1,1,3,1,3,94
8,Justin Fields,1,14,27,52%,190,7.0,139,5.1,9,3,1,1,0,2.3,5,8,0,9,8,1,5,72
9,Jimmy Garoppolo,1,29,41,71%,296,7.2,112,2.7,14,2,0,0,0,2.6,0,4,0,5,3,3,4,87
10,Bailey Zappe,1,24,34,71%,309,9.1,179,5.3,13,6,2,1,1,2.5,2,1,1,16,2,1,7,118
11,Lamar Jackson,1,17,32,53%,210,6.6,148,4.6,13,0,0,0,0,2.4,2,1,2,14,7,5,7,71
12,Jalen Hurts,1,15,25,60%,155,6.2,56,2.2,8,2,0,0,0,2.5,4,0,3,14,2,1,5,105
13,Kirk Cousins,1,20,30,67%,175,5.8,86,2.9,6,3,1,1,0,2.4,3,3,2,14,3,0,4,104
14,Kyler Murray,1,23,37,62%,222,6.0,126,3.4,7,4,1,0,0,2.2,6,0,7,2,4,3,1,68
15,Russell Wilson,1,15,28,54%,188,6.7,133,4.8,5,3,3,1,0,2.4,4,2,4,15,7,0,3,87
16,Tom Brady,1,25,40,63%,243,6.1,173,4.3,10,3,0,0,0,2.1,2,3,1,4,6,2,10,88
17,Daniel Jones,1,19,27,70%,173,6.4,101,3.7,7,0,0,0,0,2.6,4,2,1,8,2,1,6,112
18,Matthew Stafford,1,26,33,79%,253,7.7,126,3.8,11,3,0,0,0,2.5,1,1,5,12,3,0,6,96
19,Geno Smith,1,20,31,65%,197,6.4,104,3.4,10,1,0,0,0,2.0,5,0,5,14,2,3,5,82
20,Aaron Rodgers,1,26,41,63%,246,6.0,164,4.0,8,2,1,0,0,2.6,4,5,0,6,4,6,1,88
21,Jacoby Brissett,1,21,45,47%,266,5.9,188,4.2,12,4,2,0,0,2.7,4,5,1,13,7,7,3,55
22,Andy Dalton,1,17,32,53%,162,5.1,99,3.1,7,2,0,0,0,2.4,1,3,1,4,6,2,7,78
23,Mitchell Trubisky,1,9,12,75%,144,12.0,95,7.9,6,2,1,1,0,2.5,1,0,0,4,0,0,1,142
24,Justin Herbert,1,37,57,65%,238,4.2,132,2.3,5,1,0,0,0,2.3,2,6,7,19,8,3,7,66
25,Kenny Pickett,1,11,18,61%,67,3.7,41,2.3,1,0,0,0,0,2.2,1,0,2,8,4,0,5,87
26,Cooper Rush,1,18,38,47%,181,4.8,104,2.7,8,2,0,0,0,2.4,0,4,0,9,10,0,4,37
27,Zach Wilson,1,10,18,56%,110,6.1,70,3.9,4,1,1,1,0,2.8,2,0,2,8,1,1,1,74
28,Skylar Thompson,1,7,13,54%,89,6.8,63,4.8,3,1,1,0,0,2.3,1,2,1,5,3,2,0,76
29,Carson Wentz,1,12,22,55%,99,4.5,41,1.9,4,0,0,0,0,1.7,3,0,0,5,5,2,2,66
30,P.J. Walker,1,10,16,63%,60,3.8,0,0.0,3,0,0,0,0,1.9,2,0,0,2,3,1,0,70
31,Jacob Eason,1,3,5,60%,59,11.8,9,1.8,1,1,1,1,0,2.2,0,1,0,0,1,0,4,62
32,Jordan Love,1,2,4,50%,8,2.0,5,1.3,0,0,0,0,0,1.8,0,0,0,0,2,0,0,56
33,Sam Darnold,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
34,Kyle Allen,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
35,Nick Mullens,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
36,Mike White,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
37,Tyler Huntley,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
38,Deshaun Watson,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
39,Sam Ehlinger,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
40,Josh Johnson,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
41,Desmond Ridder,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
42,Nathan Peterman,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
43,Joshua Dobbs,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
44,Kyle Trask,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
45,Tim Boyle,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
46,Brandon Allen,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
47,Brett Rypien,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
48,Logan Woodside,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
49,Tyrod Taylor,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
50,Jared Goff,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
51,Jeff Driskel,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
52,Davis Mills,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
53,Baker Mayfield,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
54,Dak Prescott,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
55,Trey Lance,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
56,Mac Jones,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
57,Tua Tagovailoa,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
58,Gardner Minshew II,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
59,Case Keenum,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
60,Malik Willis,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
61,Joe Flacco,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
62,Jameis Winston,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
63,Feleipe Franks,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
64,Brock Purdy,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
