,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Trevor Lawrence,1,30,42,71%,368,8.8,208,5.0,17,7,0,0,0,2.3,0,1,12,10,3,1,3,122
2,Jalen Hurts,1,21,31,68%,217,7.0,130,4.2,8,2,2,1,0,2.4,4,1,0,18,6,2,2,109
3,Russell Wilson,1,23,36,64%,247,6.9,107,3.0,10,3,1,1,1,2.9,6,2,0,11,5,3,3,100
4,Jared Goff,1,27,39,69%,330,8.5,230,5.9,14,3,2,2,0,2.1,0,4,3,7,5,3,3,121
5,Kirk Cousins,1,31,41,76%,425,10.1,292,7.1,18,6,3,1,0,2.2,3,5,1,10,4,1,5,125
6,Patrick Mahomes II,1,28,42,67%,352,8.4,122,2.9,15,6,2,1,1,2.6,2,3,1,14,8,2,4,87
7,Geno Smith,1,21,36,58%,264,7.3,215,6.0,13,4,1,0,0,3.0,3,1,1,16,10,0,5,86
8,Brock Purdy,1,16,21,76%,185,8.8,130,6.2,8,3,1,0,0,2.6,0,4,0,7,3,0,1,134
9,Josh Allen,1,16,27,59%,147,5.4,76,2.8,3,2,1,0,0,2.5,3,1,0,5,5,4,2,87
10,Justin Herbert,1,39,51,76%,367,7.2,204,4.0,16,3,1,1,1,2.5,4,3,8,26,7,2,12,102
11,Daniel Jones,1,18,27,67%,169,6.3,95,3.5,7,1,1,0,0,2.4,4,5,2,9,3,2,4,96
12,Ryan Tannehill,1,25,38,66%,254,6.7,165,4.3,12,2,0,0,0,2.4,4,5,4,4,6,0,5,91
13,Joe Burrow,1,18,33,55%,239,7.2,163,4.9,11,3,2,1,0,2.4,1,2,2,5,4,2,6,85
14,Deshaun Watson,1,26,42,62%,276,6.6,180,4.3,13,3,0,0,0,2.5,2,7,1,3,3,1,7,79
15,Dak Prescott,1,24,39,62%,284,7.3,193,4.9,10,4,1,1,1,2.7,1,5,5,0,5,4,5,71
16,Baker Mayfield,1,22,35,63%,230,6.6,179,5.1,8,5,1,0,0,2.8,4,1,0,11,8,2,3,91
17,Tua Tagovailoa,1,10,28,36%,145,5.2,79,2.8,5,1,1,1,1,2.3,2,2,3,6,6,2,0,65
18,Tom Brady,1,34,55,62%,253,4.6,165,3.0,6,2,1,0,0,2.4,0,7,1,9,13,1,5,64
19,Mitchell Trubisky,1,22,30,73%,276,9.2,214,7.1,14,3,2,1,0,1.9,1,2,2,8,0,1,4,73
20,Sam Darnold,1,14,24,58%,120,5.0,46,1.9,5,0,0,0,0,3.5,2,2,0,5,3,0,9,85
21,Colt McCoy,1,27,40,68%,246,6.2,148,3.7,10,3,0,0,0,2.2,6,2,0,8,8,3,5,74
22,Mike White,1,27,44,61%,268,6.1,207,4.7,12,2,0,0,0,2.6,3,4,0,7,8,1,3,79
23,Tyrod Taylor,1,5,5,100%,47,9.4,27,5.4,2,0,0,0,0,2.6,3,1,0,0,0,0,1,145
24,Jeff Driskel,1,4,6,67%,38,6.3,27,4.5,1,1,0,0,0,2.3,0,0,0,2,0,0,1,124
25,Mac Jones,1,24,35,69%,235,6.7,134,3.8,10,2,2,0,0,2.0,1,0,3,7,0,3,2,75
26,Tyler Huntley,1,8,12,67%,88,7.3,65,5.4,4,2,0,0,0,1.7,1,0,4,4,1,0,1,88
27,Davis Mills,1,16,21,76%,175,8.3,127,6.0,5,2,2,0,0,2.3,0,1,1,3,2,0,0,81
28,Derek Carr,1,11,20,55%,137,6.9,107,5.4,5,2,2,0,0,3.0,0,3,0,3,4,3,3,37
29,Brett Rypien,1,4,8,50%,16,2.0,8,1.0,0,0,0,0,0,3.0,0,2,0,1,4,0,4,56
30,Kenny Pickett,1,0,1,0%,0,0.0,0,0.0,0,0,0,0,0,2.1,1,0,1,0,1,0,0,40
