,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Josh Allen,1,24,42,57%,253,6.0,204,4.9,9,3,2,0,0,2.5,3,5,6,17,6,6,4,81
2,Jalen Hurts,1,16,28,57%,153,5.5,104,3.7,6,2,1,0,0,2.8,2,1,4,10,3,4,6,96
3,Justin Herbert,1,35,47,74%,274,5.8,148,3.1,13,1,1,0,0,2.1,4,9,3,12,5,1,9,110
4,Kyler Murray,1,18,29,62%,191,6.6,114,3.9,6,3,1,0,0,2.2,1,0,3,11,4,0,3,90
5,Trevor Lawrence,1,29,37,78%,321,8.7,213,5.8,13,5,0,0,0,2.0,4,2,4,9,4,3,7,130
6,Mike White,1,22,28,79%,315,11.3,151,5.4,11,4,2,2,1,1.6,1,0,1,3,3,0,2,149
7,Mac Jones,1,28,39,72%,382,9.8,224,5.7,15,7,4,2,0,2.5,3,0,3,6,2,1,5,120
8,Lamar Jackson,1,16,32,50%,254,7.9,173,5.4,11,3,2,2,1,2.6,1,2,7,7,7,5,7,87
9,Kirk Cousins,1,30,37,81%,299,8.1,189,5.1,11,4,2,0,0,2.6,1,3,1,9,4,1,7,116
10,Derek Carr,1,25,36,69%,295,8.2,167,4.6,11,4,1,0,0,2.7,1,3,0,8,5,1,4,99
11,Geno Smith,1,27,37,73%,328,8.9,217,5.9,11,7,1,0,0,2.5,3,5,0,5,5,1,5,107
12,Patrick Mahomes II,1,27,42,64%,320,7.6,179,4.3,13,5,1,0,0,2.5,0,2,7,8,7,1,13,85
13,Tom Brady,1,29,43,67%,246,5.7,114,2.7,6,4,0,0,0,2.3,3,2,1,8,8,0,5,98
14,Joe Burrow,1,22,37,59%,270,7.3,182,4.9,9,6,1,0,0,2.4,1,3,2,4,7,1,1,91
15,Jared Goff,1,23,37,62%,240,6.5,126,3.4,12,2,0,0,0,2.4,2,8,4,19,8,3,8,99
16,Sam Darnold,1,11,19,58%,164,8.6,106,5.6,6,3,1,1,1,3.1,0,2,1,10,3,0,4,104
17,Dak Prescott,1,21,30,70%,261,8.7,180,6.0,12,5,1,0,0,2.4,0,9,1,18,7,0,5,91
18,Tua Tagovailoa,1,22,36,61%,299,8.3,223,6.2,15,6,1,0,0,1.9,4,5,1,4,5,4,8,97
19,Marcus Mariota,1,15,25,60%,174,7.0,107,4.3,6,3,1,1,0,2.7,1,3,0,3,6,1,2,78
20,Daniel Jones,1,21,35,60%,228,6.5,132,3.8,9,3,1,1,0,2.6,3,4,4,9,7,0,2,89
21,Jacoby Brissett,1,23,37,62%,210,5.7,119,3.2,7,1,1,1,0,2.5,4,5,1,8,5,3,3,75
22,Jimmy Garoppolo,1,26,37,70%,222,6.0,109,2.9,10,3,0,0,0,2.6,1,5,1,11,5,1,6,95
23,Ryan Tannehill,1,22,34,65%,291,8.6,152,4.5,10,4,2,2,2,2.4,1,1,3,9,4,3,6,92
24,Taylor Heinicke,1,14,23,61%,138,6.0,91,4.0,6,1,0,0,0,3.0,0,2,0,2,4,1,4,89
25,Kenny Pickett,1,20,28,71%,174,6.2,113,4.0,9,1,1,0,0,2.4,3,0,4,10,4,1,4,88
26,Kyle Allen,1,26,39,67%,215,5.5,113,2.9,9,2,1,0,0,1.9,5,6,2,12,5,1,4,68
27,Aaron Rodgers,1,11,16,69%,140,8.8,76,4.8,7,3,1,0,0,2.3,3,1,1,5,1,2,2,96
28,Matt Ryan,1,22,34,65%,199,5.9,139,4.1,7,2,0,0,0,2.6,3,5,2,15,2,3,5,78
29,Trevor Siemian,1,14,25,56%,179,7.2,80,3.2,6,4,2,0,0,1.5,2,1,3,4,4,0,4,75
30,Bryce Perkins,1,13,23,57%,100,4.3,67,2.9,4,0,0,0,0,2.9,3,3,6,7,3,0,3,46
31,Andy Dalton,1,18,29,62%,204,7.0,120,4.1,8,2,1,0,0,2.4,1,3,1,7,6,0,6,83
32,Jordan Love,1,6,9,67%,113,12.6,46,5.1,3,1,1,1,1,2.5,0,0,0,1,1,1,1,147
33,Russell Wilson,1,19,35,56%,142,4.3,110,3.1,5,1,0,0,0,2.8,3,8,4,11,6,3,5,74
34,Desmond Ridder,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
35,Matt Barkley,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
36,Skylar Thompson,1,1,5,20%,6,1.2,5,1.0,0,0,0,0,0,2.1,1,1,0,0,3,0,0,40
37,Brandon Allen,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
38,Tim Boyle,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
39,Nick Mullens,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
