,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Justin Fields,1,12,20,60%,167.0,8.4,79,4.0,5,2,1,1,1,2.0,3,0,2,2,0,0,3,99
2,Patrick Mahomes II,1,26,35,74%,331.0,9.5,204,5.8,12,5,2,1,0,2.9,0,4,0,3,4,3,5,130
3,Tua Tagovailoa,1,25,32,78%,285.0,8.9,178,5.6,13,3,0,0,0,2.2,0,0,8,8,5,0,4,135
4,Jalen Hurts,1,17,26,65%,175.0,6.5,132,5.1,8,1,1,1,1,2.1,1,0,4,6,2,3,2,94
5,Matt Ryan,1,21,28,75%,222.0,7.9,117,4.2,8,3,2,0,0,2.2,1,0,0,11,1,2,1,110
6,Josh Allen,1,29,43,67%,330.0,7.7,233,5.4,15,4,0,0,0,2.3,2,2,5,13,6,1,8,79
7,Dak Prescott,1,27,46,59%,265.0,5.8,182,4.0,9,4,2,0,0,2.6,2,3,5,17,8,2,8,79
8,Trevor Lawrence,1,29,40,73%,259.0,6.5,165,4.1,9,3,1,0,0,2.1,5,0,1,14,3,2,6,106
9,Ryan Tannehill,1,19,36,53%,255.0,7.1,134,3.7,6,3,2,2,1,2.2,1,3,0,15,1,4,4,94
10,Aaron Rodgers,1,14,20,70%,224.0,11.2,140,7.0,6,4,3,1,1,2.8,2,0,1,14,3,1,2,147
11,Geno Smith,1,23,33,70%,275.0,8.3,164,5.0,16,2,0,0,0,1.9,3,3,2,9,7,1,4,115
12,Kenny Pickett,1,18,30,60%,199.0,6.6,111,3.7,8,2,1,0,0,2.6,6,0,3,6,5,1,6,80
13,Marcus Mariota,1,19,30,63%,186.0,6.2,175,5.8,9,3,0,0,0,2.4,5,5,4,8,6,0,3,89
14,Daniel Jones,1,13,17,76%,197.0,11.6,70,4.1,6,3,2,1,1,2.8,3,2,0,5,1,2,1,153
15,Derek Carr,1,24,38,63%,248.0,6.5,108,2.8,9,2,1,1,0,2.7,2,2,0,4,3,4,7,100
16,Kirk Cousins,1,30,50,60%,357.0,7.1,257,5.1,14,6,2,1,0,2.5,4,5,2,13,9,3,7,72
17,Tom Brady,1,22,29,76%,258.0,8.9,170,5.9,11,4,1,0,0,2.1,0,1,0,3,3,0,2,111
18,Jacoby Brissett,1,22,35,63%,212.0,6.1,142,4.1,10,2,1,0,0,2.5,3,8,8,11,4,0,3,89
19,Jimmy Garoppolo,1,19,28,68%,240.0,8.6,122,4.4,12,5,1,0,0,2.5,1,0,2,3,7,1,4,94
20,Davis Mills,1,22,37,59%,319.0,8.6,145,3.9,15,5,1,1,0,2.5,4,6,0,18,7,1,6,85
21,Russell Wilson,1,21,42,50%,286.0,6.8,125,3.0,11,2,2,1,1,3.0,6,12,1,5,7,1,0,70
22,Jared Goff,1,19,26,73%,236.0,9.1,103,4.0,9,5,1,1,0,1.8,2,0,2,6,1,0,3,114
23,Colt McCoy,1,26,37,70%,238.0,6.4,167,4.5,9,2,0,0,0,1.8,2,5,1,9,5,3,5,97
24,Justin Herbert,1,21,35,60%,196.0,5.6,121,3.5,6,3,2,0,0,2.5,2,6,0,6,3,3,2,73
25,John Wolford,1,24,36,67%,212.0,5.9,109,3.0,10,1,0,0,0,2.7,3,9,7,16,6,1,3,80
26,Andy Dalton,1,17,27,63%,174.0,6.4,133,4.9,10,0,0,0,0,2.2,2,1,0,6,4,4,1,63
27,Taylor Heinicke,1,17,29,59%,211.0,7.3,153,5.3,9,3,1,1,0,2.1,3,1,4,10,3,0,2,67
28,P.J. Walker,1,10,16,63%,108.0,6.8,49,3.1,3,2,1,1,0,2.1,1,1,0,5,1,1,0,82
29,Skylar Thompson,1,1,1,100%,17.0,17.0,9,9.0,1,0,0,0,0,1.8,0,0,0,0,0,0,0,119
30,Bryce Perkins,1,1,1,100%,-3.0,-3.0,0,0.0,0,0,0,0,0,0.9,0,0,0,1,0,0,0,79
31,Malik Willis,1,0,0,0%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
32,Sam Ehlinger,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
33,Brandon Allen,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
34,Nick Mullens,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
35,Kyle Allen,1,0,0,0%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
36,Tim Boyle,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
37,Kyle Trask,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
