,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Jalen Hurts,1,22,37,59%,315,8.5,204,5.5,10,6,3,2,1,2.3,1,0,1,11,10,0,1,65
2,Josh Allen,1,25,40,63%,304,7.6,219,5.5,13,4,1,1,0,2.5,2,4,8,8,8,2,8,119
3,Kirk Cousins,1,34,54,63%,460,8.5,190,3.5,19,4,2,2,2,2.6,7,4,0,6,9,1,7,99
4,Patrick Mahomes II,1,36,41,88%,336,8.2,154,3.8,17,2,0,0,0,2.4,2,1,0,10,2,1,4,117
5,Trevor Lawrence,1,27,42,64%,318,7.6,188,4.5,11,3,2,1,1,2.4,1,3,3,12,9,3,7,109
6,Joe Burrow,1,27,39,69%,200,5.1,107,2.7,8,0,0,0,0,2.1,2,4,0,11,4,2,9,105
7,Justin Fields,1,14,21,67%,152,7.2,70,3.3,5,3,1,0,0,2.7,6,0,0,7,5,0,1,120
8,Dak Prescott,1,23,30,77%,256,8.5,155,5.2,9,4,1,0,0,2.5,3,4,3,11,4,1,4,107
9,Zach Wilson,1,18,35,51%,317,9.1,268,7.7,12,7,4,2,1,2.0,4,7,4,16,12,0,3,90
10,Derek Carr,1,20,38,53%,231,6.1,183,4.8,11,4,1,0,0,2.4,3,4,4,7,6,2,1,87
11,Davis Mills,1,12,24,50%,121,5.0,73,3.0,4,1,1,0,0,2.6,0,4,1,3,4,2,5,93
12,Tom Brady,1,30,44,68%,312,7.1,202,4.6,14,4,0,0,0,2.4,1,6,1,4,8,0,8,92
13,Tua Tagovailoa,1,17,30,57%,234,7.8,151,5.0,8,5,2,1,1,2.2,2,1,5,13,4,3,2,104
14,Brock Purdy,1,17,26,65%,217,8.3,97,3.7,8,3,1,1,1,2.5,1,2,1,2,5,1,0,117
15,Geno Smith,1,31,44,70%,238,5.4,146,3.3,10,1,1,0,0,2.3,3,6,2,11,2,1,1,91
16,Andy Dalton,1,11,17,65%,151,8.9,97,5.7,7,2,0,0,0,2.6,2,0,0,3,3,0,3,132
