,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Davis Mills,1,22,38,58%,298,7.8,209,5.5,11,6,3,1,1,3.1,1,3,6,11,13,0,5,87
2,Russell Wilson,1,13,24,54%,283,11.8,204,8.5,8,6,3,3,3,2.7,2,2,1,12,7,0,2,119
3,Josh Allen,1,19,31,61%,254,8.2,212,6.8,8,3,2,2,0,2.3,2,3,2,4,4,2,4,106
4,Davis Webb,1,23,40,58%,168,4.2,99,2.5,8,1,0,0,0,1.8,0,7,5,8,7,0,3,76
5,Brock Purdy,1,15,20,75%,178,8.9,88,4.4,8,4,0,0,0,1.4,4,1,1,10,0,3,4,141
6,Deshaun Watson,1,19,29,66%,230,7.9,118,4.1,10,2,2,0,0,3.0,7,1,1,7,2,0,3,84
7,Sam Howell,1,11,19,58%,169,8.9,97,5.1,6,4,2,1,1,2.7,3,0,1,1,3,2,5,83
8,Mac Jones,1,26,40,65%,243,6.1,159,4.0,11,3,0,0,0,1.8,1,4,0,8,2,4,6,75
9,Justin Herbert,1,25,37,68%,273,7.4,129,3.5,12,3,1,0,0,2.3,1,1,0,13,3,5,6,107
10,Sam Ehlinger,1,23,35,66%,209,6.0,116,3.3,9,3,1,0,0,3.0,2,2,3,7,10,2,7,77
11,Desmond Ridder,1,19,30,63%,224,7.5,162,5.4,10,3,1,1,0,2.9,2,4,0,11,7,0,7,108
12,Geno Smith,1,19,31,61%,213,6.9,157,5.1,11,3,2,0,0,2.4,3,3,3,14,4,1,1,66
13,Patrick Mahomes II,1,18,26,69%,202,7.8,121,4.7,8,2,1,1,1,2.3,2,2,6,8,2,1,7,105
14,Jarrett Stidham,1,22,36,61%,219,6.1,138,3.8,12,2,0,0,0,2.7,6,7,5,8,5,2,7,76
15,Kenny Pickett,1,13,29,45%,195,6.7,132,4.6,7,5,2,0,0,2.5,1,1,4,9,8,3,6,79
16,Kirk Cousins,1,17,20,85%,225,11.3,126,6.3,6,3,2,1,1,2.8,0,0,2,5,3,0,7,130
17,Aaron Rodgers,1,17,27,63%,205,7.6,128,4.7,7,3,1,1,0,2.6,2,5,3,7,3,4,2,83
18,Joe Burrow,1,25,42,60%,215,5.1,125,3.0,8,4,1,0,0,2.5,2,3,1,3,6,4,9,81
19,Joshua Dobbs,1,20,29,69%,179,6.2,94,3.2,8,1,0,0,0,2.5,4,9,0,14,3,0,0,82
20,Andy Dalton,1,15,25,60%,171,6.8,89,3.6,8,3,0,0,0,2.1,1,2,2,8,7,1,0,94
21,Trevor Lawrence,1,20,32,63%,212,6.6,138,4.3,7,3,1,0,0,2.6,1,3,0,13,4,4,4,92
22,Dak Prescott,1,14,37,38%,128,3.5,101,2.7,7,0,0,0,0,2.8,1,2,2,3,11,3,2,46
