,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Lamar Jackson,1,21,29,72%,318,11.0,178,6.1,11,4,2,1,1,2.3,0,0,2,17,5,1,3,143
2,Tua Tagovailoa,1,36,50,72%,469,9.4,274,5.5,18,5,4,3,2,2.2,1,1,6,15,3,3,10,124
3,Jalen Hurts,1,26,31,84%,333,10.7,199,6.4,15,3,1,1,1,2.5,3,2,1,5,3,1,1,109
4,Josh Allen,1,26,38,68%,317,8.3,224,5.9,11,3,2,1,0,2.3,1,2,2,13,6,1,8,129
5,Carson Wentz,1,30,46,65%,337,7.3,210,4.6,12,4,2,1,0,2.8,5,2,7,19,10,2,6,100
6,Kyler Murray,1,31,49,63%,277,5.7,141,2.9,13,3,0,0,0,2.1,1,4,3,12,8,2,9,77
7,Joe Flacco,1,26,44,59%,307,7.0,174,4.0,13,2,2,1,1,2.4,2,3,4,10,7,4,8,111
8,Jared Goff,1,20,34,59%,256,7.5,137,4.0,11,4,1,1,0,2.6,3,6,1,16,6,4,7,122
9,Justin Herbert,1,33,48,69%,334,7.0,192,4.0,13,4,2,0,0,2.5,2,6,3,13,5,2,7,101
10,Matthew Stafford,1,27,36,75%,272,7.6,156,4.3,11,2,0,0,0,2.6,1,0,0,6,4,0,10,101
11,Derek Carr,1,25,39,64%,252,6.5,124,3.2,11,4,0,0,0,2.2,1,4,0,17,10,0,7,100
12,Trevor Lawrence,1,25,30,83%,235,7.8,110,3.7,12,2,0,0,0,2.2,0,2,2,8,0,2,3,122
13,Patrick Mahomes II,1,24,35,69%,235,6.7,153,4.4,9,3,2,1,0,2.4,1,2,1,9,4,0,5,106
14,Jimmy Garoppolo,1,13,21,62%,154,7.3,78,3.7,7,1,1,0,0,2.2,1,2,1,5,3,2,2,100
15,Joe Burrow,1,24,36,67%,199,5.5,105,2.9,10,0,0,0,0,1.9,6,4,3,8,4,1,2,90
16,Jacoby Brissett,1,22,27,81%,229,8.5,110,4.1,10,2,1,0,0,2.4,1,2,5,3,1,1,5,99
17,Aaron Rodgers,1,19,25,76%,234,9.4,124,5.0,7,4,1,1,1,2.5,3,1,9,0,2,1,7,131
18,Marcus Mariota,1,17,26,65%,196,7.5,120,4.6,8,2,1,0,0,2.5,3,3,1,11,5,1,6,82
19,Mac Jones,1,21,35,60%,252,7.2,167,4.8,11,3,1,1,0,2.4,0,3,2,9,6,4,2,80
20,Cooper Rush,1,19,31,63%,235,7.5,138,4.3,9,4,1,1,0,1.7,1,4,4,8,7,1,1,96
21,Baker Mayfield,1,14,29,48%,145,5.0,97,3.3,7,1,0,0,0,2.6,2,2,3,13,9,2,3,75
22,Daniel Jones,1,22,34,65%,176,5.2,116,3.4,8,1,0,0,0,3.0,3,5,2,4,6,2,4,87
23,Mitchell Trubisky,1,21,33,64%,168,5.1,107,3.2,7,1,0,0,0,2.4,3,0,0,6,5,3,1,74
24,Russell Wilson,1,14,31,45%,219,7.1,154,5.0,11,5,2,0,0,2.5,3,3,3,10,6,3,6,67
25,Kirk Cousins,1,27,46,59%,221,4.8,128,2.8,12,0,0,0,0,2.3,2,6,3,12,6,4,9,51
26,Jameis Winston,1,25,40,63%,236,5.9,181,4.5,10,2,1,1,1,2.6,6,3,1,13,9,1,6,56
27,Justin Fields,1,7,11,64%,70,6.4,45,4.1,2,1,1,0,0,3.2,3,2,2,4,2,1,0,44
28,Tom Brady,1,18,34,53%,190,5.6,120,3.5,7,3,1,1,0,2.3,1,1,0,3,6,6,2,79
29,Davis Mills,1,19,38,50%,177,4.7,101,2.7,5,4,0,0,0,2.3,3,4,6,20,11,2,3,63
30,Geno Smith,1,24,30,80%,197,6.6,129,4.3,6,1,0,0,0,2.6,2,7,5,3,2,0,0,80
