,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Kyler Murray,1,29,36,81%,400,10.9,231,6.2,13,5,3,1,1,2.6,3,0,6,6,1,1,7,118
2,Lamar Jackson,1,18,26,69%,239,9.2,125,4.8,10,4,1,1,0,2.4,1,0,1,12,4,1,4,79
3,Tom Brady,1,24,36,67%,276,7.7,202,5.6,11,6,0,0,0,2.2,3,2,1,7,8,0,9,129
4,Daniel Jones,1,22,32,69%,249,7.8,210,6.6,12,3,1,0,0,2.6,4,2,11,17,3,3,3,102
5,Aaron Rodgers,1,22,27,81%,255,9.4,146,5.4,11,3,1,1,1,2.4,3,3,0,6,4,0,6,146
6,Kirk Cousins,1,22,32,70%,244,7.6,138,4.2,9,1,1,1,1,2.2,1,4,2,18,3,3,2,122
7,Patrick Mahomes II,1,24,31,77%,343,11.1,144,4.6,15,5,3,2,0,2.2,0,2,5,4,4,0,1,132
8,Derek Carr,1,28,37,76%,382,10.3,234,6.3,16,5,2,1,1,2.3,2,2,11,8,5,0,5,126
9,Russell Wilson,1,22,31,71%,343,11.1,191,6.2,10,4,3,3,3,2.2,3,2,6,7,7,0,2,129
10,Jalen Hurts,1,12,23,52%,190,8.3,93,4.0,5,2,1,1,1,2.5,2,2,2,9,4,0,3,80
11,Teddy Bridgewater,1,26,34,76%,328,9.6,201,5.9,14,3,3,1,1,2.6,3,5,8,10,5,0,2,126
12,Taylor Heinicke,1,34,46,74%,336,7.3,204,4.4,12,3,1,1,1,2.2,1,1,7,7,6,1,3,100
13,Sam Darnold,1,26,38,67%,305,7.8,157,4.0,14,3,1,0,0,2.3,2,1,6,12,5,1,2,99
14,Jimmy Garoppolo,1,22,30,73%,189,6.3,88,2.9,6,1,1,1,0,2.1,0,2,0,2,4,3,2,101
15,Jared Goff,1,26,36,72%,246,6.8,112,3.1,7,3,1,1,0,2.7,1,6,3,17,6,0,3,98
16,Matt Ryan,1,35,46,76%,300,6.5,141,3.1,9,5,0,0,0,2.2,1,6,3,16,5,1,6,80
17,Carson Wentz,1,20,31,65%,247,8.0,139,4.5,9,3,2,1,0,2.6,3,6,3,12,6,1,7,86
18,Baker Mayfield,1,19,21,90%,213,10.1,105,5.0,9,2,1,0,0,2.1,2,0,0,4,1,0,2,105
19,Matthew Stafford,1,19,30,63%,278,9.3,131,4.4,13,3,2,2,0,2.8,1,2,1,8,4,3,4,102
20,Josh Allen,1,17,33,52%,179,5.4,122,3.7,4,3,2,1,0,2.7,1,7,0,10,7,0,8,75
21,Justin Herbert,1,31,41,76%,338,8.2,188,4.6,14,5,2,1,0,2.4,2,7,2,9,3,3,7,87
22,Tyrod Taylor,1,10,11,91%,125,11.4,57,5.2,6,3,1,0,0,2.0,0,1,0,3,1,0,1,144
23,Ben Roethlisberger,1,27,40,68%,295,7.4,155,3.9,9,3,2,2,1,2.3,2,8,5,1,5,1,0,87
24,Ryan Tannehill,1,27,40,68%,347,8.7,241,6.0,18,2,1,1,1,2.5,3,5,1,10,6,5,5,95
25,Joe Burrow,1,19,30,63%,207,6.9,131,4.4,10,2,1,1,0,2.4,5,4,2,5,3,1,1,66
26,Jameis Winston,1,11,22,50%,111,5.0,67,3.0,3,2,0,0,0,2.2,4,6,6,11,7,2,1,27
27,Trevor Lawrence,1,14,33,42%,118,3.6,97,2.9,5,2,0,0,0,2.6,1,2,6,10,14,0,0,37
28,Andy Dalton,1,9,11,80%,56,5.6,46,4.6,4,0,0,0,0,2.4,1,0,0,2,0,0,2,118
29,Dak Prescott,1,23,27,85%,237,8.8,99,3.7,11,2,1,1,0,2.2,2,1,0,5,1,0,4,88
30,Mac Jones,1,22,30,73%,186,6.2,81,2.7,7,3,1,0,0,2.4,3,0,3,4,2,2,2,89
31,Davis Mills,1,8,18,44%,102,5.7,52,2.9,4,1,1,0,0,2.3,1,2,0,3,4,2,2,58
32,Jacoby Brissett,1,24,40,60%,169,4.2,114,2.9,6,0,0,0,0,2.3,4,4,4,12,4,5,5,59
33,Zach Wilson,1,19,33,58%,210,6.4,137,4.2,7,3,1,0,0,2.7,4,1,7,8,8,1,1,37
34,Justin Fields,1,6,13,46%,60,4.6,45,3.5,4,1,0,0,0,2.8,2,0,2,8,4,1,2,28
