,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Josh Allen,1,29,42,69%,249,5.9,131,3.1,12,2,0,0,0,2.0,0,5,5,20,6,1,3,100
2,Mike White,1,37,45,82%,405,9.0,165,3.7,18,4,0,0,0,2.3,2,3,4,10,4,1,5,108
3,Jimmy Garoppolo,1,17,28,62%,322,14.0,167,5.8,13,6,3,3,3,2.3,0,0,4,7,4,2,3,101
4,Tom Brady,1,28,40,70%,375,9.4,182,4.6,10,6,4,3,1,2.4,3,1,0,10,7,2,5,112
5,Justin Fields,1,19,27,70%,175,6.5,123,4.6,9,2,0,0,0,2.3,4,1,3,13,7,0,6,85
6,Matthew Stafford,1,21,32,66%,305,9.5,184,5.8,11,4,2,2,2,2.5,0,1,3,9,6,2,13,128
7,Ryan Tannehill,1,23,33,70%,265,8.0,141,4.3,13,1,1,1,1,2.3,3,2,1,7,6,0,3,99
8,Geno Smith,1,20,24,83%,195,8.1,158,6.6,4,3,0,0,0,2.4,3,0,3,13,1,0,5,128
9,Davis Mills,1,29,38,76%,310,8.2,204,5.4,9,5,2,1,0,2.5,5,1,3,17,5,0,5,106
10,Joe Burrow,1,21,34,62%,259,7.6,147,4.3,10,4,1,1,1,2.4,3,2,5,9,4,1,11,103
11,Carson Wentz,1,27,51,53%,231,4.5,130,2.5,5,2,2,0,0,2.2,1,7,3,10,13,2,8,68
12,Cooper Rush,1,24,40,60%,325,8.1,196,4.9,11,4,2,1,1,2.3,3,3,0,15,9,2,2,92
13,Daniel Jones,1,22,32,69%,222,6.9,101,3.2,7,3,2,2,1,2.3,3,2,4,12,7,2,7,96
14,Tua Tagovailoa,1,21,39,54%,205,5.3,118,3.0,9,3,1,1,0,2.1,2,5,13,14,9,3,4,58
15,Justin Herbert,1,18,35,53%,223,6.6,133,3.7,12,2,1,1,0,2.9,3,1,5,7,8,2,3,67
16,Aaron Rodgers,1,22,37,59%,184,5.0,61,1.6,6,1,1,0,0,1.7,1,3,5,9,7,2,13,90
17,Patrick Mahomes II,1,29,48,60%,275,5.7,95,2.0,13,1,0,0,0,2.4,2,4,5,6,10,2,7,75
18,Ben Roethlisberger,1,22,34,65%,266,7.8,101,3.0,11,4,1,1,1,2.2,2,2,1,10,7,0,7,98
19,Taylor Heinicke,1,24,39,62%,270,6.9,104,2.7,13,5,0,0,0,2.6,5,1,1,16,8,2,3,69
20,Trevor Lawrence,1,32,54,59%,238,4.4,104,1.9,7,0,0,0,0,2.4,1,6,8,19,9,2,5,68
21,Kirk Cousins,1,23,35,66%,184,5.3,119,3.4,6,3,2,0,0,2.4,1,7,2,6,5,4,2,88
22,Teddy Bridgewater,1,19,26,73%,213,8.2,141,5.4,9,2,2,0,0,2.5,4,4,0,11,3,1,2,110
23,Sam Darnold,1,13,24,54%,129,5.4,68,2.8,7,2,0,0,0,2.3,0,3,2,6,5,2,4,70
