,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Kyler Murray,1,11,15,73%,123,8.2,57,3.8,7,2,0,0,0,2.0,1,0,2,4,2,1,1,137
2,Tom Brady,1,38,51,75%,368,7.2,229,4.5,14,4,2,0,0,2.0,0,1,1,16,8,2,7,112
3,Justin Herbert,1,26,35,74%,317,9.1,227,6.5,10,5,4,3,0,2.7,4,5,5,8,5,0,4,118
4,Taysom Hill,1,19,41,0%,264,6.4,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,44
5,Matthew Stafford,1,26,38,68%,295,7.8,191,5.0,7,5,2,1,0,2.6,1,0,4,17,7,3,7,118
6,Zach Wilson,1,23,38,61%,226,5.9,129,3.4,11,1,0,0,0,2.4,2,2,6,3,8,4,6,84
7,Jared Goff,1,25,41,61%,296,7.2,206,5.0,9,5,0,0,0,2.5,3,3,3,7,6,4,7,97
8,Kirk Cousins,1,30,40,75%,340,8.5,224,5.6,16,3,2,1,0,2.4,3,4,3,14,6,0,10,117
9,Ben Roethlisberger,1,21,31,68%,236,7.6,95,3.1,7,3,1,1,0,2.2,1,2,3,13,4,2,2,112
10,Gardner Minshew II,1,20,25,80%,242,9.7,112,4.5,11,4,1,0,0,2.7,2,2,2,5,0,0,2,134
11,Lamar Jackson,1,23,37,62%,253,6.8,126,3.4,12,2,0,0,0,2.8,7,2,7,18,4,6,8,80
12,Joe Burrow,1,24,40,60%,300,7.5,202,5.1,14,5,1,0,0,2.5,6,5,6,10,6,4,2,71
13,Jimmy Garoppolo,1,20,30,67%,299,10.0,144,4.8,12,5,1,1,0,2.5,1,2,2,5,4,2,2,94
14,Tua Tagovailoa,1,30,41,73%,244,6.0,183,4.5,9,1,0,0,0,2.3,2,1,2,11,5,2,6,104
15,Russell Wilson,1,30,37,81%,231,6.2,156,4.2,9,2,1,0,0,2.3,4,3,3,11,5,1,8,99
16,Taylor Heinicke,1,23,30,77%,196,6.5,123,4.1,8,2,1,0,0,2.8,1,4,4,4,5,0,4,102
17,Andy Dalton,1,26,41,63%,229,5.6,117,2.9,11,2,1,0,0,2.1,3,2,7,25,7,4,7,55
18,Teddy Bridgewater,1,22,40,55%,257,6.4,102,2.6,12,2,2,0,0,2.6,1,5,10,9,6,1,3,62
19,Patrick Mahomes II,1,15,29,52%,184,6.3,64,2.2,8,2,1,0,0,2.3,1,2,9,5,7,4,3,57
20,Derek Carr,1,28,38,74%,249,6.6,155,4.1,10,2,1,0,0,2.7,2,1,3,11,3,1,1,91
21,Dak Prescott,1,26,40,65%,238,6.0,158,4.0,10,4,1,1,0,2.6,1,6,3,9,7,0,4,79
22,Matt Ryan,1,30,41,73%,297,7.3,172,4.2,10,3,1,0,0,2.2,5,6,2,18,4,2,5,93
23,Josh Allen,1,15,30,50%,145,4.8,98,3.3,6,1,0,0,0,2.4,2,3,5,12,7,3,7,75
24,Carson Wentz,1,16,22,73%,158,7.2,88,4.0,7,1,0,0,0,2.5,1,2,2,9,4,1,6,108
25,Trevor Lawrence,1,16,28,57%,145,5.2,66,2.4,6,1,0,0,0,2.3,2,2,6,4,6,2,0,71
26,Mike Glennon,1,23,44,52%,187,4.3,106,2.4,10,1,0,0,0,2.5,3,5,2,16,6,4,2,54
27,Davis Mills,1,6,14,43%,49,3.5,18,1.3,3,0,0,0,0,2.6,2,4,2,8,3,1,0,52
28,Tyrod Taylor,1,5,13,38%,45,3.5,3,0.2,3,0,0,0,0,2.7,2,3,1,6,6,0,0,17
29,Mac Jones,1,2,3,67%,19,6.3,10,3.3,1,0,0,0,0,2.2,0,0,2,2,0,0,0,84
30,C.J. Beathard,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
31,Sam Ehlinger,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
32,Mason Rudolph,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
33,Trevor Siemian,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
34,Cooper Rush,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
35,Josh Johnson,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
36,Marcus Mariota,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
37,Joe Flacco,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
38,Kyle Allen,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
39,Tim Boyle,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
40,Nick Mullens,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
41,Brett Rypien,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
42,Mike White,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
43,Jake Fromm,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
44,Trey Lance,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
45,Aaron Rodgers,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
46,Jacoby Brissett,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
47,Mitchell Trubisky,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
48,Baker Mayfield,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
49,Justin Fields,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
50,Jalen Hurts,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
