,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Josh Allen,1,36,54,67%,308,5.7,184,3.4,15,4,0,0,0,2.2,3,7,8,27,10,0,7,86
2,Tom Brady,1,31,46,68%,363,7.7,154,3.3,14,5,1,1,1,2.3,2,2,1,12,10,1,7,106
3,Aaron Rodgers,1,29,37,78%,341,9.2,173,4.7,14,5,2,0,0,2.3,3,1,4,18,4,0,8,141
4,Taysom Hill,1,15,21,0%,175,8.3,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,96
5,Ben Roethlisberger,1,28,40,70%,308,7.7,226,5.7,11,4,3,0,0,2.0,5,2,1,12,2,3,7,107
6,Justin Herbert,1,23,31,74%,275,8.9,179,5.8,10,3,2,1,1,2.8,2,4,1,7,5,1,9,133
7,Matthew Stafford,1,23,30,77%,287,9.6,200,6.7,9,4,3,3,1,2.1,3,2,5,11,4,2,7,139
8,Joe Burrow,1,25,34,74%,348,10.2,207,6.1,18,7,1,0,0,2.8,5,2,1,4,2,3,2,126
9,Russell Wilson,1,17,28,61%,260,9.3,194,6.9,9,6,1,1,1,2.6,0,1,8,5,7,1,2,115
10,Justin Fields,1,18,33,55%,224,6.8,81,2.5,6,3,2,2,1,2.4,2,7,5,10,5,3,1,71
11,Patrick Mahomes II,1,20,24,83%,258,10.8,136,5.7,9,4,2,1,0,2.5,3,1,1,2,1,0,2,139
12,Jimmy Garoppolo,1,27,41,66%,296,7.2,179,4.4,13,5,0,0,0,2.9,5,5,0,10,1,2,5,103
13,Kyler Murray,1,32,49,66%,383,7.7,266,5.3,16,4,3,2,0,2.3,4,2,12,14,9,1,7,72
14,Mike Glennon,1,17,36,47%,191,5.3,92,2.6,6,2,1,1,1,2.5,2,6,2,4,4,3,2,71
15,Davis Mills,1,33,49,67%,331,6.8,133,2.7,16,1,1,0,0,2.4,2,2,3,8,11,0,5,93
16,Ryan Tannehill,1,20,31,65%,191,6.2,83,2.7,9,1,0,0,0,2.2,4,6,5,10,8,2,3,82
17,Kirk Cousins,1,14,31,45%,216,7.0,151,4.9,9,2,1,1,1,2.3,0,6,1,12,8,2,3,63
18,Baker Mayfield,1,22,32,69%,190,5.9,134,4.2,5,2,1,0,0,2.3,0,1,3,10,3,2,4,92
19,Tyler Huntley,1,27,38,71%,270,7.1,164,4.3,10,5,3,0,0,2.2,3,4,4,8,7,0,2,100
20,Teddy Bridgewater,1,18,25,72%,179,7.2,100,4.0,5,2,1,0,0,2.4,1,3,3,4,5,1,3,119
21,Cam Newton,1,15,23,65%,178,7.7,102,4.4,8,2,0,0,0,2.0,1,1,3,8,3,1,0,71
22,Jared Goff,1,24,39,62%,215,5.5,136,3.5,9,1,0,0,0,2.5,2,2,3,7,8,0,5,74
23,Dak Prescott,1,22,39,56%,211,5.4,112,2.9,11,2,0,0,0,2.4,4,2,0,10,8,5,8,59
24,Matt Ryan,1,19,28,68%,190,6.8,105,3.8,8,3,1,0,0,2.6,0,7,5,7,4,2,3,99
25,Derek Carr,1,33,45,73%,263,5.8,106,2.4,9,0,0,0,0,2.4,4,5,3,11,4,5,5,86
26,Zach Wilson,1,19,42,45%,202,4.8,106,2.5,9,2,0,0,0,2.6,3,2,3,12,15,2,5,60
27,Taylor Heinicke,1,11,25,44%,122,4.9,77,3.1,5,1,1,1,0,2.5,4,3,2,12,6,2,0,56
28,P.J. Walker,1,6,12,50%,75,6.3,60,5.0,4,0,0,0,0,2.5,0,2,1,3,3,1,1,63
29,Trevor Lawrence,1,24,40,61%,221,5.4,141,3.4,6,2,2,1,0,2.2,3,3,9,10,4,1,0,36
30,Kyle Allen,1,4,9,44%,53,5.9,27,3.0,2,0,0,0,0,2.5,1,1,0,2,1,2,0,64
31,Lamar Jackson,1,4,4,100%,17,4.3,12,3.0,1,0,0,0,0,2.9,1,1,0,2,0,0,0,84
32,Kurt Benkert,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
33,Chad Henne,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
34,Chase Daniel,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
35,Logan Woodside,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
36,Josh Johnson,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
37,Gardner Minshew II,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
38,Trevor Siemian,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
39,Cooper Rush,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
40,Sam Ehlinger,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
41,Joe Flacco,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
42,Mason Rudolph,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
43,Brett Rypien,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
44,Nick Mullens,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
45,Jake Fromm,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
46,Tim Boyle,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
47,Marcus Mariota,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
48,Trey Lance,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
49,Mike White,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
50,Jacoby Brissett,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
51,Tua Tagovailoa,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
52,Mitchell Trubisky,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
53,Tyrod Taylor,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
54,Andy Dalton,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
