,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Tua Tagovailoa,1,32,40,80%,291,7.3,195,4.9,12,1,0,0,0,2.3,1,2,2,6,1,2,7,110
2,Joe Burrow,1,23,38,61%,416,10.9,221,5.8,13,8,3,2,2,2.2,1,5,5,14,7,0,5,114
3,Matthew Stafford,1,28,41,68%,334,8.1,205,5.0,13,5,1,1,1,2.1,1,0,0,11,8,1,11,117
4,Aaron Rodgers,1,27,35,77%,274,7.8,169,4.8,15,3,0,0,0,2.2,3,3,2,11,5,1,7,128
5,Tom Brady,1,20,36,56%,211,5.9,147,4.1,7,3,2,1,0,2.2,0,1,0,6,10,0,12,110
6,Jalen Hurts,1,18,34,53%,236,6.9,171,5.0,10,6,0,0,0,2.8,2,5,6,3,4,2,4,95
7,Lamar Jackson,1,15,31,48%,257,8.3,185,6.0,11,6,2,0,0,2.8,5,0,8,10,13,0,0,88
8,Kyler Murray,1,20,28,71%,261,9.3,184,6.6,12,2,2,2,0,2.5,4,0,2,1,3,1,3,121
9,Mac Jones,1,24,36,67%,307,8.5,124,3.4,10,7,1,1,0,2.1,1,1,2,9,6,0,5,112
10,Taylor Heinicke,1,25,37,68%,268,7.2,151,4.1,13,2,1,1,0,2.6,4,3,3,3,6,0,8,86
11,Ryan Tannehill,1,21,27,78%,270,10.0,161,6.0,12,5,1,1,0,1.9,1,3,5,11,2,0,5,105
12,Carson Wentz,1,17,26,65%,150,5.8,110,4.2,5,2,1,1,1,2.6,1,2,3,10,3,1,2,106
13,Derek Carr,1,31,34,91%,323,9.5,197,5.8,13,5,1,1,0,2.2,0,2,2,6,2,0,9,114
14,Matt Ryan,1,25,40,63%,336,8.4,265,6.6,14,6,2,1,0,2.3,1,5,5,12,5,3,3,95
15,Jameis Winston,1,19,35,54%,222,6.3,87,2.5,10,2,1,0,0,2.7,2,0,5,10,6,3,4,83
16,Daniel Jones,1,23,33,70%,203,6.2,106,3.2,9,1,0,0,0,2.4,2,3,1,13,6,2,4,96
17,Teddy Bridgewater,1,23,33,70%,187,5.7,106,3.2,6,1,1,0,0,2.4,2,3,3,3,4,1,5,91
18,Jared Goff,1,22,36,61%,268,7.4,102,2.8,8,4,2,1,1,2.0,2,2,2,12,6,2,5,70
19,Case Keenum,1,21,33,64%,199,6.0,97,2.9,7,1,1,0,0,2.5,1,4,2,11,6,2,2,90
20,Geno Smith,1,12,22,55%,167,7.6,70,3.2,5,2,1,1,1,2.7,5,3,3,10,3,0,0,94
21,Mike White,1,20,32,63%,202,6.3,94,2.9,7,3,0,0,0,2.4,1,2,1,8,6,1,1,65
22,Patrick Mahomes II,1,20,35,57%,206,5.7,112,3.2,8,3,0,0,0,2.2,4,3,7,5,9,2,1,62
23,Jimmy Garoppolo,1,16,27,59%,181,6.7,141,5.2,7,3,0,0,0,2.7,2,3,0,2,5,2,4,61
24,Justin Fields,1,22,32,69%,184,5.8,97,3.0,8,3,0,0,0,2.2,4,2,3,16,3,5,3,44
25,Chad Henne,1,11,16,69%,82,5.1,59,3.7,1,0,0,0,0,2.2,0,2,1,3,3,1,1,81
26,Sam Darnold,1,16,25,64%,112,4.5,50,2.0,4,1,0,0,0,2.9,3,2,3,6,3,3,0,57
27,Davis Mills,1,23,32,72%,135,4.2,91,2.8,6,1,0,0,0,2.0,2,3,1,13,4,2,0,80
28,Brian Hoyer,1,3,4,75%,79,19.8,42,10.5,3,3,0,0,0,2.5,0,0,0,2,0,0,0,117
29,P.J. Walker,1,3,14,21%,33,2.4,24,1.7,1,0,0,0,0,2.8,3,2,0,0,9,1,0,40
30,Zach Wilson,1,6,10,60%,51,5.1,30,3.0,3,0,0,0,0,2.1,1,2,3,2,3,0,0,73
31,Tyler Huntley,1,5,11,45%,39,3.5,22,2.0,3,0,0,0,0,2.9,0,0,3,0,3,1,0,55
32,Blaine Gabbert,1,2,3,67%,15,5.0,0,0.0,1,0,0,0,0,2.3,0,0,1,1,1,0,0,79
33,Marcus Mariota,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
34,Logan Woodside,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
35,Colt McCoy,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
36,Sam Ehlinger,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
37,Brett Rypien,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
38,Tim Boyle,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
39,Gardner Minshew II,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
40,Trevor Siemian,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
41,Cooper Rush,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
42,Joe Flacco,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
