RANK,PLAYER,GAMES,RECEIVING_REC,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_YBC,RECEIVING_YBC/R,RECEIVING_AIR,RECEIVING_AIR/R,RECEIVING_YAC,RECEIVING_YACON,RECEIVING_YACON/R,RECEIVING_BRKTKL,TARGETS_TGT,TARGETS_%_TM,TARGETS_CATCHABLE,TARGETS_DROP,TARGETS_RZ_TGT,BIG_PLAYS_10+_YDS,BIG_PLAYS_20+_YDS,BIG_PLAYS_30+_YDS,BIG_PLAYS_40+_YDS,BIG_PLAYS_50+_YDS,BIG_PLAYS_LNG,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
30,Amon-Ra St. Brown,1,7,76,10.9,41.0,5.9,0,0.0,35,5.0,4,0.6,0,13,0.317,7,0,6,4,0,0,0,0,0.0,1.0,0.0,0.0,0.0,7.6
31,Drake London,1,7,96,13.7,68.0,9.7,0,0.0,28,4.0,0,0.0,0,9,0.29,7,0,1,5,2,0,0,0,0.0,0.0,0.0,0.0,1.0,7.6
32,Mike Williams,1,4,76,19.0,34.0,8.5,0,0.0,42,10.5,26,6.5,0,4,0.133,4,0,0,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,7.6
33,Amari Cooper,1,6,72,12.0,58.0,9.7,0,0.0,14,2.3,4,0.7,0,10,0.37,8,2,2,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,7.2
34,Dante Pettis,1,2,11,5.5,11.0,5.5,0,0.0,0,0.0,0,0.0,0,5,0.2,3,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,7.1
35,Kadarius Toney,1,1,8,8.0,-4.0,-4.0,0,0.0,12,12.0,0,0.0,0,2,0.07400000000000001,1,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.8
36,Demarcus Robinson,1,1,6,6.0,6.0,6.0,0,0.0,0,0.0,0,0.0,0,1,0.063,1,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.6
37,Russell Gage,1,5,65,13.0,26.0,5.2,0,0.0,39,7.8,19,3.8,1,6,0.125,5,0,0,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,6.5
38,Diontae Johnson,1,5,64,12.8,49.0,9.8,0,0.0,15,3.0,4,0.8,0,7,0.19399999999999998,6,1,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.4
39,Courtland Sutton,1,5,64,12.8,62.0,12.4,0,0.0,2,0.4,2,0.4,0,7,0.20600000000000002,5,0,0,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,6.4
40,Kalif Raymond,1,1,56,56.0,51.0,51.0,0,0.0,5,5.0,0,0.0,0,1,0.024,1,0,0,1,1,1,1,1,0.0,1.0,8.0,0.0,0.0,6.4
41,Chris Godwin,1,8,63,7.9,9.0,1.1,0,0.0,54,6.8,7,0.9,0,10,0.20800000000000002,8,0,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.3
42,Allen Lazard,1,5,61,12.2,43.0,8.6,0,0.0,18,3.6,11,2.2,0,11,0.289,6,1,3,2,1,1,1,1,0.0,0.0,0.0,0.0,0.0,6.1
43,Ja'Marr Chase,1,8,79,9.9,40.0,5.0,0,0.0,39,4.9,3,0.4,2,11,0.22399999999999998,9,1,0,5,0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.9
44,Marquise Brown,1,3,57,19.0,48.0,16.0,0,0.0,9,3.0,0,0.0,0,6,0.14300000000000002,3,0,0,2,1,1,1,1,0.0,1.0,1.0,0.0,0.0,5.8
45,Terrace Marshall Jr.,1,2,55,27.5,38.0,19.0,0,0.0,17,8.5,0,0.0,0,3,0.14300000000000002,3,1,0,2,1,1,0,0,0.0,0.0,0.0,0.0,0.0,5.5
46,Laviska Shenault Jr.,1,3,53,17.7,-11.0,-3.7,0,0.0,64,21.3,43,14.3,0,3,0.14300000000000002,3,0,0,2,1,1,1,1,0.0,0.0,0.0,0.0,0.0,5.3
47,T.Y. Hilton,1,1,52,52.0,52.0,52.0,0,0.0,0,0.0,0,0.0,0,1,0.028999999999999998,1,0,0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,5.2
48,Velus Jones Jr.,1,2,52,26.0,52.0,26.0,0,0.0,0,0.0,0,0.0,0,4,0.16,2,0,0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,5.2
49,Christian Watson,1,6,49,8.2,21.0,3.5,0,0.0,28,4.7,4,0.7,0,8,0.21100000000000002,6,0,3,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4.9
50,Phillip Dorsett II,1,3,45,15.0,42.0,14.0,0,0.0,3,1.0,0,0.0,0,3,0.10300000000000001,3,0,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4.5
51,Rashid Shaheed,1,4,41,10.3,14.0,3.5,0,0.0,27,6.8,3,0.8,0,5,0.35700000000000004,4,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.1
52,Sammy Watkins,1,1,40,40.0,26.0,26.0,0,0.0,14,14.0,0,0.0,0,1,0.063,1,0,0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,4.0
53,Michael Pittman Jr.,1,4,39,9.8,32.0,8.0,0,0.0,7,1.8,6,1.5,0,7,0.25,4,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.9
54,Amari Rodgers,1,1,37,37.0,25.0,25.0,0,0.0,12,12.0,0,0.0,0,2,0.069,1,0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,3.7
55,Romeo Doubs,1,3,36,12.0,28.0,9.3,0,0.0,8,2.7,3,1.0,0,6,0.158,5,2,1,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3.6
56,Byron Pringle,1,2,34,17.0,27.0,13.5,0,0.0,7,3.5,0,0.0,0,2,0.08,2,0,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3.4
57,Josh Reynolds,1,2,31,15.5,24.0,12.0,0,0.0,7,3.5,3,1.5,0,4,0.098,2,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3.1
58,Robert Woods,1,4,30,7.5,20.0,5.0,0,0.0,10,2.5,3,0.8,0,5,0.25,4,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
59,Mike Evans,1,3,29,9.7,28.0,9.3,0,0.0,1,0.3,1,0.3,0,8,0.16699999999999998,3,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.9
60,JuJu Smith-Schuster,1,3,27,9.0,7.0,2.3,0,0.0,20,6.7,6,2.0,0,4,0.14800000000000002,4,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.7
61,Alec Pierce,1,3,26,8.7,15.0,5.0,0,0.0,11,3.7,5,1.7,0,4,0.14300000000000002,3,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.6
62,Laquon Treadwell,1,3,26,8.7,26.0,8.7,0,0.0,0,0.0,0,0.0,0,7,0.184,4,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.6
63,Stefon Diggs,1,2,26,13.0,25.0,12.5,0,0.0,1,0.5,4,2.0,0,2,0.08,2,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.6
64,Christian Kirk,1,3,22,7.3,1.0,0.3,0,0.0,21,7.0,0,0.0,0,6,0.2,4,1,1,1,0,0,0,0,0.0,1.0,4.0,0.0,0.0,2.6
65,Khalil Shakir,1,1,5,5.0,5.0,5.0,0,0.0,0,0.0,0,0.0,0,1,0.04,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.5
66,Trent Sherfield Sr.,1,2,25,12.5,24.0,12.0,0,0.0,1,0.5,0,0.0,0,2,0.083,2,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.5
67,Chris Moore,1,2,25,12.5,18.0,9.0,0,0.0,7,3.5,4,2.0,0,4,0.138,2,0,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.5
68,Nick Westbrook-Ikhine,1,2,23,11.5,15.0,7.5,0,0.0,8,4.0,2,1.0,0,3,0.15,2,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.3
69,Tyler Boyd,1,3,21,7.0,10.0,3.3,0,0.0,11,3.7,0,0.0,0,4,0.08199999999999999,3,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.1
70,Jauan Jennings,1,2,21,10.5,21.0,10.5,0,0.0,0,0.0,0,0.0,0,3,0.14300000000000002,3,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.1
71,Parris Campbell,1,2,19,9.5,18.0,9.0,0,0.0,1,0.5,0,0.0,0,5,0.179,2,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.9
72,Quez Watkins,1,1,19,19.0,19.0,19.0,0,0.0,0,0.0,0,0.0,0,5,0.147,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.9
73,Van Jefferson,1,3,19,6.3,14.0,4.7,0,0.0,5,1.7,2,0.7,0,5,0.179,3,0,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.9
74,David Bell,1,1,18,18.0,12.0,12.0,0,0.0,6,6.0,7,7.0,2,2,0.07400000000000001,2,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.8
75,Olamide Zaccheaus,1,4,18,4.5,4.0,1.0,0,0.0,14,3.5,0,0.0,1,7,0.226,5,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.8
76,Shi Smith,1,1,17,17.0,9.0,9.0,0,0.0,8,8.0,0,0.0,0,2,0.095,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.7
77,K.J. Osborn,1,3,17,5.7,-1.0,-0.3,0,0.0,18,6.0,4,1.3,1,4,0.085,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.7
78,Joshua Palmer,1,2,16,8.0,10.0,5.0,0,0.0,6,3.0,2,1.0,0,3,0.1,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.6
79,Damiere Byrd,1,1,15,15.0,15.0,15.0,0,0.0,0,0.0,0,0.0,0,2,0.065,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5
80,Marvin Jones Jr.,1,3,15,5.0,14.0,4.7,0,0.0,1,0.3,0,0.0,0,4,0.133,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5
81,Elijah Moore,1,2,15,7.5,10.0,5.0,0,0.0,5,2.5,0,0.0,0,3,0.1,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5
82,Davante Adams,1,2,15,7.5,-4.0,-2.0,0,0.0,19,9.5,0,0.0,0,9,0.3,2,0,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5
83,Treylon Burks,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,2,0.1,0,0,0,0,0,0,0,0,0.0,1.0,15.0,0.0,0.0,1.5
84,Brandon Powell,1,3,12,4.0,-4.0,-1.3,0,0.0,16,5.3,0,0.0,0,3,0.107,3,0,1,0,0,0,0,0,0.0,2.0,3.0,0.0,0.0,1.5
85,Corey Davis,1,2,14,7.0,13.0,6.5,0,0.0,1,0.5,0,0.0,0,7,0.233,3,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.4
86,Tutu Atwell,1,2,14,7.0,12.0,6.0,0,0.0,2,1.0,0,0.0,0,2,0.071,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.4
87,Zay Jones,1,1,14,14.0,14.0,14.0,0,0.0,0,0.0,0,0.0,0,4,0.133,4,3,0,1,0,0,0,0,0.0,1.0,-3.0,0.0,0.0,1.1
88,Freddie Swain,1,1,11,11.0,6.0,6.0,0,0.0,5,5.0,0,0.0,0,2,0.059000000000000004,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.1
89,Garrett Wilson,1,4,30,7.5,21.0,5.3,0,0.0,9,2.3,1,0.3,0,9,0.3,4,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
90,DeSean Jackson,1,1,10,10.0,10.0,10.0,0,0.0,0,0.0,0,0.0,0,2,0.125,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
91,Cole Beasley,1,1,9,9.0,5.0,5.0,0,0.0,4,4.0,2,2.0,0,1,0.04,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9
92,Tyquan Thornton,1,1,8,8.0,4.0,4.0,0,0.0,4,4.0,0,0.0,0,3,0.09699999999999999,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8
93,Jamal Agnew,1,1,8,8.0,-1.0,-1.0,0,0.0,9,9.0,2,2.0,0,1,0.033,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8
94,Mack Hollins,1,1,7,7.0,5.0,5.0,0,0.0,2,2.0,0,0.0,0,2,0.067,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7
95,Steven Sims Jr.,1,1,7,7.0,3.0,3.0,0,0.0,4,4.0,1,1.0,0,1,0.027999999999999997,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7
96,Zach Pascal,1,1,6,6.0,5.0,5.0,0,0.0,1,1.0,0,0.0,0,1,0.028999999999999998,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6
97,Isaiah McKenzie,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,2,0.08,0,0,0,0,0,0,0,0,0.0,1.0,6.0,0.0,0.0,0.6
98,Adam Thielen,1,1,6,6.0,2.0,2.0,0,0.0,4,4.0,0,0.0,0,5,0.106,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6
99,Skyy Moore,1,1,5,5.0,-3.0,-3.0,0,0.0,8,8.0,2,2.0,1,1,0.037000000000000005,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5
100,Julio Jones,1,1,5,5.0,2.0,2.0,0,0.0,3,3.0,2,2.0,0,2,0.042,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5
101,Randall Cobb,1,1,5,5.0,5.0,5.0,0,0.0,0,0.0,0,0.0,0,2,0.053,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5
102,Michael Woods II,1,1,5,5.0,5.0,5.0,0,0.0,0,0.0,0,0.0,0,1,0.037000000000000005,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5
103,Noah Brown,1,1,5,5.0,-2.0,-2.0,0,0.0,7,7.0,0,0.0,0,2,0.057,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5
104,DeAndre Hopkins,1,1,4,4.0,-2.0,-2.0,0,0.0,6,6.0,0,0.0,0,10,0.23800000000000002,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4
105,Penny Hart,1,1,2,2.0,-2.0,-2.0,0,0.0,4,4.0,0,0.0,0,2,0.053,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2
106,Donovan Peoples-Jones,1,1,2,2.0,2.0,2.0,0,0.0,0,0.0,0,0.0,0,5,0.185,2,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2
107,Jalen Nailor,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
108,Dan Chisena,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
109,Marquez Callaway,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
110,Keelan Cole Sr.,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.033,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
111,Dyami Brown,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
112,Tim Jones,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
113,Cody Thompson,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
114,Jalen Tolbert,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
115,Rondale Moore,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
116,Tay Martin,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
117,Michael Bandy,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
118,Keith Kirkwood,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,2,0.14300000000000002,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
119,Marcus Johnson,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
120,Matthew Slater,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
121,Maurice Alexander,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
122,Tom Kennedy,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
123,Nsimba Webster,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
124,Dareke Young,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
125,Braylon Sanders,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
126,Pharoh Cooper,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
127,Alex Bachman,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
128,Brandon Johnson,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
129,Lance McCutcheon,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
130,Jalen Virgil,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.028999999999999998,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
131,Cody White,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
132,Samori Toure,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
133,Deven Thompkins,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
134,Mason Kinsey,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
