RANK,PLAYER,GAMES,RECEIVING_REC,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_YBC,RECEIVING_YBC/R,RECEIVING_AIR,RECEIVING_AIR/R,RECEIVING_YAC,RECEIVING_YACON,RECEIVING_YACON/R,RECEIVING_BRKTKL,TARGETS_TGT,TARGETS_%_TM,TARGETS_CATCHABLE,TARGETS_DROP,TARGETS_RZ_TGT,BIG_PLAYS_10+_YDS,BIG_PLAYS_20+_YDS,BIG_PLAYS_30+_YDS,BIG_PLAYS_40+_YDS,BIG_PLAYS_50+_YDS,BIG_PLAYS_LNG,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
1,Davante Adams,1,7,141,20.1,110.0,15.7,0,0.0,31.0,4.4,0,0.0,0,13,0.35100000000000003,8,1,1,6,4,2,0,0,2.0,0.0,0.0,0.0,0.0,26.1
2,Amari Cooper,1,8,113,14.1,84.0,10.5,0,0.0,29.0,3.6,3,0.4,0,12,0.308,9,1,1,5,2,0,0,0,2.0,0.0,0.0,0.0,0.0,23.3
3,Joshua Palmer,1,8,106,13.3,74.0,9.3,0,0.0,32.0,4.0,16,2.0,0,10,0.345,8,0,1,4,1,1,1,1,2.0,0.0,0.0,0.0,0.0,22.6
4,Christian Watson,1,4,48,12.0,48.0,12.0,0,0.0,0.0,0.0,0,0.0,0,6,0.162,5,1,3,2,0,0,0,0,2.0,1.0,3.0,0.0,0.0,17.1
5,Chris Olave,1,5,102,20.4,76.0,15.2,0,0.0,26.0,5.2,0,0.0,0,6,0.222,5,0,1,4,1,1,1,1,1.0,0.0,0.0,0.0,0.0,16.2
6,Deebo Samuel Sr.,1,7,57,8.1,14.0,2.0,0,0.0,43.0,6.1,27,3.9,2,9,0.31,8,1,1,2,0,0,0,0,0.0,3.0,37.0,1.0,0.0,15.4
7,Tee Higgins,1,9,148,16.4,104.0,11.6,0,0.0,44.0,4.9,18,2.0,0,13,0.35100000000000003,9,0,0,8,2,1,0,0,0.0,0.0,0.0,0.0,0.0,14.8
8,George Pickens,1,4,83,20.8,74.0,18.5,0,0.0,9.0,2.3,7,1.8,0,6,0.158,5,1,0,3,3,1,0,0,1.0,0.0,0.0,0.0,0.0,14.3
9,Brandon Aiyuk,1,2,20,10.0,12.0,6.0,0,0.0,8.0,4.0,6,3.0,1,4,0.138,2,0,2,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0,14.0
10,Demarcus Robinson,1,9,128,14.2,88.0,9.8,0,0.0,40.0,4.4,4,0.4,0,9,0.281,9,0,0,5,3,1,0,0,0.0,0.0,0.0,0.0,0.0,12.8
