,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Tyreek Hill,1,13,269.0,20.7,188.0,14.5,0,0.0,81,6.2,16,1.2,4,15,32.6%,13,0,0,7,6,3,2,2
2,William Fuller V,1,6,171.0,28.5,105.0,17.5,0,0.0,66,11.0,9,1.5,0,7,30.4%,6,0,0,6,4,4,1,1
3,A.J. Brown,1,4,98.0,24.5,39.0,9.8,0,0.0,59,14.8,46,11.5,0,6,30.0%,4,0,0,3,1,1,1,1
4,Jarvis Landry,1,8,143.0,17.9,89.0,11.1,0,0.0,54,6.8,11,1.4,1,11,40.7%,8,0,3,7,3,0,0,0
5,Allen Robinson II,1,8,74.0,9.3,52.0,6.5,0,0.0,22,2.8,12,1.5,1,13,29.5%,8,0,4,3,1,0,0,0
6,Justin Jefferson,1,7,70.0,10.0,63.0,9.0,0,0.0,7,1.0,3,0.4,1,13,30.2%,8,0,4,4,0,0,0,0
7,DK Metcalf,1,10,177.0,17.7,137.0,13.7,0,0.0,40,4.0,16,1.6,1,13,43.3%,11,1,1,7,2,2,1,1
8,Amari Cooper,1,6,112.0,18.7,77.0,12.8,0,0.0,35,5.8,6,1.0,0,8,23.5%,6,0,1,3,2,1,1,1
9,Mike Evans,1,3,50.0,16.7,41.0,13.7,0,0.0,9,3.0,2,0.7,0,9,22.0%,3,0,1,2,1,1,0,0
10,Collin Johnson,1,4,96.0,24.0,67.0,16.8,0,0.0,29,7.3,0,0.0,0,8,24.2%,4,0,1,4,2,1,1,1
11,Robbie Chosen,1,4,94.0,23.5,49.0,12.3,0,0.0,45,11.3,2,0.5,0,7,21.9%,5,1,0,3,2,2,1,1
12,Marquise Brown,1,4,85.0,21.3,18.0,4.5,0,0.0,67,16.8,5,1.3,0,8,44.4%,4,0,0,1,1,1,1,1
13,T.Y. Hilton,1,4,81.0,20.3,62.0,15.5,0,0.0,19,4.8,5,1.3,0,5,11.9%,4,0,1,3,1,1,1,1
14,Gabe Davis,1,3,79.0,26.3,70.0,23.3,0,0.0,9,3.0,3,1.0,0,4,16.7%,3,0,1,3,2,1,1,1
15,Deebo Samuel Sr.,1,11,133.0,12.1,-3.0,-0.3,0,0.0,136,12.4,82,7.5,1,13,38.2%,12,1,0,4,4,1,0,0
16,Davante Adams,1,6,61.0,10.2,27.0,4.5,0,0.0,34,5.7,9,1.5,0,9,31.0%,6,0,3,3,0,0,0,0
17,Keenan Allen,1,4,40.0,10.0,31.0,7.8,0,0.0,9,2.3,10,2.5,0,10,19.6%,8,2,1,2,0,0,0,0
18,DeVante Parker,1,8,119.0,14.9,82.0,10.3,0,0.0,37,4.6,19,2.4,3,14,35.9%,8,0,0,6,1,0,0,0
19,Mohamed Sanu Sr.,1,4,32.0,8.0,29.0,7.3,0,0.0,3,0.8,0,0.0,0,4,9.5%,4,0,1,1,0,0,0,0
20,Calvin Ridley,1,6,50.0,8.3,32.0,5.3,0,0.0,18,3.0,3,0.5,0,9,24.3%,6,0,3,2,0,0,0,0
21,Tee Higgins,1,5,44.0,8.8,29.0,5.8,0,0.0,15,3.0,0,0.0,0,5,18.5%,5,0,1,3,0,0,0,0
22,Chad Beebe,1,7,63.0,9.0,48.0,6.9,0,0.0,15,2.1,1,0.1,0,7,16.3%,7,0,2,3,0,0,0,0
23,Chris Godwin,1,8,97.0,12.1,76.0,9.5,0,0.0,21,2.6,4,0.5,0,9,22.0%,9,1,0,3,1,1,1,1
24,JuJu Smith-Schuster,1,8,37.0,4.6,16.0,2.0,0,0.0,21,2.6,10,1.3,0,9,17.6%,9,1,4,1,0,0,0,0
25,Bisi Johnson,1,7,74.0,10.6,70.0,10.0,0,0.0,4,0.6,3,0.4,1,7,16.3%,7,0,0,3,0,0,0,0
26,Terry McLaurin,1,7,92.0,13.1,71.0,10.1,0,0.0,21,3.0,7,1.0,0,9,37.5%,7,0,0,3,2,0,0,0
27,Robert Woods,1,7,80.0,11.4,40.0,5.7,0,0.0,40,5.7,4,0.6,0,12,40.0%,8,1,0,3,1,1,0,0
28,Brandin Cooks,1,5,85.0,17.0,59.0,11.8,0,0.0,26,5.2,2,0.4,0,5,21.7%,5,0,0,5,1,0,0,0
29,Allen Lazard,1,4,23.0,5.8,4.0,1.0,0,0.0,19,4.8,4,1.0,0,6,20.7%,4,0,1,0,0,0,0,0
30,Breshad Perriman,1,4,79.0,19.8,59.0,14.8,0,0.0,20,5.0,12,3.0,1,8,29.6%,5,1,0,3,2,1,0,0
