,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Marvin Jones Jr.,1,8,180.0,22.5,142.0,17.8,0,0.0,38.0,4.8,8,1.0,0,11,35.5%,9,1,1,7,5,2,1,1
2,Brandin Cooks,1,11,166.0,15.1,150.0,13.6,0,0.0,16.0,1.5,2,0.2,0,16,40.0%,14,1,3,6,4,1,0,0
3,Antonio Brown,1,11,138.0,12.5,47.0,4.3,0,0.0,91.0,8.3,26,2.4,1,15,39.5%,11,0,1,6,3,1,0,0
4,Sterling Shepard,1,8,112.0,14.0,88.0,11.0,0,0.0,24.0,3.0,6,0.8,0,10,40.0%,8,0,1,6,2,0,0,0
5,Chris Godwin,1,5,133.0,26.6,99.0,19.8,0,0.0,34.0,6.8,34,6.8,1,7,18.4%,5,0,1,3,3,2,2,2
6,Isaiah McKenzie,1,6,65.0,10.8,51.0,8.5,0,0.0,14.0,2.3,0,0.0,0,9,24.3%,7,1,2,3,0,0,0,0
7,Jerry Jeudy,1,5,140.0,28.0,44.0,8.8,0,0.0,96.0,19.2,1,0.2,0,7,17.5%,5,0,0,3,2,1,1,1
8,A.J. Brown,1,10,151.0,15.1,117.0,11.7,0,0.0,34.0,3.4,21,2.1,0,11,40.7%,10,0,1,5,3,1,1,1
9,Tyler Lockett,1,12,90.0,7.5,43.0,3.6,0,0.0,47.0,3.9,8,0.7,0,14,43.8%,12,0,4,1,1,0,0,0
10,Laviska Shenault Jr.,1,6,68.0,11.3,50.0,8.3,0,0.0,18.0,3.0,8,1.3,0,9,22.5%,6,0,2,2,1,0,0,0
11,Mike Williams,1,6,108.0,18.0,90.0,15.0,0,0.0,18.0,3.0,4,0.7,0,7,23.3%,6,0,0,5,2,1,1,1
12,Gabe Davis,1,2,107.0,53.5,80.0,40.0,0,0.0,27.0,13.5,13,6.5,0,5,13.5%,2,0,0,2,2,2,2,2
13,Russell Gage,1,9,91.0,10.1,60.0,6.7,0,0.0,31.0,3.4,17,1.9,0,10,24.4%,9,0,1,4,0,0,0,0
14,Marquise Brown,1,5,41.0,8.2,30.0,6.0,0,0.0,11.0,2.2,5,1.0,0,8,42.1%,5,0,3,1,0,0,0,0
15,Chase Claypool,1,5,101.0,20.2,88.0,17.6,0,0.0,13.0,2.6,7,1.4,0,11,26.2%,5,0,0,4,2,1,1,1
16,Marquez Valdes-Scantling,1,2,87.0,43.5,28.0,14.0,0,0.0,59.0,29.5,0,0.0,0,3,12.5%,3,1,0,2,1,1,1,1
17,Justin Jefferson,1,9,133.0,14.8,84.0,9.3,0,0.0,49.0,5.4,42,4.7,3,12,31.6%,9,0,1,6,1,1,0,0
18,John Brown,1,4,72.0,18.0,68.0,17.0,0,0.0,4.0,1.0,0,0.0,0,4,10.8%,4,0,0,2,2,1,0,0
19,JuJu Smith-Schuster,1,6,65.0,10.8,38.0,6.3,0,0.0,27.0,4.5,7,1.2,0,8,19.0%,6,0,1,3,1,0,0,0
20,Emmanuel Sanders,1,9,63.0,7.0,31.0,3.4,0,0.0,32.0,3.6,4,0.4,0,13,44.8%,10,1,1,0,0,0,0,0
21,Jakobi Meyers,1,6,68.0,11.3,47.0,7.8,0,0.0,21.0,3.5,8,1.3,0,7,23.3%,6,0,0,5,0,0,0,0
22,Curtis Samuel,1,7,118.0,16.9,99.0,14.1,0,0.0,19.0,2.7,6,0.9,1,11,30.6%,8,1,0,4,3,1,0,0
