,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Justin Jefferson,1,9,166,18.4,108.0,12.0,0,0.0,58,6.4,41,4.6,0,11,31.4%,9,0,1,7,2,2,1,1
2,Julio Jones,1,8,137,17.1,70.0,8.8,0,0.0,67,8.4,20,2.5,1,10,27.0%,8,0,3,4,4,2,1,1
3,Christian Kirk,1,2,86,43.0,37.0,18.5,0,0.0,49,24.5,0,0.0,0,3,13.6%,2,0,1,1,1,1,1,1
4,William Fuller V,1,6,123,20.5,91.0,15.2,0,0.0,32,5.3,8,1.3,1,11,29.7%,7,0,1,4,2,1,1,1
5,A.J. Brown,1,5,58,11.6,44.0,8.8,0,0.0,14,2.8,7,1.4,0,7,17.1%,5,0,2,3,0,0,0,0
6,Keelan Cole Sr.,1,6,143,23.8,115.0,19.2,0,0.0,28,4.7,13,2.2,1,9,20.5%,7,1,1,4,3,2,1,1
7,Chase Claypool,1,4,74,18.5,49.0,12.3,0,0.0,25,6.3,15,3.8,0,4,17.4%,4,0,0,2,2,1,0,0
8,Amari Cooper,1,7,79,11.3,45.0,6.4,0,0.0,34,4.9,8,1.1,1,10,19.2%,7,0,3,3,1,0,0,0
9,Travis Fulgham,1,6,75,12.5,58.0,9.7,0,0.0,17,2.8,10,1.7,2,10,25.6%,7,1,3,5,0,0,0,0
10,Calvin Ridley,1,6,61,10.2,42.0,7.0,0,0.0,19,3.2,7,1.2,1,7,18.9%,6,0,1,2,0,0,0,0
11,Brandin Cooks,1,9,68,7.6,61.0,6.8,0,0.0,7,0.8,2,0.2,0,9,24.3%,9,0,2,2,0,0,0,0
12,James Washington,1,4,68,17.0,53.0,13.3,0,0.0,15,3.8,4,1.0,0,7,30.4%,6,1,1,2,2,0,0,0
13,Tee Higgins,1,6,125,20.8,67.0,11.2,0,0.0,58,9.7,10,1.7,0,8,20.5%,7,0,1,4,2,1,1,1
14,Adam Humphries,1,6,64,10.7,55.0,9.2,0,0.0,9,1.5,4,0.7,0,6,14.6%,6,0,1,3,1,0,0,0
15,Deebo Samuel Sr.,1,6,66,11.0,-32.0,-5.3,0,0.0,98,16.3,41,6.8,1,6,18.8%,6,0,1,3,1,1,0,0
16,Zach Pascal,1,4,54,13.5,44.0,11.0,0,0.0,10,2.5,3,0.8,0,7,16.7%,4,0,3,3,1,0,0,0
17,Adam Thielen,1,3,51,17.0,37.0,12.3,0,0.0,14,4.7,6,2.0,0,5,14.3%,3,0,1,2,1,1,0,0
18,Marcus Johnson,1,5,108,21.6,88.0,17.6,0,0.0,20,4.0,5,1.0,0,8,19.0%,6,0,0,3,3,1,1,1
19,Stefon Diggs,1,6,46,7.7,37.0,6.2,0,0.0,9,1.5,2,0.3,0,8,32.0%,7,1,1,2,0,0,0,0
20,Josh Reynolds,1,2,45,22.5,45.0,22.5,0,0.0,0,0.0,0,0.0,0,5,13.5%,2,0,1,1,1,1,1,1
21,Cole Beasley,1,4,45,11.3,35.0,8.8,0,0.0,10,2.5,4,1.0,0,7,28.0%,4,0,1,2,1,0,0,0
22,Kenny Golladay,1,4,105,26.3,91.0,22.8,0,0.0,14,3.5,3,0.8,0,6,19.4%,4,0,1,3,2,2,1,1
23,Tim Patrick,1,4,101,25.3,86.0,21.5,0,0.0,15,3.8,5,1.3,0,8,33.3%,4,0,0,3,2,2,1,1
24,Robert Woods,1,4,29,7.3,28.0,7.0,0,0.0,1,0.3,0,0.0,0,10,27.0%,5,1,2,2,0,0,0,0
25,Darius Slayton,1,2,41,20.5,41.0,20.5,0,0.0,0,0.0,0,0.0,0,4,22.2%,2,0,1,2,1,0,0,0
26,A.J. Green,1,8,96,12.0,73.0,9.1,0,0.0,23,2.9,12,1.5,0,11,28.2%,8,0,0,6,0,0,0,0
27,DJ Moore,1,5,93,18.6,59.0,11.8,0,0.0,34,6.8,11,2.2,1,11,40.7%,7,2,1,4,2,1,0,0
28,Cam Sims,1,1,22,22.0,22.0,22.0,0,0.0,0,0.0,0,0.0,0,1,2.5%,1,0,0,1,1,0,0,0
29,Tyler Boyd,1,5,54,10.8,39.0,7.8,0,0.0,15,3.0,5,1.0,0,8,20.5%,5,0,0,2,2,0,0,0
30,Preston Williams,1,2,18,9.0,15.0,7.5,0,0.0,3,1.5,3,1.5,0,3,10.3%,2,0,1,1,0,0,0,0
31,Randall Cobb,1,3,17,5.7,15.0,5.0,0,0.0,2,0.7,0,0.0,0,4,10.8%,3,0,1,0,0,0,0,0
32,Robbie Chosen,1,4,77,19.3,65.0,16.3,0,0.0,12,3.0,6,1.5,0,5,18.5%,4,0,0,3,2,1,0,0
33,Terry McLaurin,1,7,74,10.6,37.0,5.3,0,0.0,37,5.3,27,3.9,1,12,30.0%,7,0,1,3,1,0,0,0
34,Rashard Higgins,1,1,13,13.0,13.0,13.0,0,0.0,0,0.0,0,0.0,0,2,7.7%,1,0,1,1,0,0,0,0
35,DeAndre Hopkins,1,2,73,36.5,17.0,8.5,0,0.0,56,28.0,0,0.0,0,8,36.4%,2,0,1,2,1,1,1,1
36,Brandon Aiyuk,1,2,12,6.0,-2.0,-1.0,0,0.0,14,7.0,3,1.5,0,3,9.4%,2,0,1,1,0,0,0,0
