,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,DK Metcalf,1,12,161,13.4,97.0,8.1,0,0.0,64,5.3,10,0.8,1,15,41.7%,12,0,2,5,2,2,1,1
2,Davante Adams,1,7,53,7.6,45.0,6.4,0,0.0,8,1.1,1,0.1,0,11,28.9%,7,0,4,2,0,0,0,0
3,Tyreek Hill,1,4,98,24.5,81.0,20.3,0,0.0,17,4.3,4,1.0,0,6,12.8%,4,0,0,3,2,2,1,1
4,Robert Woods,1,7,85,12.1,42.0,6.0,0,0.0,43,6.1,7,1.0,1,8,14.0%,7,0,2,3,1,0,0,0
5,Corey Davis,1,8,128,16.0,104.0,13.0,0,0.0,24,3.0,8,1.0,0,10,34.5%,8,0,1,7,3,0,0,0
6,Curtis Samuel,1,4,31,7.8,24.0,6.0,0,0.0,7,1.8,2,0.5,0,5,19.2%,4,0,0,1,1,0,0,0
7,Mike Williams,1,5,99,19.8,93.0,18.6,0,0.0,6,1.2,1,0.2,0,8,19.0%,6,1,1,4,2,1,0,0
8,Marvin Jones Jr.,1,3,39,13.0,31.0,10.3,0,0.0,8,2.7,3,1.0,0,7,17.5%,3,0,3,2,1,0,0,0
9,Mecole Hardman Jr.,1,7,96,13.7,39.0,5.6,0,0.0,57,8.1,4,0.6,0,9,19.1%,9,2,0,5,1,1,0,0
10,Brandon Aiyuk,1,8,91,11.4,67.0,8.4,0,0.0,24,3.0,4,0.5,0,10,25.0%,8,0,3,2,1,1,0,0
11,Allen Robinson II,1,6,87,14.5,73.0,12.2,0,0.0,14,2.3,1,0.2,0,7,17.1%,6,0,0,3,2,0,0,0
12,DaeSean Hamilton,1,4,82,20.5,38.0,9.5,0,0.0,44,11.0,6,1.5,0,5,13.2%,4,0,2,4,1,1,1,1
13,Travis Fulgham,1,6,78,13.0,59.0,9.8,0,0.0,19,3.2,12,2.0,0,7,26.9%,6,0,1,2,1,1,0,0
14,Julio Jones,1,7,137,19.6,109.0,15.6,0,0.0,28,4.0,14,2.0,0,10,33.3%,7,0,3,6,5,0,0,0
15,Tyler Boyd,1,6,67,11.2,46.0,7.7,0,0.0,21,3.5,0,0.0,0,7,20.0%,6,0,2,3,0,0,0,0
16,Darnell Mooney,1,5,69,13.8,58.0,11.6,0,0.0,11,2.2,4,0.8,0,6,14.6%,5,0,1,1,1,1,1,1
17,Keenan Allen,1,9,67,7.4,55.0,6.1,0,0.0,12,1.3,3,0.3,0,12,28.6%,9,0,1,1,1,0,0,0
18,Demarcus Robinson,1,4,63,15.8,52.0,13.0,0,0.0,11,2.8,8,2.0,0,5,10.6%,4,0,0,3,1,0,0,0
19,Mike Evans,1,5,55,11.0,44.0,8.8,0,0.0,11,2.2,4,0.8,0,7,17.5%,5,0,1,3,1,0,0,0
20,Marvin Hall,1,4,113,28.3,93.0,23.3,0,0.0,20,5.0,3,0.8,0,7,17.5%,5,1,1,3,1,1,1,1
21,Cooper Kupp,1,11,110,10.0,49.0,4.5,0,0.0,61,5.5,28,2.5,3,20,35.1%,14,3,0,4,1,0,0,0
