,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Calvin Ridley,1,7,109.0,15.6,95.0,13.6,0,0.0,14.0,2.0,2,0.3,0,10,27.8%,7,0,2,6,3,0,0,0
2,Stefon Diggs,1,8,153.0,19.1,115.0,14.4,0,0.0,38.0,4.8,22,2.8,2,13,37.1%,11,2,1,5,4,1,1,1
3,Terry McLaurin,1,7,125.0,17.9,42.0,6.0,0,0.0,83.0,11.9,38,5.4,3,10,30.3%,8,1,0,6,3,0,0,0
4,Julian Edelman,1,8,179.0,22.4,154.0,19.3,0,0.0,25.0,3.1,2,0.3,0,11,25.6%,9,1,2,7,3,2,1,1
5,Tyreek Hill,1,5,99.0,19.8,74.0,14.8,0,0.0,25.0,5.0,8,1.6,1,11,24.4%,7,1,0,4,1,1,1,1
6,Mike Evans,1,7,104.0,14.9,65.0,9.3,0,0.0,39.0,5.6,5,0.7,0,10,28.6%,9,2,0,2,2,1,1,1
7,DK Metcalf,1,4,92.0,23.0,63.0,15.8,0,0.0,29.0,7.3,15,3.8,1,6,24.0%,4,0,0,3,1,1,1,1
8,Diontae Johnson,1,8,92.0,11.5,50.0,6.3,0,0.0,42.0,5.3,15,1.9,1,13,31.7%,9,1,0,5,1,0,0,0
9,Chase Claypool,1,3,88.0,29.3,41.0,13.7,0,0.0,47.0,15.7,0,0.0,0,3,7.3%,3,0,0,1,1,1,1,1
10,John Brown,1,4,82.0,20.5,77.0,19.3,0,0.0,5.0,1.3,1,0.3,0,6,17.1%,4,0,0,3,1,1,1,1
11,Odell Beckham Jr.,1,4,74.0,18.5,53.0,13.3,0,0.0,21.0,5.3,8,2.0,0,6,28.6%,4,0,1,2,1,1,1,1
12,Tyler Boyd,1,7,72.0,10.3,45.0,6.4,0,0.0,27.0,3.9,10,1.4,0,8,13.6%,8,1,2,4,0,0,0,0
13,DeAndre Hopkins,1,8,68.0,8.5,28.0,3.5,0,0.0,40.0,5.0,22,2.8,3,9,26.5%,9,1,1,2,1,0,0,0
14,Tyler Lockett,1,7,67.0,9.6,38.0,5.4,0,0.0,29.0,4.1,0,0.0,0,8,32.0%,7,0,1,2,0,0,0,0
15,DJ Moore,1,8,120.0,15.0,114.0,14.3,0,0.0,6.0,0.8,1,0.1,0,13,32.5%,8,0,0,6,1,1,0,0
16,Braxton Berrios,1,6,59.0,9.8,31.0,5.2,0,0.0,28.0,4.7,2,0.3,0,8,25.0%,7,1,1,2,1,1,0,0
17,Keelan Cole Sr.,1,6,58.0,9.7,41.0,6.8,0,0.0,17.0,2.8,0,0.0,0,7,15.9%,6,0,1,2,1,0,0,0
18,CeeDee Lamb,1,6,106.0,17.7,47.0,7.8,0,0.0,59.0,9.8,2,0.3,0,9,19.1%,6,0,1,5,2,1,0,0
19,DeVante Parker,1,5,53.0,10.6,41.0,8.2,0,0.0,12.0,2.4,9,1.8,0,8,17.4%,6,0,1,2,1,0,0,0
20,David Moore,1,3,48.0,16.0,38.0,12.7,0,0.0,10.0,3.3,0,0.0,0,3,12.0%,3,0,1,1,1,1,0,0
21,Adam Humphries,1,5,48.0,9.6,32.0,6.4,0,0.0,16.0,3.2,2,0.4,0,6,25.0%,5,0,1,2,0,0,0,0
22,Russell Gage,1,6,46.0,7.7,29.0,4.8,0,0.0,17.0,2.8,0,0.0,0,9,25.0%,7,1,2,2,0,0,0,0
23,Amari Cooper,1,6,100.0,16.7,67.0,11.2,0,0.0,33.0,5.5,14,2.3,0,9,19.1%,7,1,0,4,1,1,1,1
24,Keenan Allen,1,7,96.0,13.7,45.0,6.4,0,0.0,51.0,7.3,27,3.9,0,10,33.3%,7,0,0,4,2,0,0,0
25,Darnell Mooney,1,3,36.0,12.0,33.0,11.0,0,0.0,3.0,1.0,0,0.0,0,3,10.7%,3,0,1,2,0,0,0,0
26,Corey Davis,1,3,36.0,12.0,21.0,7.0,0,0.0,15.0,5.0,0,0.0,0,5,20.8%,4,0,1,2,0,0,0,0
27,Brandin Cooks,1,5,95.0,19.0,81.0,16.2,0,0.0,14.0,2.8,4,0.8,0,8,23.5%,5,0,1,4,2,1,0,0
28,Robert Woods,1,2,14.0,7.0,12.0,6.0,0,0.0,2.0,1.0,0,0.0,0,5,19.2%,2,0,0,1,0,0,0,0
29,Mike Thomas,1,4,31.0,7.8,25.0,6.3,0,0.0,6.0,1.5,5,1.3,0,4,6.8%,4,0,1,2,0,0,0,0
30,Robbie Chosen,1,9,109.0,12.1,79.0,8.8,0,0.0,30.0,3.3,3,0.3,0,10,25.0%,9,0,2,6,1,1,0,0
