,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Adam Thielen,1,8,123,15.4,75.0,9.4,0,0.0,48.0,6.0,1,0.1,0,11,39.3%,9,1,3,4,2,1,1,1
2,Damiere Byrd,1,6,132,22.0,106.0,17.7,0,0.0,26.0,4.3,3,0.5,0,7,18.4%,6,0,0,5,2,2,1,1
3,Robert Woods,1,12,130,10.8,61.0,5.1,0,0.0,69.0,5.8,11,0.9,1,15,30.6%,12,0,1,5,2,1,0,0
4,Keenan Allen,1,16,145,9.1,65.0,4.1,0,0.0,80.0,5.0,24,1.5,0,19,39.6%,17,1,3,7,1,0,0,0
5,Davante Adams,1,7,106,15.1,73.0,10.4,0,0.0,33.0,4.7,18,2.6,0,9,25.7%,7,0,2,5,2,1,0,0
6,Tyreek Hill,1,11,102,9.3,59.0,5.4,0,0.0,43.0,3.9,0,0.0,0,14,31.8%,11,0,3,4,0,0,0,0
7,Nelson Agholor,1,6,88,14.7,59.0,9.8,0,0.0,29.0,4.8,6,1.0,0,9,31.0%,7,1,3,4,2,0,0,0
8,DJ Moore,1,7,127,18.1,89.0,12.7,0,0.0,38.0,5.4,19,2.7,1,11,31.4%,7,0,2,6,2,1,1,1
9,Justin Jefferson,1,3,86,28.7,83.0,27.7,0,0.0,3.0,1.0,0,0.0,0,5,17.9%,4,1,0,3,3,1,0,0
10,Cooper Kupp,1,11,145,13.2,71.0,6.5,0,0.0,74.0,6.7,53,4.8,4,13,26.5%,11,0,3,4,2,1,0,0
11,Curtis Samuel,1,8,70,8.8,32.0,4.0,0,0.0,38.0,4.8,14,1.8,1,10,28.6%,9,1,3,4,0,0,0,0
12,Mike Williams,1,4,72,18.0,43.0,10.8,0,0.0,29.0,7.3,27,6.8,0,7,14.6%,4,0,0,3,1,1,0,0
13,Tyler Lockett,1,9,67,7.4,46.0,5.1,0,0.0,21.0,2.3,6,0.7,1,9,33.3%,9,0,1,4,0,0,0,0
14,Michael Pittman Jr.,1,3,66,22.0,12.0,4.0,0,0.0,54.0,18.0,2,0.7,0,3,8.6%,3,0,0,2,1,1,1,1
15,CeeDee Lamb,1,4,34,8.5,14.0,3.5,0,0.0,20.0,5.0,3,0.8,0,6,19.4%,4,0,2,1,1,0,0,0
16,A.J. Brown,1,4,62,15.5,24.0,6.0,0,0.0,38.0,9.5,36,9.0,7,7,21.9%,4,0,2,4,1,0,0,0
17,DeVante Parker,1,6,61,10.2,45.0,7.5,0,0.0,16.0,2.7,9,1.5,1,9,24.3%,6,0,2,2,1,0,0,0
