,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Kyren Williams,1,24,89.0,3.7,60.0,2.5,29,1.2,1,2,-4.0,4,1,0,0,0,0,13,2,2,1,0
2,Saquon Barkley,1,17,147.0,8.6,114.0,6.7,33,1.9,0,1,-2.0,65,4,2,1,1,1,65,4,4,1,0
3,Derrick Henry,1,25,151.0,6.0,71.0,2.8,80,3.2,5,0,0.0,26,5,2,0,0,0,29,1,1,0,17
4,Jonathan Taylor,1,23,110.0,4.8,95.0,4.1,15,0.7,0,2,-4.0,29,3,2,0,0,0,29,1,2,0,25
5,Chuba Hubbard,1,21,114.0,5.4,60.0,2.9,54,2.6,1,0,0.0,0,3,0,0,0,0,14,5,5,2,21
6,Zach Charbonnet,1,18,91.0,5.1,36.0,2.0,55,3.1,2,1,-1.0,10,5,0,0,0,0,13,3,4,0,5
7,Aaron Jones,1,19,102.0,5.4,37.0,1.9,65,3.4,0,2,-4.0,0,1,1,1,0,0,39,5,6,3,5
8,David Montgomery,1,23,105.0,4.6,44.0,1.9,61,2.7,2,2,-3.0,1,3,0,0,0,0,16,3,3,0,5
9,Jahmyr Gibbs,1,16,83.0,5.2,51.0,3.2,32,2.0,1,1,-1.0,0,3,0,0,0,0,18,0,0,0,0
10,Zack Moss,1,12,58.0,4.8,30.0,2.5,28,2.3,2,1,-1.0,1,2,0,0,0,0,15,5,6,1,5
11,Devin Singletary,1,16,65.0,4.1,6.0,0.4,59,3.7,1,3,-9.0,1,2,1,1,1,0,43,4,4,0,9
12,James Cook,1,11,39.0,3.5,16.0,1.5,23,2.1,0,1,-1.0,6,1,0,0,0,0,13,4,5,0,8
13,Emanuel Wilson,1,12,50.0,4.2,18.0,1.5,32,2.7,3,1,-5.0,0,1,0,0,0,0,10,2,2,0,28
14,Breece Hall,1,16,54.0,3.4,24.0,1.5,30,1.9,0,2,-9.0,1,1,0,0,0,0,10,4,5,1,13
15,Alvin Kamara,1,26,87.0,3.3,55.0,2.1,32,1.2,1,4,-8.0,0,1,0,0,0,0,16,3,3,0,2
16,Austin Ekeler,1,3,35.0,11.7,30.0,10.0,5,1.7,0,0,0.0,24,1,1,0,0,0,24,2,2,0,5
17,Bijan Robinson,1,16,31.0,1.9,14.0,0.9,17,1.1,0,4,-7.0,0,0,0,0,0,0,7,2,2,0,8
18,Ty Johnson,1,3,18.0,6.0,1.0,0.3,17,5.7,0,1,-1.0,0,1,0,0,0,0,18,3,3,2,3
19,Alexander Mattison,1,3,7.0,2.3,5.0,1.7,2,0.7,1,0,0.0,2,0,0,0,0,0,3,3,3,0,4
20,Brian Robinson Jr.,1,16,33.0,2.1,10.0,0.6,23,1.4,1,0,0.0,1,0,0,0,0,0,7,1,1,0,0
21,Miles Sanders,1,7,17.0,2.4,13.0,1.9,4,0.6,0,1,-1.0,1,0,0,0,0,0,6,2,2,0,0
22,Cam Akers,1,9,21.0,2.3,3.0,0.3,18,2.0,1,3,-6.0,0,0,0,0,0,0,9,1,3,1,3
23,Jordan Mason,1,19,77.0,4.1,47.0,2.5,30,1.6,0,3,-6.0,0,2,0,0,0,0,18,2,2,0,3
24,Najee Harris,1,18,70.0,3.9,27.0,1.5,43,2.4,0,3,-9.0,0,2,1,0,0,0,21,5,5,0,6
25,Travis Etienne Jr.,1,11,68.0,6.2,40.0,3.6,28,2.5,0,0,0.0,0,2,1,0,0,0,22,4,6,0,2
26,Bucky Irving,1,9,70.0,7.8,27.0,3.0,43,4.8,2,0,0.0,0,2,1,1,0,0,32,3,3,0,9
27,Ray Davis,1,7,22.0,3.1,15.0,2.1,7,1.0,0,2,-3.0,3,1,0,0,0,0,10,1,1,0,1
