,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Derrick Henry,1,24,199,8.3,154,6.4,45,1.9,1,3,-5.0,87,3,3,2,1,1,87,3,3,1,1
2,Kenneth Walker III,1,12,80,6.7,30,2.5,50,4.2,1,3,-8.0,21,3,3,0,0,0,28,4,5,0,21
3,D'Andre Swift,1,16,93,5.8,47,2.9,46,2.9,1,1,-1.0,36,1,1,1,0,0,36,7,7,0,22
4,Jordan Mason,1,24,123,5.1,87,3.6,36,1.5,1,1,-1.0,4,4,2,0,0,0,25,2,3,1,16
5,Chase Brown,1,15,80,5.3,45,3.0,35,2.3,1,0,0.0,3,2,1,0,0,0,20,2,3,1,0
6,Jahmyr Gibbs,1,14,78,5.6,56,4.0,22,1.6,0,0,0.0,3,2,1,0,0,0,20,0,0,0,0
7,Jeremy McNichols,1,8,68,8.5,24,3.0,44,5.5,2,0,0.0,27,2,1,0,0,0,27,1,1,0,0
8,Chuba Hubbard,1,18,104,5.8,78,4.3,26,1.4,1,0,0.0,3,2,1,1,0,0,38,4,4,0,0
9,Alvin Kamara,1,19,77,4.1,50,2.6,27,1.4,0,3,-7.0,1,3,0,0,0,0,15,7,9,1,7
10,James Conner,1,18,104,5.8,65,3.6,39,2.2,1,1,-1.0,6,4,1,0,0,0,20,1,1,0,2
11,Brian Robinson Jr.,1,21,101,4.8,39,1.9,62,3.0,0,1,-5.0,6,2,0,0,0,0,18,3,3,1,6
12,Jonathan Taylor,1,21,88,4.2,44,2.1,44,2.1,1,3,-4.0,2,3,1,0,0,0,21,3,4,0,5
13,Tony Pollard,1,22,88,4.0,54,2.5,34,1.5,3,3,-4.0,4,2,1,1,1,0,41,2,2,0,5
14,Kyren Williams,1,19,94,4.9,61,3.2,33,1.7,1,2,-2.0,3,2,0,0,0,0,14,4,4,1,1
15,Justice Hill,1,4,18,4.5,8,2.0,10,2.5,0,1,-3.0,0,1,0,0,0,0,11,6,6,2,25
16,David Montgomery,1,12,40,3.3,25,2.1,15,1.3,1,1,-2.0,1,2,0,0,0,0,13,1,1,0,38
17,Aaron Jones,1,22,93,4.2,49,2.2,44,2.0,2,2,-3.0,0,3,0,0,0,0,17,4,5,2,3
18,Zack Moss,1,15,51,3.4,45,3.0,6,0.4,0,2,-3.0,0,2,0,0,0,0,13,4,4,1,1
19,Rico Dowdle,1,11,46,4.2,24,2.2,22,2.0,0,1,-1.0,0,0,0,0,0,0,9,1,1,1,9
20,Saquon Barkley,1,10,84,8.4,75,7.5,9,0.9,0,1,-1.0,0,1,1,1,1,1,59,2,4,0,15
21,Bucky Irving,1,10,49,4.9,22,2.2,27,2.7,0,0,0.0,1,1,0,0,0,0,15,1,2,0,0
22,Dare Ogunbowale,1,2,7,3.5,5,2.5,2,1.0,0,0,0.0,0,0,0,0,0,0,6,4,4,1,0
23,Tyjae Spears,1,15,39,2.6,10,0.7,29,1.9,3,3,-6.0,7,0,0,0,0,0,9,2,2,0,3
24,Tank Bigsby,1,7,90,12.9,45,6.4,45,6.4,0,0,0.0,0,2,2,1,1,1,58,0,0,0,0
25,Roschon Johnson,1,7,26,3.7,17,2.4,9,1.3,0,0,0.0,1,0,0,0,0,0,8,0,0,0,0
26,Kareem Hunt,1,14,69,4.9,34,2.4,35,2.5,2,0,0.0,0,1,0,0,0,0,10,2,3,1,9
27,Jerome Ford,1,10,58,5.8,12,1.2,46,4.6,1,1,-3.0,0,1,1,1,0,0,35,7,7,0,17
28,Rachaad White,1,10,49,4.9,21,2.1,28,2.8,1,2,-3.0,0,2,0,0,0,0,17,2,3,0,16
29,Javonte Williams,1,16,77,4.8,46,2.9,31,1.9,1,2,-6.0,0,3,0,0,0,0,16,2,3,0,0
30,Tyler Allgeier,1,8,60,7.5,28,3.5,32,4.0,1,0,0.0,0,3,0,0,0,0,15,2,2,0,11
