,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Dak Prescott,1,21,30,70%,272,9.1,159,5.3,12,3,1,1,1,2.6,5,1,2,7,3,4,4,109
2,Jalen Hurts,1,28,45,62%,280,6.2,171,3.8,10,3,2,1,0,2.7,2,1,13,7,1,4,4,60
3,Tua Tagovailoa,1,21,31,68%,262,8.5,168,5.4,10,4,2,2,0,2.3,0,1,0,14,2,1,5,126
4,Jared Goff,1,30,44,68%,353,8.0,208,4.7,13,6,1,1,0,2.0,3,0,4,23,8,1,2,108
5,Desmond Ridder,1,28,47,60%,307,6.5,201,4.3,13,3,1,0,0,2.2,3,4,2,13,5,1,5,67
6,Justin Herbert,1,22,37,59%,227,6.1,122,3.3,11,4,0,0,0,2.2,1,7,1,15,7,2,9,84
7,Sam Howell,1,14,23,61%,151,6.6,85,3.7,8,2,0,0,0,2.5,5,4,2,6,4,0,3,120
8,Patrick Mahomes II,1,30,40,75%,306,7.5,139,3.5,10,3,1,1,0,2.7,2,1,6,10,2,2,8,94
9,Lamar Jackson,1,21,30,70%,223,7.4,123,4.1,8,4,2,0,0,2.6,1,0,4,10,6,1,3,89
10,Derek Carr,1,32,50,64%,353,7.1,257,5.1,12,3,2,1,1,2.4,2,5,0,15,9,1,3,83
11,Trevor Lawrence,1,20,30,67%,181,6.0,106,3.5,7,1,0,0,0,2.1,3,2,0,7,6,0,3,91
12,C.J. Stroud,1,13,27,48%,199,7.4,117,4.3,9,4,2,0,0,2.9,2,1,0,7,9,0,6,82
13,Josh Allen,1,19,30,63%,169,5.6,115,3.8,7,1,0,0,0,2.5,0,1,5,6,6,2,3,87
14,Joe Burrow,1,24,35,69%,185,5.3,94,2.7,5,2,1,0,0,1.9,3,2,1,8,3,2,4,88
15,Matthew Stafford,1,15,24,63%,226,9.4,147,6.1,6,4,3,1,0,2.3,3,0,0,9,4,1,6,107
16,Geno Smith,1,27,41,66%,326,8.0,195,4.8,13,5,3,0,0,2.3,4,9,4,10,5,0,9,70
17,Bryce Young,1,23,38,61%,217,5.7,141,3.7,9,3,0,0,0,2.7,4,5,0,6,10,1,2,85
18,Gardner Minshew II,1,33,55,60%,329,6.0,174,3.2,11,4,3,3,0,2.2,3,5,0,19,6,2,8,60
19,Joshua Dobbs,1,21,41,51%,235,5.7,151,3.7,9,3,0,0,0,2.7,2,8,1,9,10,0,4,59
20,Zach Wilson,1,19,33,58%,186,5.6,103,3.1,7,2,1,0,0,2.4,5,3,6,11,6,3,3,74
21,Tyrod Taylor,1,24,36,67%,200,5.6,137,3.8,7,3,1,0,0,2.0,3,3,5,13,5,0,5,81
22,Jimmy Garoppolo,1,14,22,64%,162,7.4,103,4.7,8,1,1,0,0,2.7,0,3,0,7,3,1,4,82
23,Russell Wilson,1,13,22,59%,95,4.3,57,2.6,4,1,0,0,0,2.7,4,1,4,11,1,1,1,47
24,Kirk Cousins,1,21,31,68%,181,5.8,111,3.6,8,2,0,0,0,2.6,2,2,2,11,2,4,2,94
25,Brock Purdy,1,12,27,44%,125,4.6,65,2.4,5,2,1,0,0,2.5,3,3,0,9,11,0,2,55
26,Baker Mayfield,1,19,37,51%,206,5.6,155,4.2,10,3,0,0,0,2.1,1,2,6,11,9,1,3,57
27,Mac Jones,1,24,33,73%,200,6.1,82,2.5,5,1,1,0,0,1.9,3,0,3,10,4,2,5,75
28,Tyson Bagent,1,10,14,71%,83,5.9,57,4.1,3,1,0,0,0,2.2,1,1,1,12,1,0,0,57
29,Justin Fields,1,6,10,60%,58,5.8,28,2.8,1,1,1,0,0,2.9,4,1,2,10,2,1,1,37
30,P.J. Walker,1,18,34,53%,192,5.6,91,2.7,6,2,1,1,1,2.7,2,6,4,8,12,0,2,45
31,Malik Willis,1,4,5,80%,74,14.8,24,4.8,2,1,1,1,0,2.8,4,0,0,0,1,0,0,119
32,Brian Hoyer,1,6,10,60%,102,10.2,78,7.8,3,2,1,1,0,2.1,0,0,0,4,3,0,3,95
33,Ryan Tannehill,1,8,16,50%,76,4.8,37,2.3,3,1,0,0,0,2.4,2,4,0,4,3,1,4,38
34,C.J. Beathard,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
35,Mike White,1,0,1,0%,0,0.0,0,0.0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0
36,Kyle Trask,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
37,Kyler Murray,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
38,Taylor Heinicke,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
39,Will Levis,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
40,Davis Mills,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
41,Tim Boyle,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
42,Carson Wentz,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
43,Sam Ehlinger,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
44,Trevor Siemian,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
45,Jacoby Brissett,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
46,Marcus Mariota,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
47,Joe Flacco,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
48,Logan Woodside,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
49,Brett Rypien,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
50,Nick Mullens,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
51,Skylar Thompson,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
52,Easton Stick,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
53,Mason Rudolph,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
54,Jarrett Stidham,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
55,Case Keenum,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
56,Jaren Hall,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
57,Sam Darnold,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
58,Nathan Peterman,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
59,Jameis Winston,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
60,Clayton Tune,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
61,Anthony Richardson,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
62,Jordan Love,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
63,Sean Clifford,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
64,Daniel Jones,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
65,Cooper Rush,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
66,Aaron Rodgers,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
