,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Josh Allen,1,21,25,84%,320,12.8,163,6.5,10,4,3,2,1,2.3,2,1,5,7,1,0,4,158
2,Anthony Richardson,1,11,25,44%,200,8.0,146,5.8,7,5,3,0,0,2.6,2,2,5,6,6,3,2,99
3,Justin Fields,1,28,35,80%,335,9.6,221,6.3,15,6,0,0,0,2.8,4,5,0,10,0,1,2,133
4,Lamar Jackson,1,15,19,79%,186,9.8,108,5.7,7,3,2,1,0,2.9,3,3,0,5,0,0,3,143
5,Justin Herbert,1,13,24,54%,167,7.0,99,4.1,6,2,1,1,1,3.1,2,3,3,6,6,1,4,73
6,Jalen Hurts,1,25,37,68%,319,8.6,221,6.0,12,4,2,1,1,2.3,3,6,4,11,5,1,3,112
7,Baker Mayfield,1,25,32,78%,246,7.7,116,3.6,8,3,2,1,0,2.7,1,2,0,6,2,0,7,117
8,Joshua Dobbs,1,28,41,68%,265,6.5,200,4.9,10,2,2,1,0,2.5,1,6,1,3,10,3,7,102
9,Russell Wilson,1,21,28,75%,223,8.0,109,3.9,10,2,1,1,0,2.6,1,2,0,10,3,1,5,134
10,C.J. Stroud,1,16,30,53%,306,10.2,143,4.8,12,6,2,2,1,2.1,0,5,2,8,6,1,2,111
11,Brock Purdy,1,20,21,95%,283,13.5,183,8.7,13,4,2,1,0,2.5,1,0,1,3,1,0,5,135
12,Jordan Love,1,23,36,64%,246,6.8,209,5.8,9,3,2,1,0,3.0,5,5,2,3,8,0,8,70
13,Sam Howell,1,29,41,71%,290,7.1,172,4.2,11,3,1,0,0,2.2,5,4,4,14,4,2,6,99
14,Zach Wilson,1,28,39,72%,245,6.3,193,4.9,10,3,1,0,0,2.1,2,8,6,14,6,2,5,105
15,Matthew Stafford,1,27,40,68%,319,8.0,214,5.4,13,6,2,0,0,2.5,2,6,1,7,5,0,3,90
16,Trevor Lawrence,1,23,30,77%,207,6.9,135,4.5,8,2,2,0,0,1.9,2,4,3,8,5,2,1,106
17,Patrick Mahomes II,1,18,30,60%,203,6.8,82,2.7,7,2,2,0,0,2.2,1,7,8,7,5,2,5,64
18,Tua Tagovailoa,1,25,35,71%,282,8.1,180,5.1,12,4,0,0,0,2.2,4,5,3,7,5,0,5,93
19,Dak Prescott,1,28,34,82%,261,7.7,163,4.8,12,3,0,0,0,2.3,3,4,0,17,2,2,8,109
