,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Jared Goff,1,24,34,71%,278,8.2,174,5.1,14,5,0,0,0,2.5,2,5,1,18,5,0,9,135
2,Baker Mayfield,1,22,28,79%,381,13.6,203,7.3,17,9,1,1,1,2.4,5,0,3,7,2,0,3,158
3,Aidan O'Connell,1,20,34,59%,248,7.3,155,4.6,10,5,1,0,0,2.6,1,1,0,11,3,0,6,121
4,Brock Purdy,1,16,25,64%,242,9.7,154,6.2,9,4,2,1,0,2.5,0,1,0,5,4,0,3,135
5,Jalen Hurts,1,17,31,55%,143,4.6,114,3.7,9,0,0,0,0,2.2,0,0,3,5,7,0,2,40
6,Gardner Minshew II,1,18,28,64%,215,7.7,108,3.9,7,3,2,1,0,2.1,3,2,1,9,3,2,10,123
7,Derek Carr,1,23,28,82%,218,7.8,135,4.8,9,1,0,0,0,2.3,1,1,1,13,4,0,3,135
8,Jake Browning,1,29,42,69%,324,7.7,185,4.4,15,4,1,1,0,2.5,4,3,8,23,4,1,3,98
9,Joe Flacco,1,28,44,64%,374,8.5,225,5.1,11,5,5,3,2,2.8,4,3,1,14,5,1,5,77
10,Lamar Jackson,1,14,24,58%,171,7.1,117,4.9,9,1,0,0,0,3.4,3,6,1,14,6,1,6,77
11,Nick Mullens,1,26,33,79%,303,9.2,178,5.4,13,2,2,0,0,2.7,3,5,3,7,4,0,3,100
12,Matthew Stafford,1,25,33,76%,258,7.8,152,4.6,8,3,1,1,1,2.6,3,3,0,11,4,1,8,118
13,Easton Stick,1,23,32,72%,257,8.0,117,3.7,10,2,1,1,1,2.4,3,2,3,8,6,0,2,114
14,Patrick Mahomes II,1,27,37,73%,305,8.2,136,3.7,10,5,3,1,0,2.4,3,0,3,10,2,3,9,93
15,Russell Wilson,1,18,32,56%,223,7.0,104,3.3,10,3,1,1,0,2.2,2,6,5,15,4,2,6,88
16,Jordan Love,1,29,39,74%,284,7.3,179,4.6,11,5,1,0,0,2.6,2,4,5,17,5,0,7,112
17,Josh Allen,1,7,15,47%,94,6.3,50,3.3,4,1,0,0,0,2.6,1,2,2,8,2,3,3,89
18,Will Levis,1,17,26,65%,199,7.7,166,6.4,8,5,2,0,0,2.5,7,4,0,7,2,1,0,72
19,Kyler Murray,1,26,39,67%,211,5.4,127,3.3,8,2,1,0,0,2.5,3,3,0,3,7,1,7,67
20,Mitchell Trubisky,1,16,23,70%,169,7.3,123,5.3,7,1,0,0,0,2.4,3,3,0,1,6,0,1,69
21,Trevor Lawrence,1,25,43,58%,264,6.1,183,4.3,8,3,2,1,1,2.3,1,2,0,15,10,4,5,84
22,Jacoby Brissett,1,8,10,80%,124,12.4,107,10.7,4,2,1,1,0,2.8,0,2,0,0,0,0,4,158
23,Tua Tagovailoa,1,21,24,88%,224,9.3,110,4.6,9,2,1,1,1,2.1,3,1,1,3,1,0,2,119
24,Case Keenum,1,23,36,64%,229,6.4,160,4.4,9,3,1,1,0,2.5,3,2,1,10,5,1,5,80
25,Drew Lock,1,22,33,67%,208,6.3,145,4.4,7,2,1,0,0,2.2,2,1,2,2,6,2,2,94
26,Justin Fields,1,19,40,48%,166,4.2,91,2.3,5,3,1,0,0,3.2,3,5,0,17,10,2,2,47
27,Tommy DeVito,1,20,34,59%,177,5.2,80,2.4,5,2,1,0,0,2.6,7,1,4,11,4,2,0,73
28,Bailey Zappe,1,23,31,74%,180,5.8,100,3.2,6,1,0,0,0,2.2,4,1,0,14,3,0,2,85
29,Sam Howell,1,11,26,42%,102,3.9,74,2.8,3,1,0,0,0,2.8,1,1,0,5,7,0,3,51
30,Desmond Ridder,1,12,20,60%,152,7.6,84,4.2,6,2,1,1,1,2.8,0,1,1,1,4,2,2,80
31,Bryce Young,1,18,24,75%,167,7.0,125,5.2,8,1,0,0,0,2.9,3,2,0,3,2,2,3,94
32,Dak Prescott,1,21,34,62%,134,3.9,92,2.7,4,0,0,0,0,2.5,3,3,0,6,4,2,1,58
33,Sam Darnold,1,2,3,67%,20,6.7,2,0.7,1,0,0,0,0,2.1,0,0,0,1,0,0,0,85
34,Tyrod Taylor,1,2,4,50%,13,3.3,7,1.8,0,0,0,0,0,1.7,0,0,0,0,0,1,0,57
35,Trevor Siemian,1,14,26,54%,110,4.2,63,2.4,5,1,0,0,0,2.3,2,4,0,6,7,0,0,33
36,Dorian Thompson-Robinson,1,1,1,100%,5,5.0,0,0.0,0,0,0,0,0,1.0,0,0,0,1,0,0,1,88
37,Mason Rudolph,1,2,3,67%,3,1.0,5,1.7,0,0,0,0,0,2.3,1,0,0,0,1,0,0,70
38,Kyle Trask,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
39,Geno Smith,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
40,Davis Mills,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,3.8,1,0,0,0,0,0,0,0
41,Mike White,1,2,2,100%,4,2.0,0,0.0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,79
42,Kyle Allen,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
43,Zach Wilson,1,4,11,36%,26,2.4,20,1.8,0,0,0,0,0,2.5,4,3,4,4,1,0,0,45
