,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Justin Fields,1,15,29,52%,282,9.7,129,4.4,7,6,4,2,2,2.4,3,5,7,12,6,0,7,125
2,Josh Allen,1,27,40,68%,359,9.0,294,7.4,15,4,2,2,0,2.2,0,6,5,18,3,4,4,102
3,Jalen Hurts,1,25,38,66%,303,8.0,171,4.5,9,4,3,1,0,2.6,1,1,0,10,7,0,6,88
4,Jared Goff,1,20,28,71%,236,8.4,132,4.7,10,5,1,0,0,2.3,2,5,2,10,3,4,4,132
5,Sam Howell,1,37,51,73%,388,7.6,231,4.5,17,5,2,1,0,2.3,5,7,4,14,7,1,4,99
6,Desmond Ridder,1,28,37,76%,329,8.9,221,6.0,15,5,1,0,0,2.1,0,5,3,6,5,1,3,111
7,Brock Purdy,1,17,24,71%,252,10.5,151,6.3,9,3,2,1,0,2.4,1,1,0,7,2,0,6,144
8,Joe Burrow,1,36,46,78%,317,6.9,192,4.2,11,1,1,1,1,2.0,3,1,2,12,8,0,7,108
9,Bryce Young,1,25,41,61%,247,6.0,166,4.0,9,2,1,0,0,2.4,1,4,4,9,9,0,11,82
10,Kirk Cousins,1,29,47,62%,284,6.0,167,3.6,15,2,0,0,0,2.4,3,9,1,20,7,3,8,93
11,Patrick Mahomes II,1,31,41,76%,281,6.9,164,4.0,9,3,1,0,0,2.2,2,7,7,23,3,1,5,110
12,Tua Tagovailoa,1,22,30,73%,308,10.3,102,3.4,10,4,2,2,2,1.9,1,1,3,3,2,0,6,100
13,Russell Wilson,1,20,31,65%,196,6.3,73,2.4,8,5,0,0,0,3.0,4,3,3,5,4,1,4,104
14,Matthew Stafford,1,21,37,57%,222,6.0,151,4.1,10,2,1,0,0,2.3,4,4,1,13,9,3,2,92
15,Derek Carr,1,18,26,69%,183,7.0,96,3.7,8,3,1,0,0,2.4,2,0,1,13,5,1,3,115
