,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Dak Prescott,1,26,35,74%,404,11.5,292,8.3,15,8,6,1,0,2.3,0,4,1,11,6,1,9,138
2,Justin Herbert,1,27,40,68%,323,8.1,179,4.5,14,4,1,0,0,2.1,0,5,3,14,8,1,4,115
3,Joshua Dobbs,1,23,34,68%,268,7.9,161,4.7,11,5,0,0,0,2.8,1,3,3,9,2,2,5,101
4,Sam Howell,1,29,44,66%,312,7.1,112,2.5,9,3,3,2,1,2.2,3,2,11,13,5,1,1,109
5,Geno Smith,1,31,47,66%,369,7.9,143,3.0,16,4,1,1,1,2.3,1,4,5,15,4,1,2,104
6,Brock Purdy,1,19,26,73%,296,11.4,186,7.2,9,7,1,1,1,3.1,2,5,1,6,3,0,4,149
7,Joe Burrow,1,27,40,68%,347,8.7,199,5.0,11,5,3,2,2,2.5,4,4,6,8,8,3,3,90
8,Jared Goff,1,23,33,70%,333,10.1,177,5.4,12,6,3,2,0,2.3,0,2,0,12,3,4,3,122
9,C.J. Stroud,1,23,39,59%,356,9.1,275,7.1,14,8,2,0,0,2.8,1,4,7,12,7,2,8,87
10,Baker Mayfield,1,18,29,62%,278,9.6,183,6.3,11,5,2,2,0,2.3,3,2,0,10,6,2,3,102
11,Russell Wilson,1,24,29,83%,193,6.7,103,3.6,6,1,1,0,0,2.5,4,3,4,9,3,2,4,117
12,Jordan Love,1,21,40,53%,289,7.2,226,5.7,10,7,4,1,0,2.5,1,3,1,14,7,3,9,72
13,Kyler Murray,1,19,32,59%,249,7.8,144,4.5,11,3,1,0,0,2.6,2,0,2,12,5,2,2,71
14,Deshaun Watson,1,20,34,59%,213,6.3,106,3.1,9,3,0,0,0,2.5,4,5,3,8,9,2,7,75
15,Josh Allen,1,15,26,58%,177,6.8,103,4.0,6,3,1,0,0,2.4,0,3,1,6,3,4,0,59
16,Lamar Jackson,1,13,23,57%,223,9.7,115,5.0,9,3,3,1,0,2.5,3,1,2,9,3,2,2,68
17,Zach Wilson,1,23,39,59%,263,6.7,134,3.4,7,4,2,1,0,2.5,2,4,0,3,7,2,1,69
18,Tommy DeVito,1,14,27,52%,86,3.2,35,1.3,2,1,0,0,0,2.4,5,2,2,15,7,0,8,68
19,Jameis Winston,1,13,25,52%,122,4.9,94,3.8,7,2,0,0,0,2.2,1,1,1,9,4,2,4,59
20,Taylor Heinicke,1,8,15,53%,55,3.7,22,1.5,2,0,0,0,0,2.8,3,1,2,4,1,1,1,84
21,Aidan O'Connell,1,16,27,59%,153,5.7,82,3.0,3,1,1,1,0,2.6,3,3,0,5,5,1,1,72
22,Bryce Young,1,21,38,55%,185,4.9,120,3.2,8,1,1,1,0,2.6,3,6,2,10,8,2,2,68
23,Desmond Ridder,1,4,6,67%,39,6.5,31,5.2,2,0,0,0,0,2.6,0,1,0,0,2,0,0,85
24,Mac Jones,1,15,20,75%,170,8.5,63,3.2,7,2,1,0,0,2.3,5,4,1,4,3,1,3,79
25,Tyson Bagent,1,20,33,61%,162,4.9,71,2.2,7,0,0,0,0,2.6,0,4,0,12,6,1,3,73
26,Will Levis,1,19,39,49%,199,5.1,97,2.5,9,2,0,0,0,2.5,4,9,0,25,8,4,4,53
27,Gardner Minshew II,1,18,28,64%,194,6.9,148,5.3,8,3,1,0,0,2.9,0,1,4,7,5,0,1,70
28,Kenny Pickett,1,14,23,61%,126,5.5,55,2.4,5,1,0,0,0,2.3,1,3,0,3,2,1,2,76
29,Clayton Tune,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
30,Derek Carr,1,13,18,72%,110,6.1,65,3.6,5,1,0,0,0,2.3,2,3,0,6,2,1,0,88
