,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Sam Howell,1,39,52,75%,397.0,7.6,264,5.1,16,4,0,0,0,2.2,1,5,1,14,4,4,3,114
2,Josh Allen,1,31,40,78%,324.0,8.1,181,4.5,15,3,1,0,0,2.0,2,1,3,12,4,0,5,107
3,Dak Prescott,1,25,31,81%,304.0,9.8,189,6.1,15,5,0,0,0,2.5,3,0,0,11,1,0,5,134
4,Joe Burrow,1,28,32,88%,283.0,8.8,173,5.4,11,4,1,0,0,2.5,3,3,0,3,0,2,7,135
5,Jalen Hurts,1,29,38,76%,319.0,8.4,202,5.3,14,4,1,0,0,2.5,2,2,2,9,3,0,2,136
6,Will Levis,1,19,29,66%,238.0,8.2,160,5.5,7,3,3,2,1,2.5,2,9,0,12,4,1,1,131
7,Joshua Dobbs,1,25,37,68%,208.0,5.6,124,3.4,6,3,0,0,0,2.4,2,5,1,6,8,0,7,77
8,Justin Herbert,1,31,40,78%,298.0,7.5,139,3.5,10,3,1,0,0,2.3,0,2,5,14,3,1,6,123
9,Tua Tagovailoa,1,30,45,67%,324.0,7.2,211,4.7,13,5,2,1,0,1.8,2,0,5,14,6,3,9,101
10,Baker Mayfield,1,25,42,60%,237.0,5.6,117,2.8,6,4,1,0,0,2.5,3,7,1,11,4,2,1,91
11,Brock Purdy,1,22,31,71%,365.0,11.8,203,6.5,14,8,4,1,0,3.4,2,5,0,3,5,2,5,94
12,Kirk Cousins,1,23,31,74%,274.0,8.8,179,5.8,13,6,1,0,0,2.7,2,4,0,14,1,2,7,122
13,Derek Carr,1,19,27,70%,310.0,11.5,176,6.5,9,4,3,2,2,2.0,1,1,0,6,3,4,2,133
14,Russell Wilson,1,12,19,63%,114.0,6.0,78,4.1,5,2,1,0,0,3.0,6,1,0,5,4,1,5,119
15,Geno Smith,1,23,37,62%,254.0,6.9,137,3.7,9,2,1,1,0,2.3,1,3,4,10,9,0,8,78
16,Gardner Minshew II,1,23,41,56%,213.0,5.2,138,3.4,9,1,1,0,0,2.2,2,5,7,12,6,2,5,77
17,Trevor Lawrence,1,24,32,75%,292.0,9.1,179,5.6,11,5,2,1,1,2.1,3,2,2,16,4,2,2,100
18,Jordan Love,1,24,41,59%,229.0,5.6,127,3.1,10,2,2,0,0,2.6,4,2,0,16,6,3,8,72
19,Bryce Young,1,22,31,71%,235.0,7.6,116,3.7,10,3,2,1,0,2.5,6,2,3,13,2,5,4,104
20,Jared Goff,1,26,37,70%,272.0,7.4,128,3.5,11,3,1,1,0,2.1,0,4,8,6,3,3,5,89
21,Mac Jones,1,19,29,66%,161.0,5.6,92,3.2,6,2,0,0,0,2.1,3,4,2,5,5,1,5,88
22,Tyson Bagent,1,25,37,68%,232.0,6.3,140,3.8,8,1,1,1,0,2.5,1,1,9,8,6,2,4,62
23,C.J. Stroud,1,16,24,67%,140.0,5.8,82,3.4,5,2,1,0,0,2.4,2,1,1,5,4,0,1,82
24,P.J. Walker,1,15,31,48%,248.0,8.0,102,3.3,9,6,2,2,0,2.5,3,8,1,8,10,1,6,60
25,Taylor Heinicke,1,12,21,57%,175.0,8.3,119,5.7,6,3,1,1,1,2.4,1,3,1,6,5,1,1,100
26,Matthew Stafford,1,13,22,59%,162.0,7.4,87,4.0,7,5,1,0,0,2.4,1,2,0,7,5,0,4,78
27,Zach Wilson,1,17,36,47%,240.0,6.7,129,3.6,11,3,1,1,1,2.4,4,5,8,22,8,2,1,79
28,Lamar Jackson,1,18,27,67%,157.0,5.8,84,3.1,7,2,0,0,0,2.9,4,1,5,8,4,0,2,94
29,Mitchell Trubisky,1,15,27,56%,138.0,5.1,63,2.3,8,1,0,0,0,2.4,2,2,1,3,4,2,0,51
30,Patrick Mahomes II,1,24,38,63%,240.0,6.3,116,3.1,11,2,1,0,0,3.2,3,5,0,9,5,5,3,59
31,Tommy DeVito,1,2,7,29%,-1.0,-0.1,0,0.0,0,0,0,0,0,2.2,2,1,1,2,1,0,1,40
32,Jimmy Garoppolo,1,10,21,48%,126.0,6.0,60,2.9,8,0,0,0,0,2.5,6,3,3,10,6,3,0,47
33,Kenny Pickett,1,10,16,63%,73.0,4.6,63,3.9,3,0,0,0,0,2.3,1,4,1,3,2,1,3,73
34,Tyrod Taylor,1,4,7,57%,8.0,1.1,3,0.4,0,0,0,0,0,2.4,2,2,2,2,0,1,1,62
35,Desmond Ridder,1,8,12,67%,71.0,5.9,47,3.9,5,0,0,0,0,2.3,5,1,0,2,2,0,0,82
36,Brett Rypien,1,5,10,50%,42.0,4.2,8,0.8,3,0,0,0,0,2.3,1,1,0,3,3,1,0,61
37,Dorian Thompson-Robinson,1,1,1,100%,9.0,9.0,0,0.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,104
38,Cooper Rush,1,2,3,67%,3.0,1.0,0,0.0,0,0,0,0,0,1.6,0,0,0,2,1,0,0,70
39,Jaren Hall,1,3,4,75%,23.0,5.8,13,3.3,1,0,0,0,0,2.6,1,1,0,1,1,0,0,89
40,Malik Willis,1,0,0,0%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
41,Kyler Murray,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
42,Case Keenum,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
43,Jarrett Stidham,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
44,Mason Rudolph,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
45,Easton Stick,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
46,Kyle Trask,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
47,Davis Mills,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
48,Joe Flacco,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
49,Tim Boyle,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
50,Carson Wentz,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
51,Logan Woodside,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
52,Nick Mullens,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
53,Trevor Siemian,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
54,Sam Ehlinger,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
55,Jacoby Brissett,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
56,Marcus Mariota,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
57,Skylar Thompson,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
58,Sam Darnold,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
59,Nathan Peterman,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
60,Jameis Winston,0,0,0,%,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
