,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Daniel Jones,1,26,37,70%,321,8.7,230,6.2,13,4,2,1,1,2.5,3,1,4,6,3,1,10,104
2,Kirk Cousins,1,31,44,70%,364,8.3,234,5.3,16,6,2,1,1,2.6,2,8,0,8,7,3,4,126
3,Russell Wilson,1,18,32,56%,308,9.6,208,6.5,9,4,3,3,3,2.8,7,2,5,9,7,0,5,107
4,Jalen Hurts,1,18,23,78%,193,8.4,136,5.9,4,2,2,2,2,2.8,4,0,0,14,2,0,1,98
5,Joshua Dobbs,1,21,31,68%,228,7.4,153,4.9,10,3,0,0,0,2.5,0,6,1,16,6,1,2,100
6,Jared Goff,1,28,35,80%,323,9.2,226,6.5,12,6,2,0,0,2.3,2,4,4,7,2,2,3,122
7,Josh Allen,1,31,37,84%,274,7.4,144,3.9,11,2,1,1,0,2.2,2,1,1,12,3,1,11,125
8,Geno Smith,1,32,41,78%,328,8.0,218,5.3,15,3,1,0,0,2.4,1,0,13,16,4,0,8,116
9,Lamar Jackson,1,24,33,73%,237,7.2,183,5.5,8,2,1,1,1,2.3,0,1,0,14,5,2,4,113
10,Desmond Ridder,1,19,32,59%,237,7.4,141,4.4,8,4,1,1,0,2.4,1,4,4,13,5,2,6,80
11,Patrick Mahomes II,1,29,41,71%,305,7.4,151,3.7,13,2,2,1,1,2.1,1,2,12,8,2,2,4,98
12,Justin Herbert,1,27,41,66%,305,7.4,197,4.8,12,4,1,1,0,2.4,3,1,1,6,6,1,10,104
13,C.J. Stroud,1,30,47,64%,384,8.2,268,5.7,15,7,1,0,0,2.5,6,3,10,8,10,1,6,104
14,Sam Howell,1,27,39,69%,299,7.7,176,4.5,9,5,3,0,0,2.5,4,2,2,13,1,1,4,109
15,Ryan Tannehill,1,20,24,83%,246,10.3,192,8.0,6,3,2,2,1,2.5,5,0,0,12,1,2,2,123
16,Jordan Love,1,14,25,56%,151,6.0,84,3.4,6,1,1,0,0,2.3,1,2,0,12,6,0,4,114
17,Dak Prescott,1,31,38,82%,255,6.7,122,3.2,9,4,1,0,0,2.3,1,2,0,10,5,0,6,112
18,Baker Mayfield,1,26,34,76%,317,9.3,190,5.6,8,6,3,1,1,2.7,0,1,5,6,3,1,4,115
19,Anthony Richardson,1,6,10,60%,56,5.6,8,0.8,3,0,0,0,0,2.4,0,1,1,0,1,1,0,75
20,Justin Fields,1,16,29,55%,211,7.3,109,3.8,8,5,2,0,0,2.8,6,3,2,10,5,1,0,61
21,Joe Burrow,1,27,41,66%,222,5.4,116,2.8,9,2,1,0,0,2.1,1,4,0,6,3,2,13,86
22,Matthew Stafford,1,34,55,62%,307,5.6,178,3.2,13,1,0,0,0,2.8,1,2,7,16,6,6,2,68
23,Brock Purdy,1,17,25,68%,206,8.2,133,5.3,9,3,1,0,0,2.0,1,2,2,4,6,1,3,93
24,Mac Jones,1,31,42,74%,231,5.4,153,3.6,9,0,0,0,0,2.2,4,1,0,20,4,0,2,85
25,Bryce Young,1,22,33,67%,153,4.6,91,2.8,5,1,0,0,0,2.5,4,3,4,4,6,1,2,87
26,Tua Tagovailoa,1,21,30,70%,249,8.3,135,4.5,10,3,1,0,0,1.8,1,1,0,15,0,3,2,92
27,Deshaun Watson,1,22,40,55%,235,5.9,141,3.5,10,2,0,0,0,2.3,6,5,2,21,9,3,1,70
28,Zach Wilson,1,12,27,44%,170,6.3,84,3.1,5,1,1,1,1,2.8,3,2,4,7,6,3,2,38
29,Kenny Pickett,1,15,30,50%,222,7.4,85,2.8,8,4,2,1,1,2.2,2,6,3,9,6,2,0,72
30,Gardner Minshew II,1,19,23,83%,171,7.4,102,4.4,5,2,1,1,0,2.2,0,0,5,8,3,0,4,112
31,Jimmy Garoppolo,1,16,24,67%,185,7.7,123,5.1,10,2,0,0,0,2.6,0,2,0,3,4,0,1,69
32,Trevor Lawrence,1,22,41,54%,216,5.3,119,2.9,7,2,1,1,0,1.9,4,2,11,18,10,3,7,69
33,Derek Carr,1,21,36,58%,228,6.3,172,4.8,6,3,2,2,0,2.0,4,1,1,13,6,1,6,66
34,Kyle Allen,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
35,Brett Rypien,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
36,Jacoby Brissett,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
37,Will Levis,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
38,Taylor Heinicke,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
39,Kyle Trask,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
40,Kyler Murray,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
41,Davis Mills,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
42,Tim Boyle,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
43,Carson Wentz,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
44,Trevor Siemian,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
45,Marcus Mariota,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
46,Jarrett Stidham,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
47,Joe Flacco,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
48,Logan Woodside,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
49,Sam Ehlinger,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
50,Nick Mullens,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
51,Easton Stick,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
52,Mason Rudolph,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
53,Skylar Thompson,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
54,Case Keenum,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
55,Jaren Hall,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
56,Sam Darnold,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
57,Nathan Peterman,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
58,Dorian Thompson-Robinson,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
59,Clayton Tune,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
60,Sean Clifford,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
61,Tyrod Taylor,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
62,Cooper Rush,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
63,Aaron Rodgers,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
64,Jameis Winston,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
65,Andy Dalton,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
66,Mike White,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
67,Mitchell Trubisky,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
68,Tyler Huntley,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
69,Tommy DeVito,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
70,Aidan O'Connell,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
71,Bailey Zappe,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
72,Drew Lock,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
73,Jake Browning,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
74,Malik Willis,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
75,Tyson Bagent,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
76,Malik Cunningham,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
77,Jeff Driskel,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
