,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Derek Carr,1,22,28,79%,264,9.4,194,6.9,10,5,1,0,0,2.6,2,1,3,6,0,0,6,146
2,Carson Wentz,1,17,24,71%,163,6.8,105,4.4,6,1,0,0,0,2.4,2,1,0,6,6,1,3,100
3,Dak Prescott,1,31,36,86%,279,7.8,140,3.9,12,1,1,0,0,2.3,0,0,0,8,2,2,12,124
4,Josh Allen,1,30,38,79%,359,9.4,227,6.0,12,5,2,1,0,2.1,3,5,4,16,3,1,5,102
5,Nick Mullens,1,30,44,68%,396,9.0,267,6.1,14,9,3,1,0,2.3,4,11,3,18,6,0,0,93
6,Jared Goff,1,23,32,72%,320,10.0,167,5.2,8,5,3,2,1,2.3,1,2,4,28,5,0,4,125
7,C.J. Stroud,1,20,26,77%,264,10.2,160,6.2,7,4,1,1,1,2.3,2,2,0,6,5,0,1,134
8,Geno Smith,1,16,28,57%,189,6.8,110,3.9,7,3,2,0,0,2.4,0,0,4,8,1,4,3,102
9,Jake Browning,1,18,24,75%,156,6.5,95,4.0,4,2,1,0,0,2.2,2,2,3,8,3,2,3,114
10,Tyrod Taylor,1,23,32,72%,297,9.3,174,5.4,11,4,2,1,0,2.3,1,1,3,7,4,2,4,98
11,Jordan Love,1,27,32,84%,316,9.9,175,5.5,12,3,2,1,1,2.5,1,0,0,3,2,0,6,129
12,Trevor Lawrence,1,29,43,67%,280,6.5,186,4.3,13,1,1,1,1,2.3,0,2,2,13,8,1,6,82
13,Aidan O'Connell,1,20,31,65%,244,7.9,167,5.4,9,3,2,1,0,2.6,2,2,0,15,3,1,7,110
14,Kyler Murray,1,22,30,73%,262,8.7,119,4.0,11,5,1,0,0,2.6,1,3,2,7,3,2,5,111
15,Sam Darnold,1,16,26,62%,189,7.3,106,4.1,7,2,1,1,0,3.1,3,2,0,6,6,0,3,97
