,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Russell Wilson,1,31,35,89%,322,9.2,193,5.5,12,3,2,0,0,2.3,3,6,4,12,2,1,4,143
2,Aaron Rodgers,1,32,44,73%,364,8.3,236,5.4,12,5,4,2,0,2.3,0,2,4,19,6,2,12,128
3,Josh Allen,1,33,46,72%,312,6.8,201,4.4,15,3,0,0,0,2.2,3,2,5,18,4,2,13,105
4,Lamar Jackson,1,20,25,80%,275,11.0,207,8.3,13,5,1,1,0,2.6,2,2,7,9,3,0,6,152
5,Kyler Murray,1,26,40,65%,230,5.8,119,3.0,10,1,1,0,0,2.1,2,1,4,12,7,0,1,78
6,Cam Newton,1,15,19,79%,155,8.2,75,3.9,7,1,0,0,0,2.3,2,1,3,9,2,0,2,101
7,Matt Ryan,1,37,54,69%,450,8.3,329,6.1,23,5,1,1,0,2.3,2,6,4,19,5,4,6,99
8,Mitchell Trubisky,1,20,36,56%,242,6.7,168,4.7,13,3,0,0,0,2.6,1,4,5,8,12,0,11,104
9,Kirk Cousins,1,19,25,76%,259,10.4,190,7.6,10,5,1,0,0,2.6,2,2,2,3,3,2,1,119
10,Tom Brady,1,23,36,64%,239,6.6,159,4.4,7,3,1,0,0,2.6,3,4,2,7,8,0,5,78
11,Ben Roethlisberger,1,21,32,66%,229,7.2,134,4.2,13,2,0,0,0,2.2,2,3,5,7,4,3,5,118
12,Deshaun Watson,1,20,32,63%,253,7.9,135,4.2,12,3,1,0,0,2.4,4,3,8,13,5,4,3,85
13,Gardner Minshew II,1,19,20,95%,173,8.7,90,4.5,7,2,0,0,0,2.4,4,0,4,3,0,0,2,142
14,Patrick Mahomes II,1,24,32,75%,211,6.6,89,2.8,10,0,0,0,0,2.1,1,2,1,13,5,1,8,123
