,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Justin Herbert,1,27,43,63%,347,8.1,184,4.3,13,5,1,1,1,2.5,1,4,3,12,11,2,3,111
2,Kyler Murray,1,34,48,71%,360,7.5,212,4.4,15,3,2,1,0,2.5,0,0,5,3,7,3,5,105
3,Tom Brady,1,33,45,73%,369,8.2,251,5.6,15,6,2,0,0,2.3,0,1,0,9,4,1,6,127
4,Joe Burrow,1,35,47,74%,406,8.6,237,5.0,20,5,0,0,0,2.4,4,3,1,12,3,1,12,113
5,Russell Wilson,1,33,50,66%,388,7.8,237,4.7,17,3,2,1,0,2.6,2,7,7,26,9,2,6,84
6,Baker Mayfield,1,22,28,79%,297,10.6,195,7.0,13,7,2,0,0,2.4,0,5,1,9,3,1,5,136
7,Carson Wentz,1,25,43,58%,359,8.3,255,5.9,16,3,3,2,1,2.8,3,7,3,12,9,0,10,91
8,Aaron Rodgers,1,23,34,68%,283,8.3,135,4.0,9,4,3,1,0,2.3,0,0,2,11,9,2,5,132
9,Deshaun Watson,1,29,39,74%,309,7.9,190,4.9,12,3,1,0,0,2.7,3,0,5,12,3,3,11,114
10,Drew Brees,1,29,36,81%,287,8.0,169,4.7,11,3,0,0,0,2.5,1,2,1,6,2,1,5,118
11,Daniel Jones,1,20,30,67%,187,6.2,111,3.7,6,2,1,0,0,2.2,3,5,0,11,4,3,6,92
12,Derek Carr,1,24,36,67%,284,7.9,159,4.4,11,5,1,1,0,2.4,3,2,4,20,8,1,1,98
13,Teddy Bridgewater,1,23,28,82%,254,9.1,121,4.3,7,3,1,1,1,2.3,1,1,6,12,3,0,4,128
14,Gardner Minshew II,1,14,27,52%,173,6.4,114,4.2,6,4,1,0,0,3.0,5,2,5,9,10,1,2,97
15,Matthew Stafford,1,25,36,69%,340,9.4,269,7.5,16,6,1,0,0,2.5,2,4,1,13,5,1,5,109
16,Matt Ryan,1,31,42,74%,338,8.0,240,5.7,14,2,0,0,0,2.8,2,4,4,15,3,4,5,105
17,Ryan Tannehill,1,18,30,60%,220,7.3,115,3.8,6,3,1,1,1,2.2,2,5,3,11,5,0,2,105
18,Jared Goff,1,23,33,70%,220,6.7,112,3.4,11,2,1,0,0,2.4,1,2,1,9,5,0,4,108
19,Kyle Allen,1,15,25,60%,194,7.8,128,5.1,6,3,1,1,1,2.7,2,2,4,12,3,1,5,111
20,Josh Allen,1,30,43,70%,307,7.1,156,3.6,11,2,1,0,0,2.2,2,1,6,17,7,0,4,90
21,Ben Roethlisberger,1,32,49,65%,268,5.5,129,2.6,7,3,0,0,0,1.9,0,5,2,17,6,3,9,67
22,Drew Lock,1,24,40,60%,254,6.4,107,2.7,12,3,0,0,0,2.8,3,0,4,11,9,1,3,58
23,Patrick Mahomes II,1,15,23,65%,200,8.7,86,3.7,9,2,1,0,0,2.6,3,0,1,8,6,1,5,107
24,Jimmy Garoppolo,1,20,25,80%,277,11.1,121,4.8,13,4,1,0,0,2.4,1,1,1,7,3,1,2,80
25,Nick Foles,1,28,40,70%,261,6.5,172,4.3,6,2,2,1,0,2.3,4,2,4,18,4,1,4,67
26,Chad Henne,1,2,2,100%,13,6.5,2,1.0,1,0,0,0,0,2.4,1,0,0,1,0,0,1,94
27,Andy Dalton,1,9,19,47%,75,3.9,40,2.1,3,0,0,0,0,2.3,3,2,1,8,2,4,2,36
28,Cam Newton,1,9,15,60%,98,6.5,82,5.5,5,2,0,0,0,3.0,1,0,4,6,4,0,0,40
29,Sam Darnold,1,12,23,52%,120,5.2,85,3.7,5,1,0,0,0,2.3,6,2,4,11,5,0,2,31
30,Jarrett Stidham,1,6,10,60%,64,6.4,18,1.8,3,0,0,0,0,2.8,1,0,1,5,1,0,0,39
31,Ben DiNucci,1,2,3,67%,39,13.0,25,8.3,1,1,1,0,0,2.4,3,0,1,0,1,0,0,110
32,Taysom Hill,1,1,1,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,79
33,Jalen Hurts,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
34,Easton Stick,1,1,1,100%,4,4.0,0,0.0,0,0,0,0,0,2.3,0,0,0,1,0,0,0,83
35,Tim Boyle,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
36,Logan Woodside,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
37,Mike White,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
38,Brandon Allen,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
39,Nathan Peterman,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
40,Geno Smith,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
41,Tyler Huntley,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
42,Tyrod Taylor,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
43,Taylor Heinicke,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
44,Joshua Dobbs,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
45,Jameis Winston,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
46,Joe Flacco,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
47,Nick Mullens,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
48,Jacoby Brissett,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
49,Lamar Jackson,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
50,Kirk Cousins,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
