,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Derek Carr,1,28,47,60%,381,8.1,219,4.7,14,5,2,1,0,2.8,2,3,4,28,13,2,4,98
2,Josh Allen,1,32,40,80%,375,9.4,265,6.6,15,6,2,0,0,2.6,1,2,3,12,3,0,7,139
3,Ryan Tannehill,1,29,45,64%,389,8.6,261,5.8,17,4,2,2,0,2.8,3,1,4,5,5,4,9,105
4,Baker Mayfield,1,25,33,76%,334,10.1,163,4.9,12,4,2,1,1,2.8,0,0,2,12,0,2,12,147
5,Matthew Stafford,1,27,42,64%,402,9.6,341,8.1,17,8,1,1,0,2.5,2,1,5,6,9,1,3,109
6,Lamar Jackson,1,12,17,71%,107,6.3,65,3.8,3,2,1,0,0,2.8,0,0,2,0,4,0,4,102
7,Jared Goff,1,37,47,79%,351,7.5,126,2.7,14,4,1,0,0,2.6,1,6,9,15,6,0,3,105
8,Taysom Hill,1,27,37,0%,232,6.3,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,107
9,Cam Newton,1,12,19,63%,69,3.6,46,2.4,3,0,0,0,0,2.4,1,0,2,9,3,2,4,87
10,Aaron Rodgers,1,25,34,74%,295,8.7,175,5.1,10,5,3,1,0,2.6,2,3,3,7,3,2,6,129
11,Nick Mullens,1,26,39,67%,316,8.1,198,5.1,15,4,1,1,0,2.7,0,7,7,10,7,4,8,96
12,Kirk Cousins,1,28,43,65%,305,7.1,176,4.1,16,3,1,1,0,2.5,4,9,1,19,5,1,2,100
13,Sam Darnold,1,14,23,61%,186,8.1,72,3.1,10,3,0,0,0,2.9,3,3,3,9,4,1,3,97
14,Deshaun Watson,1,26,38,68%,341,9.0,250,6.6,13,4,1,1,1,2.9,5,3,5,6,4,0,4,86
15,Patrick Mahomes II,1,25,40,63%,318,8.0,186,4.7,15,5,1,0,0,2.8,1,3,5,12,5,5,6,96
16,Ben Roethlisberger,1,33,53,62%,305,5.8,182,3.4,9,4,3,1,1,2.1,0,2,4,9,5,6,6,83
17,Philip Rivers,1,27,35,77%,285,8.1,142,4.1,16,3,1,0,0,2.3,3,2,1,14,3,2,3,119
18,Andy Dalton,1,31,48,65%,285,5.9,177,3.7,15,1,0,0,0,2.5,1,4,4,14,10,1,6,86
19,Kyler Murray,1,21,39,54%,173,4.4,110,2.8,3,1,1,1,1,2.3,2,3,4,11,11,0,3,80
20,Tua Tagovailoa,1,26,39,67%,296,7.6,161,4.1,11,4,1,0,0,1.9,0,2,2,16,8,1,5,98
21,Russell Wilson,1,27,43,63%,263,6.1,175,4.1,12,4,0,0,0,3.1,5,4,6,15,5,4,3,78
22,Alex Smith,1,31,46,67%,296,6.4,145,3.2,10,4,3,0,0,2.2,3,6,5,14,4,3,4,92
