,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Dak Prescott,1,41,58,71%,502,8.7,285,4.9,26,4,1,1,0,2.6,3,0,11,18,10,3,6,113
2,Tom Brady,1,30,46,65%,369,8.0,280,6.1,13,5,2,2,0,2.4,0,6,4,4,10,3,8,117
3,Aaron Rodgers,1,27,33,82%,327,9.9,171,5.2,13,6,0,0,0,2.1,1,0,3,14,5,0,5,148
4,Teddy Bridgewater,1,26,37,70%,276,7.5,130,3.5,14,5,0,0,0,2.4,0,3,1,20,5,2,5,99
5,Lamar Jackson,1,14,21,67%,193,9.2,151,7.2,9,4,2,0,0,2.7,1,1,2,8,4,1,0,108
6,Josh Allen,1,24,34,71%,288,8.5,217,6.4,12,3,1,1,0,2.5,1,5,2,9,1,5,5,116
7,Justin Herbert,1,20,25,80%,290,11.6,148,5.9,8,3,2,2,2,2.4,2,3,11,9,3,0,1,138
8,Sam Darnold,1,23,42,55%,230,5.5,170,4.0,9,3,1,0,0,2.6,6,3,4,23,10,1,2,71
9,Matthew Stafford,1,17,31,55%,206,6.6,137,4.4,7,2,2,1,1,2.5,3,2,2,8,9,2,7,94
10,Ryan Fitzpatrick,1,29,45,64%,315,7.0,181,4.0,15,2,0,0,0,2.4,1,2,2,5,7,1,4,66
11,Kyler Murray,1,24,31,77%,133,4.3,96,3.1,4,1,0,0,0,2.2,1,3,3,7,4,1,5,117
12,Carson Wentz,1,18,28,64%,193,6.9,98,3.5,6,4,1,1,0,2.6,3,6,6,15,4,1,2,81
13,Gardner Minshew II,1,27,40,68%,351,8.8,190,4.8,14,7,1,0,0,2.5,3,1,2,8,4,0,7,101
14,Russell Wilson,1,24,34,71%,360,10.6,196,5.8,13,6,4,1,1,2.7,2,3,2,11,6,1,8,112
15,Deshaun Watson,1,20,33,61%,300,9.1,202,6.1,14,5,1,1,0,2.9,3,0,3,9,7,1,5,111
16,Derek Carr,1,32,44,73%,311,7.1,187,4.3,13,2,1,0,0,2.2,2,2,1,16,5,3,9,107
17,Patrick Mahomes II,1,19,29,66%,236,8.1,104,3.6,9,4,1,1,0,2.9,1,0,3,2,8,0,6,114
18,Dwayne Haskins,1,32,45,71%,314,7.0,141,3.1,13,2,2,1,0,2.4,3,6,4,16,8,0,1,90
19,Drew Brees,1,19,25,76%,246,9.8,167,6.7,12,3,0,0,0,2.8,2,3,1,2,5,0,2,116
20,Joe Burrow,1,25,36,69%,300,8.3,197,5.5,14,5,1,0,0,2.5,1,4,3,9,2,3,5,92
21,Baker Mayfield,1,19,30,63%,165,5.5,121,4.0,10,0,0,0,0,2.8,2,1,2,12,6,0,4,100
22,Kirk Cousins,1,16,22,73%,260,11.8,177,8.0,9,6,1,0,0,2.9,3,1,1,12,3,0,2,127
23,Brett Rypien,1,19,31,61%,242,7.8,188,6.1,7,4,3,2,0,2.5,0,4,4,9,1,1,2,68
24,Nick Foles,1,26,42,62%,249,5.9,188,4.5,9,4,1,0,0,2.3,1,4,2,4,9,1,3,76
25,Matt Ryan,1,28,39,72%,285,7.3,182,4.7,13,1,0,0,0,2.7,4,2,3,7,5,1,3,92
26,Jared Goff,1,25,32,78%,200,6.3,100,3.1,5,1,1,1,1,2.7,2,3,3,11,3,1,3,103
27,Philip Rivers,1,16,29,55%,190,6.6,141,4.9,11,2,1,0,0,2.4,1,2,4,7,6,1,6,87
28,Daniel Jones,1,23,36,64%,190,5.3,93,2.6,9,1,1,0,0,2.7,5,3,3,17,6,2,6,66
29,Nick Mullens,1,18,26,69%,200,7.7,93,3.6,10,2,1,0,0,2.4,4,6,2,6,5,2,3,73
30,C.J. Beathard,1,14,19,74%,138,7.3,94,4.9,8,1,0,0,0,2.2,1,3,0,1,1,0,3,94
31,Jarrett Stidham,1,5,13,38%,60,4.6,34,2.6,2,1,1,0,0,3.0,0,3,0,5,3,3,2,39
32,Brian Hoyer,1,15,24,63%,130,5.4,88,3.7,5,1,0,0,0,2.4,2,2,0,11,4,1,1,59
33,Jalen Hurts,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
34,Taysom Hill,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
35,Jeff Driskel,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
36,Joe Flacco,1,2,2,100%,16,8.0,8,4.0,1,0,0,0,0,1.9,0,0,0,0,0,0,0,100
37,Tim Boyle,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
38,Robert Griffin III,1,0,1,0%,0,0.0,0,0.0,0,0,0,0,0,2.6,0,1,0,0,0,0,0,0
39,Brandon Allen,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
40,Geno Smith,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
41,Tyler Huntley,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
42,Joshua Dobbs,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
43,Taylor Heinicke,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
44,Mike White,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
45,Tyrod Taylor,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
46,Easton Stick,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
47,Jacoby Brissett,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
48,Nathan Peterman,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
49,Logan Woodside,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
50,Drew Lock,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
51,Jimmy Garoppolo,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
52,Mitchell Trubisky,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
53,John Lovett,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
54,Kyle Allen,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
55,Mason Rudolph,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
56,Andy Dalton,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
57,Case Keenum,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
58,Tua Tagovailoa,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
59,Jameis Winston,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
60,Marcus Mariota,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
