,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Patrick Mahomes II,1,22,43,51%,340,7.9,191,4.4,14,7,3,0,0,3.3,3,2,16,3,11,1,7,84
2,Ryan Tannehill,1,21,28,75%,195,7.0,131,4.7,9,1,0,0,0,2.5,0,2,0,15,3,1,5,129
3,Ryan Fitzpatrick,1,22,28,79%,350,12.5,214,7.6,10,6,4,2,1,2.2,2,4,2,13,3,2,7,155
4,Justin Herbert,1,20,34,59%,264,7.8,185,5.4,6,3,2,2,1,2.8,3,1,8,6,9,3,4,123
5,Kyler Murray,1,27,37,73%,380,10.3,235,6.4,14,7,4,1,0,2.6,1,0,5,10,4,1,0,103
6,Deshaun Watson,1,25,35,71%,359,10.3,231,6.6,13,6,3,1,0,2.1,1,4,1,15,5,0,2,109
7,Russell Wilson,1,20,32,63%,217,6.8,158,4.9,10,2,1,0,0,2.7,4,5,4,14,7,2,7,101
8,Jared Goff,1,21,30,70%,309,10.3,136,4.5,10,5,3,3,1,2.6,1,0,2,5,3,1,4,112
9,Derek Carr,1,22,31,71%,347,11.2,187,6.0,8,6,4,4,2,2.6,1,3,5,12,7,1,1,127
10,Drew Brees,1,33,47,70%,325,6.9,232,4.9,14,2,1,1,0,2.5,2,2,0,9,7,4,6,88
11,Ben Roethlisberger,1,27,34,79%,239,7.0,121,3.6,10,2,2,0,0,2.1,1,1,3,6,4,0,3,125
12,Teddy Bridgewater,1,27,36,73%,313,8.5,154,4.2,13,4,1,1,1,2.4,0,4,2,13,3,3,1,119
13,Gardner Minshew II,1,31,49,63%,301,6.1,173,3.5,13,2,1,1,1,2.4,3,2,4,13,9,1,9,94
14,Carson Wentz,1,20,35,57%,258,7.4,204,5.8,10,3,2,0,0,2.7,5,0,6,18,9,2,5,76
15,Josh Allen,1,26,41,63%,263,6.4,207,5.0,14,1,0,0,0,3.0,1,2,0,5,5,4,2,78
16,Baker Mayfield,1,21,37,57%,247,6.7,177,4.8,10,3,2,0,0,2.9,1,2,3,8,12,2,7,73
17,Kirk Cousins,1,27,39,69%,249,6.4,176,4.5,12,2,0,0,0,2.6,3,3,5,11,5,1,4,93
