,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Isaiah Likely,1,2,42,21.0,15.0,7.5,28.0,14.0,27,13.5,35,17.5,1,3,13.6%,3,1,1,1,1,1,0,0
2,Juwan Johnson,1,8,90,11.3,46.0,5.8,84.0,10.5,44,5.5,9,1.1,0,12,35.3%,9,1,1,4,1,1,0,0
3,David Njoku,1,6,134,22.3,36.0,6.0,47.0,7.8,98,16.3,35,5.8,1,8,27.6%,7,0,0,4,3,2,1,1
4,Dallas Goedert,1,5,47,9.4,23.0,4.6,44.0,8.8,24,4.8,6,1.2,0,6,26.1%,5,0,1,1,1,0,0,0
5,Johnny Mundt,1,4,39,9.8,16.0,4.0,22.0,5.5,23,5.8,7,1.8,0,7,22.6%,5,0,2,2,0,0,0,0
6,Taysom Hill,1,2,30,15.0,25.0,12.5,25.0,12.5,5,2.5,2,1.0,0,2,5.9%,2,0,0,1,1,0,0,0
7,Dalton Kincaid,1,4,87,21.8,52.0,13.0,129.0,32.3,35,8.8,13,3.3,0,7,25.0%,4,0,1,3,1,1,1,1
8,Sam LaPorta,1,7,84,12.0,55.0,7.9,79.0,11.3,29,4.1,14,2.0,0,12,37.5%,7,0,2,4,1,0,0,0
9,Brevin Jordan,1,2,19,9.5,-2.0,-1.0,-2.0,-1.0,21,10.5,1,0.5,0,2,6.5%,2,0,1,1,0,0,0,0
10,Charlie Kolar,1,1,19,19.0,19.0,19.0,19.0,19.0,0,0.0,0,0.0,0,1,4.5%,1,0,1,1,0,0,0,0
11,Tyler Higbee,1,6,62,10.3,7.0,1.2,12.0,2.0,55,9.2,19,3.2,0,7,20.6%,7,1,0,3,0,0,0,0
12,Evan Engram,1,6,60,10.0,31.0,5.2,31.0,5.2,29,4.8,24,4.0,2,6,26.1%,6,0,1,3,1,0,0,0
13,Noah Fant,1,5,59,11.8,38.0,7.6,49.0,9.8,21,4.2,4,0.8,0,6,18.2%,5,0,1,3,1,0,0,0
14,Durham Smythe,1,3,54,18.0,38.0,12.7,38.0,12.7,16,5.3,7,2.3,0,3,8.3%,3,0,0,3,1,0,0,0
15,Darren Waller,1,5,51,10.2,22.0,4.4,41.0,8.2,29,5.8,4,0.8,0,6,15.4%,6,1,0,2,0,0,0,0
16,Trey McBride,1,6,48,8.0,12.0,2.0,8.0,1.3,36,6.0,9,1.5,0,7,22.6%,6,0,0,1,1,0,0,0
17,Tucker Kraft,1,6,48,8.0,9.0,1.5,9.0,1.5,39,6.5,20,3.3,1,6,17.6%,6,0,0,3,0,0,0,0
18,Tyler Conklin,1,5,45,9.0,35.0,7.0,35.0,7.0,10,2.0,4,0.8,1,5,11.4%,5,0,0,1,1,0,0,0
19,Pat Freiermuth,1,3,44,14.7,13.0,4.3,13.0,4.3,31,10.3,25,8.3,0,4,19.0%,3,0,0,2,1,0,0,0
20,Robert Tonyan,1,3,40,13.3,19.0,6.3,39.0,13.0,21,7.0,6,2.0,1,4,13.3%,3,0,1,2,1,0,0,0
21,Daniel Bellinger,1,4,39,9.8,19.0,4.8,19.0,4.8,20,5.0,13,3.3,0,4,10.3%,4,0,0,1,0,0,0,0
22,Colby Parkinson,1,2,38,19.0,34.0,17.0,36.0,18.0,4,2.0,0,0.0,0,3,9.1%,3,1,0,2,1,0,0,0
23,Tanner Hudson,1,3,38,12.7,16.0,5.3,51.0,17.0,22,7.3,1,0.3,0,7,22.6%,4,1,1,2,0,0,0,0
24,Gerald Everett,1,4,31,7.8,1.0,0.3,49.0,12.3,30,7.5,24,6.0,0,9,24.3%,5,1,0,1,1,0,0,0
25,Mike Gesicki,1,4,35,8.8,21.0,5.3,36.0,9.0,14,3.5,4,1.0,0,6,25.0%,4,0,0,2,0,0,0,0
26,Chig Okonkwo,1,3,34,11.3,14.0,4.7,17.0,5.7,20,6.7,4,1.3,0,4,16.0%,3,0,1,1,1,0,0,0
27,Jake Ferguson,1,4,33,8.3,11.0,2.8,58.0,14.5,22,5.5,9,2.3,0,6,16.2%,4,0,0,0,0,0,0,0
28,George Kittle,1,3,29,9.7,24.0,8.0,38.0,12.7,5,1.7,0,0.0,0,4,14.8%,4,0,1,1,0,0,0,0
29,Austin Hooper,1,3,28,9.3,9.0,3.0,9.0,3.0,19,6.3,11,3.7,1,3,6.5%,3,0,0,1,0,0,0,0
30,Kenny Yeboah,1,2,28,14.0,8.0,4.0,14.0,7.0,20,10.0,7,3.5,1,3,6.8%,2,0,0,1,1,0,0,0
31,Jordan Akins,1,1,28,28.0,22.0,22.0,22.0,22.0,6,6.0,0,0.0,0,1,3.4%,1,0,0,1,1,0,0,0
32,Stone Smartt,1,2,23,11.5,16.0,8.0,16.0,8.0,7,3.5,5,2.5,1,2,5.4%,2,0,0,1,0,0,0,0
33,Elijah Higgins,1,2,21,10.5,16.0,8.0,16.0,8.0,5,2.5,2,1.0,0,2,6.5%,2,0,0,1,0,0,0,0
34,Drew Sample,1,3,21,7.0,0.0,0.0,18.0,6.0,21,7.0,5,1.7,0,4,12.9%,3,0,0,1,0,0,0,0
35,Logan Thomas,1,3,20,6.7,14.0,4.7,23.0,7.7,6,2.0,4,1.3,0,4,15.4%,3,0,0,0,0,0,0,0
