,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,T.J. Hockenson,1,11,134,12.2,84.0,7.6,134.0,12.2,50,4.5,22,2.0,0,15,46.9%,11,0,1,6,3,0,0,0
2,George Kittle,1,3,116,38.7,63.0,21.0,75.0,25.0,53,17.7,0,0.0,0,4,14.8%,3,0,0,3,3,1,1,1
3,Trey McBride,1,8,131,16.4,71.0,8.9,85.0,10.6,60,7.5,38,4.8,3,9,29.0%,8,0,0,6,2,1,0,0
4,Dalton Kincaid,1,5,51,10.2,29.0,5.8,37.0,7.4,22,4.4,11,2.2,1,6,24.0%,6,1,0,1,1,0,0,0
5,Jake Ferguson,1,4,26,6.5,19.0,4.8,34.0,8.5,7,1.8,3,0.8,0,7,15.9%,4,0,3,1,0,0,0,0
6,Brock Wright,1,2,23,11.5,13.0,6.5,11.0,5.5,10,5.0,0,0.0,0,3,9.4%,2,0,0,1,1,0,0,0
7,Michael Mayer,1,3,19,6.3,16.0,5.3,15.0,5.0,3,1.0,0,0.0,0,5,20.0%,4,1,1,0,0,0,0,0
8,Dalton Schultz,1,4,71,17.8,59.0,14.8,81.0,20.3,12,3.0,2,0.5,0,6,15.4%,4,0,0,3,2,0,0,0
9,Tyler Conklin,1,7,70,10.0,47.0,6.7,47.0,6.7,23,3.3,0,0.0,0,7,18.9%,7,0,0,1,1,0,0,0
10,Luke Musgrave,1,2,64,32.0,51.0,25.5,68.0,34.0,13,6.5,0,0.0,0,4,10.8%,2,0,2,2,2,1,0,0
11,David Njoku,1,6,58,9.7,0.0,0.0,5.0,0.8,58,9.7,28,4.7,2,9,28.1%,8,2,3,3,1,0,0,0
12,Cole Kmet,1,5,45,9.0,9.0,1.8,30.0,6.0,36,7.2,6,1.2,0,7,21.9%,5,0,1,2,0,0,0,0
13,Mark Andrews,1,2,44,22.0,19.0,9.5,26.0,13.0,25,12.5,3,1.5,0,4,17.4%,2,0,1,1,1,1,0,0
14,Sam LaPorta,1,4,40,10.0,33.0,8.3,47.0,11.8,7,1.8,0,0.0,0,5,15.6%,4,0,0,1,0,0,0,0
15,Logan Thomas,1,5,40,8.0,18.0,3.6,18.0,3.6,22,4.4,0,0.0,0,5,11.9%,5,0,0,1,0,0,0,0
16,Daniel Bellinger,1,2,34,17.0,4.0,2.0,8.0,4.0,30,15.0,24,12.0,1,3,11.5%,2,0,0,1,1,0,0,0
17,Tanner Hudson,1,6,33,5.5,14.0,2.3,29.0,4.8,19,3.2,5,0.8,0,7,17.9%,6,0,0,1,0,0,0,0
18,Connor Heyward,1,3,32,10.7,7.0,2.3,9.0,3.0,25,8.3,4,1.3,0,4,18.2%,3,0,0,2,0,0,0,0
19,Kyle Pitts,1,3,30,10.0,18.0,6.0,36.0,12.0,12,4.0,4,1.3,0,5,26.3%,3,0,0,1,0,0,0,0
20,Chig Okonkwo,1,3,27,9.0,6.0,2.0,53.0,17.7,21,7.0,2,0.7,0,6,15.4%,4,1,1,1,0,0,0,0
21,Taysom Hill,1,2,17,8.5,6.0,3.0,13.0,6.5,11,5.5,0,0.0,0,4,10.0%,3,1,0,1,0,0,0,0
22,Will Dissly,1,2,22,11.0,2.0,1.0,2.0,1.0,20,10.0,0,0.0,0,2,4.8%,2,0,0,1,0,0,0,0
23,Mike Gesicki,1,2,22,11.0,18.0,9.0,32.0,16.0,4,2.0,2,1.0,0,3,11.5%,2,0,1,2,0,0,0,0
24,Hunter Henry,1,3,21,7.0,20.0,6.7,33.0,11.0,1,0.3,0,0.0,0,5,19.2%,3,0,1,1,0,0,0,0
25,John Bates,1,3,21,7.0,0.0,0.0,0.0,0.0,21,7.0,14,4.7,1,3,7.1%,3,0,0,1,0,0,0,0
26,Donald Parham Jr.,1,2,18,9.0,5.0,2.5,5.0,2.5,13,6.5,9,4.5,0,2,5.0%,2,0,0,1,0,0,0,0
27,Tommy Tremble,1,3,16,5.3,16.0,5.3,16.0,5.3,0,0.0,0,0.0,0,3,8.8%,3,0,1,1,0,0,0,0
28,Josh Whyle,1,2,16,8.0,13.0,6.5,64.0,32.0,3,1.5,1,0.5,0,5,12.8%,3,1,2,1,0,0,0,0
29,Adam Trautman,1,2,15,7.5,10.0,5.0,10.0,5.0,5,2.5,1,0.5,1,2,6.9%,2,0,0,0,0,0,0,0
30,Hayden Hurst,1,2,14,7.0,11.0,5.5,34.0,17.0,3,1.5,1,0.5,0,4,11.8%,3,1,0,0,0,0,0,0
31,Geoff Swaim,1,2,13,6.5,9.0,4.5,9.0,4.5,4,2.0,3,1.5,0,2,6.5%,2,0,1,0,0,0,0,0
32,Evan Engram,1,4,12,3.0,1.0,0.3,2.0,0.5,11,2.8,0,0.0,0,7,22.6%,5,1,0,0,0,0,0,0
33,Drew Sample,1,2,12,6.0,1.0,0.5,25.0,12.5,11,5.5,1,0.5,0,3,7.7%,2,0,0,0,0,0,0,0
34,Cade Otton,1,2,10,5.0,3.0,1.5,20.0,10.0,7,3.5,1,0.5,0,3,10.3%,2,0,1,0,0,0,0,0
35,Jordan Akins,1,1,8,8.0,5.0,5.0,5.0,5.0,3,3.0,0,0.0,0,1,3.1%,1,0,0,0,0,0,0,0
36,Johnny Mundt,1,2,8,4.0,-3.0,-1.5,-3.0,-1.5,11,5.5,1,0.5,0,2,6.3%,2,0,0,0,0,0,0,0
37,Will Mallory,1,1,7,7.0,-1.0,-1.0,9.0,9.0,8,8.0,3,3.0,0,2,7.7%,1,0,0,0,0,0,0,0
38,Austin Hooper,1,1,7,7.0,5.0,5.0,5.0,5.0,2,2.0,0,0.0,0,1,4.0%,1,0,0,0,0,0,0,0
39,Noah Fant,1,2,6,3.0,-6.0,-3.0,13.0,6.5,12,6.0,0,0.0,0,3,7.1%,2,0,0,0,0,0,0,0
40,Irv Smith Jr.,1,1,6,6.0,-1.0,-1.0,-1.0,-1.0,7,7.0,1,1.0,0,1,2.6%,1,0,0,0,0,0,0,0
41,C.J. Uzomah,1,1,6,6.0,2.0,2.0,2.0,2.0,4,4.0,5,5.0,1,1,2.7%,1,0,0,0,0,0,0,0
42,Darnell Washington,1,1,6,6.0,0.0,0.0,0.0,0.0,6,6.0,3,3.0,0,1,4.5%,1,0,0,0,0,0,0,0
43,Chris Manhertz,1,1,6,6.0,3.0,3.0,3.0,3.0,3,3.0,3,3.0,0,1,3.4%,1,0,0,0,0,0,0,0
44,Tucker Kraft,1,1,6,6.0,3.0,3.0,11.0,11.0,3,3.0,0,0.0,0,3,8.1%,1,0,0,0,0,0,0,0
45,Kylen Granson,1,1,5,5.0,4.0,4.0,-1.0,-1.0,1,1.0,0,0.0,0,2,7.7%,1,0,0,0,0,0,0,0
46,Harrison Bryant,1,1,3,3.0,0.0,0.0,0.0,0.0,3,3.0,1,1.0,0,1,3.1%,1,0,0,0,0,0,0,0
47,Isaiah Likely,1,1,5,5.0,5.0,5.0,5.0,5.0,0,0.0,0,0.0,0,1,4.3%,1,0,0,0,0,0,0,0
48,Colby Parkinson,1,1,3,3.0,3.0,3.0,3.0,3.0,0,0.0,0,0.0,0,1,2.4%,1,0,1,0,0,0,0,0
49,Juwan Johnson,1,1,2,2.0,2.0,2.0,40.0,40.0,0,0.0,0,0.0,0,3,7.5%,1,0,0,0,0,0,0,0
50,Jonnu Smith,1,1,1,1.0,-2.0,-2.0,50.0,50.0,3,3.0,1,1.0,0,3,15.8%,2,1,0,0,0,0,0,0
51,Grant Calcaterra,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
52,Rodney Williams,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0%,0,0,0,0,0,0,0,0
53,Brayden Willis,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
54,Jeremy Ruckert,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0%,0,0,0,0,0,0,0,0
55,James Winchester,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
56,Davis Allen,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
57,Ross Dwelley,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0%,0,0,0,0,0,0,0,0
58,Parker Hesse,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
59,Charlie Kolar,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0%,0,0,0,0,0,0,0,0
60,Nick Muse,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
61,Kevin Rader,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0%,0,0,0,0,0,0,0,0
62,Quintin Morris,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0%,0,0,0,0,0,0,0,0
63,James Mitchell,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0%,0,0,0,0,0,0,0,0
64,Albert Okwuegbunam Jr.,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
65,Hunter Long,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
66,Lucas Krull,1,0,0,0.0,0.0,0.0,-2.0,0.0,0,0.0,0,0.0,0,1,3.4%,0,0,0,0,0,0,0,0
67,Tyree Jackson,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0%,0,0,0,0,0,0,0,0
68,Leroy Watson IV,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0%,0,0,0,0,0,0,0,0
69,Anthony Firkser,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
70,Jordan Thomas,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0%,0,0,0,0,0,0,0,0
71,Nick Vannett,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0%,0,0,0,0,0,0,0,0
72,Blake Whiteheart,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
73,Cole Fotheringham,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
74,Tanner Conner,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
75,Eric Saubert,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0%,0,0,0,0,0,0,0,0
76,Sean McKeon,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0%,0,0,0,0,0,0,0,0
77,Zack Kuntz,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
78,Travis Vokolek,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
79,Elijah Higgins,1,0,0,0.0,0.0,0.0,18.0,0.0,0,0.0,0,0.0,0,1,3.2%,0,1,0,0,0,0,0,0
80,Tucker Fisk,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
81,Kenny Yeboah,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
82,Payne Durham,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0%,0,0,0,0,0,0,0,0
83,Marcedes Lewis,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0%,0,0,0,0,0,0,0,0
84,Dallas Goedert,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
85,MyCole Pruitt,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0%,0,0,0,0,0,0,0,0
86,Dawson Knox,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
87,Peyton Hendershot,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
