,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Travis Kelce,1,9,124,13.8,84.0,9.3,84.0,9.3,40.0,4.4,3,0.3,0,9,23.1%,9,0,1,5,1,1,1,1
2,Dalton Schultz,1,4,61,15.3,33.0,8.3,52.0,13.0,28.0,7.0,11,2.8,1,7,29.2%,4,0,2,3,1,1,0,0
3,Kyle Pitts,1,4,43,10.8,22.0,5.5,57.0,14.3,21.0,5.3,0,0.0,0,6,13.6%,4,0,1,1,0,0,0,0
4,Jonnu Smith,1,4,36,9.0,22.0,5.5,48.0,12.0,14.0,3.5,7,1.8,0,5,11.4%,4,0,1,2,0,0,0,0
5,Brenton Strange,1,2,27,13.5,5.0,2.5,33.0,16.5,22.0,11.0,0,0.0,0,3,10.7%,2,0,2,2,0,0,0,0
6,Gerald Everett,1,3,16,5.3,13.0,4.3,21.0,7.0,3.0,1.0,0,0.0,0,5,13.5%,4,1,1,1,0,0,0,0
7,Quintin Morris,1,1,15,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0,0.0,0,1,3.4%,1,0,1,1,0,0,0,0
8,Michael Mayer,1,5,75,15.0,41.0,8.2,49.0,9.8,34.0,6.8,14,2.8,0,6,19.4%,5,0,2,3,1,1,0,0
9,Mark Andrews,1,4,69,17.3,55.0,13.8,90.0,22.5,14.0,3.5,11,2.8,1,6,20.7%,4,0,0,2,2,1,0,0
10,Kylen Granson,1,3,67,22.3,53.0,17.7,50.0,16.7,14.0,4.7,6,2.0,0,4,7.7%,3,0,1,2,2,1,1,1
11,Trey McBride,1,4,62,15.5,32.0,8.0,37.0,9.3,30.0,7.5,0,0.0,0,5,13.2%,4,0,0,3,1,0,0,0
12,Taysom Hill,1,7,49,7.0,36.0,5.1,60.0,8.6,13.0,1.9,4,0.6,0,8,17.4%,8,0,0,1,0,0,0,0
13,T.J. Hockenson,1,6,50,8.3,39.0,6.5,63.0,10.5,11.0,1.8,4,0.7,0,8,26.7%,7,1,0,2,1,0,0,0
14,Darren Waller,1,5,43,8.6,20.0,4.0,26.0,5.2,23.0,4.6,4,0.8,0,7,22.6%,5,0,1,1,1,0,0,0
15,Dallas Goedert,1,5,42,8.4,7.0,1.4,17.0,3.4,35.0,7.0,16,3.2,0,8,18.6%,5,0,2,2,0,0,0,0
16,Evan Engram,1,7,41,5.9,23.0,3.3,23.0,3.3,18.0,2.6,2,0.3,0,7,25.0%,7,0,0,1,0,0,0,0
17,Sam LaPorta,1,4,36,9.0,24.0,6.0,101.0,25.3,12.0,3.0,0,0.0,0,11,26.8%,5,1,0,2,0,0,0,0
18,Foster Moreau,1,4,33,8.3,29.0,7.3,29.0,7.3,4.0,1.0,0,0.0,0,4,8.7%,4,0,0,1,0,0,0,0
19,Mike Gesicki,1,3,28,9.3,16.0,5.3,16.0,5.3,12.0,4.0,1,0.3,0,3,9.7%,3,0,1,1,0,0,0,0
20,Tommy Tremble,1,2,25,12.5,6.0,3.0,6.0,3.0,19.0,9.5,7,3.5,1,2,5.7%,2,0,0,1,1,0,0,0
21,Tyler Conklin,1,3,24,8.0,16.0,5.3,44.0,14.7,8.0,2.7,4,1.3,0,4,12.1%,3,0,0,1,0,0,0,0
22,David Njoku,1,3,24,8.0,5.0,1.7,19.0,6.3,19.0,6.3,0,0.0,0,4,12.1%,3,0,0,1,0,0,0,0
23,Zach Ertz,1,2,22,11.0,18.0,9.0,45.0,22.5,4.0,2.0,0,0.0,0,5,13.2%,2,0,1,2,0,0,0,0
24,Donald Parham Jr.,1,2,19,9.5,8.0,4.0,14.0,7.0,11.0,5.5,0,0.0,0,3,8.1%,2,0,1,1,0,0,0,0
25,Austin Hooper,1,2,19,9.5,6.0,3.0,6.0,3.0,13.0,6.5,4,2.0,0,2,6.5%,2,0,0,1,0,0,0,0
26,Colby Parkinson,1,3,19,6.3,11.0,3.7,22.0,7.3,8.0,2.7,1,0.3,0,5,13.5%,3,0,2,0,0,0,0,0
27,Tyler Higbee,1,2,18,9.0,14.0,7.0,19.0,9.5,4.0,2.0,0,0.0,0,3,14.3%,3,1,1,0,0,0,0,0
28,Chig Okonkwo,1,2,18,9.0,12.0,6.0,66.0,33.0,6.0,3.0,3,1.5,0,4,20.0%,2,0,0,1,0,0,0,0
29,Dawson Knox,1,3,17,5.7,5.0,1.7,36.0,12.0,12.0,4.0,3,1.0,0,6,20.7%,4,1,1,1,0,0,0,0
30,Hayden Hurst,1,1,16,16.0,6.0,6.0,38.0,38.0,10.0,10.0,0,0.0,0,3,8.6%,1,0,1,1,0,0,0,0
31,Cade Otton,1,1,15,15.0,6.0,6.0,35.0,35.0,9.0,9.0,0,0.0,0,2,5.4%,1,0,0,1,0,0,0,0
32,Jake Ferguson,1,1,15,15.0,9.0,9.0,9.0,9.0,6.0,6.0,0,0.0,0,1,3.3%,1,0,0,1,0,0,0,0
33,Noah Gray,1,2,14,7.0,10.0,5.0,10.0,5.0,4.0,2.0,1,0.5,0,2,5.1%,2,0,0,0,0,0,0,0
34,Pharaoh Brown,1,1,15,15.0,4.0,4.0,4.0,4.0,11.0,11.0,11,11.0,0,1,3.2%,1,0,0,1,0,0,0,0
35,Robert Tonyan,1,1,11,11.0,4.0,4.0,4.0,4.0,7.0,7.0,0,0.0,0,1,4.2%,1,0,0,1,0,0,0,0
36,Brevin Jordan,1,1,11,11.0,2.0,2.0,2.0,2.0,9.0,9.0,2,2.0,0,1,4.2%,1,0,0,1,0,0,0,0
37,Josh Whyle,1,1,11,11.0,7.0,7.0,7.0,7.0,4.0,4.0,2,2.0,0,1,5.0%,1,0,0,1,0,0,0,0
38,MyCole Pruitt,1,1,9,9.0,4.0,4.0,6.0,6.0,5.0,5.0,2,2.0,0,2,4.5%,1,0,1,0,0,0,0,0
39,Cole Kmet,1,2,9,4.5,0.0,0.0,2.0,1.0,9.0,4.5,2,1.0,0,3,12.5%,2,0,1,0,0,0,0,0
40,Noah Fant,1,1,9,9.0,6.0,6.0,6.0,6.0,3.0,3.0,0,0.0,0,1,2.7%,1,0,0,0,0,0,0,0
41,Jeremy Ruckert,1,1,8,8.0,0.0,0.0,0.0,0.0,8.0,8.0,1,1.0,0,1,3.0%,1,0,0,0,0,0,0,0
42,Payne Durham,1,1,8,8.0,3.0,3.0,3.0,3.0,5.0,5.0,0,0.0,0,1,2.7%,1,0,0,0,0,0,0,0
43,Hunter Henry,1,1,7,7.0,-5.0,-5.0,20.0,20.0,12.0,12.0,4,4.0,0,3,9.7%,1,0,0,0,0,0,0,0
44,Brock Wright,1,1,7,7.0,2.0,2.0,2.0,2.0,5.0,5.0,2,2.0,0,1,2.4%,1,0,0,0,0,0,0,0
45,Irv Smith Jr.,1,1,5,5.0,5.0,5.0,10.0,10.0,0.0,0.0,0,0.0,0,2,5.7%,2,1,0,0,0,0,0,0
46,Adam Trautman,1,1,4,4.0,-2.0,-2.0,19.0,19.0,6.0,6.0,1,1.0,0,2,9.1%,1,0,0,0,0,0,0,0
47,Will Dissly,1,1,4,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0,0.0,0,1,2.7%,1,0,0,0,0,0,0,0
48,Drew Sample,1,1,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0,0.0,0,1,2.9%,1,0,0,0,0,0,0,0
49,Greg Dulcich,1,1,3,3.0,1.0,1.0,4.0,4.0,2.0,2.0,0,0.0,0,2,9.1%,1,0,0,0,0,0,0,0
50,Logan Thomas,1,1,2,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0,0.0,0,1,4.8%,1,0,0,0,0,0,0,0
51,George Kittle,1,1,1,1.0,3.0,3.0,27.0,27.0,-2.0,-2.0,0,0.0,0,2,8.3%,1,0,0,0,0,0,0,0
52,Eric Saubert,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
