,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Evan Engram,1,11,95,8.6,63.0,5.7,67.0,6.1,32,2.9,8,0.7,0,12,24.5%,11,0,2,5,1,0,0,0
2,David Njoku,1,6,91,15.2,52.0,8.7,55.0,9.2,39,6.5,17,2.8,2,8,18.6%,7,1,0,4,2,2,0,0
3,Hunter Henry,1,3,40,13.3,38.0,12.7,38.0,12.7,2,0.7,0,0.0,0,3,11.5%,3,0,1,1,1,0,0,0
4,Isaiah Likely,1,5,83,16.6,34.0,6.8,42.0,8.4,49,9.8,0,0.0,0,7,17.5%,6,1,1,2,1,1,1,1
5,George Kittle,1,3,76,25.3,41.0,13.7,61.0,20.3,35,11.7,27,9.0,2,5,18.5%,3,0,0,2,2,1,1,1
6,Kyle Pitts,1,3,57,19.0,45.0,15.0,80.0,26.7,12,4.0,1,0.3,0,6,15.4%,3,0,1,2,1,1,0,0
7,Davis Allen,1,4,50,12.5,13.0,3.3,16.0,4.0,37,9.3,0,0.0,0,5,12.8%,5,1,1,2,1,0,0,0
8,Colby Parkinson,1,2,28,14.0,9.0,4.5,9.0,4.5,19,9.5,1,0.5,0,2,6.5%,2,0,0,1,1,0,0,0
9,Travis Kelce,1,6,83,13.8,59.0,9.8,119.0,19.8,24,4.0,11,1.8,1,10,25.6%,6,0,1,4,2,0,0,0
10,Tanner Hudson,1,2,21,10.5,15.0,7.5,20.0,10.0,6,3.0,2,1.0,1,3,12.0%,2,0,1,2,0,0,0,0
11,Adam Trautman,1,2,19,9.5,11.0,5.5,16.0,8.0,8,4.0,5,2.5,1,3,10.0%,2,0,2,1,0,0,0,0
12,Jimmy Graham,1,2,16,8.0,16.0,8.0,16.0,8.0,0,0.0,0,0.0,0,2,9.1%,2,0,2,1,0,0,0,0
13,Cade Otton,1,2,16,8.0,14.0,7.0,56.0,28.0,2,1.0,0,0.0,0,5,17.2%,2,0,1,1,0,0,0,0
14,Jake Ferguson,1,5,72,14.4,25.0,5.0,31.0,6.2,47,9.4,32,6.4,1,8,20.5%,6,1,1,2,2,1,0,0
15,Cole Kmet,1,5,66,13.2,38.0,7.6,33.0,6.6,28,5.6,0,0.0,0,6,20.0%,6,1,1,1,1,1,1,1
16,Tucker Kraft,1,4,64,16.0,32.0,8.0,32.0,8.0,32,8.0,24,6.0,1,4,10.5%,4,0,0,1,1,1,1,1
17,Mo Alie-Cox,1,1,2,2.0,2.0,2.0,2.0,2.0,0,0.0,0,0.0,0,1,2.6%,1,0,1,0,0,0,0,0
18,Tyler Conklin,1,4,57,14.3,43.0,10.8,45.0,11.3,14,3.5,5,1.3,0,6,17.1%,4,0,0,2,2,0,0,0
19,T.J. Hockenson,1,5,53,10.6,38.0,7.6,97.0,19.4,15,3.0,2,0.4,0,8,24.2%,5,0,0,2,1,0,0,0
20,Chig Okonkwo,1,5,46,9.2,9.0,1.8,16.0,3.2,37,7.4,3,0.6,0,6,16.7%,5,0,0,2,0,0,0,0
21,Will Mallory,1,5,46,9.2,26.0,5.2,26.0,5.2,20,4.0,0,0.0,0,5,13.2%,5,0,0,2,0,0,0,0
22,Gerald Everett,1,5,39,7.8,20.0,4.0,28.0,5.6,19,3.8,2,0.4,1,8,19.5%,5,0,1,1,0,0,0,0
23,Pat Freiermuth,1,3,18,6.0,13.0,4.3,60.0,20.0,5,1.7,2,0.7,0,7,20.0%,4,0,0,0,0,0,0,0
24,Jeremy Ruckert,1,3,37,12.3,30.0,10.0,30.0,10.0,7,2.3,2,0.7,0,3,8.6%,3,0,0,2,0,0,0,0
25,Dawson Knox,1,3,36,12.0,20.0,6.7,20.0,6.7,16,5.3,0,0.0,0,3,8.3%,3,0,0,3,0,0,0,0
26,Noah Fant,1,2,35,17.5,20.0,10.0,21.0,10.5,15,7.5,4,2.0,0,4,12.9%,2,0,0,1,1,0,0,0
27,Lucas Krull,1,1,35,35.0,25.0,25.0,25.0,25.0,10,10.0,0,0.0,0,1,3.3%,1,0,0,1,1,1,0,0
28,Brevin Jordan,1,3,35,11.7,11.0,3.7,11.0,3.7,24,8.0,0,0.0,0,3,11.1%,3,0,0,1,1,0,0,0
